ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   22
   324  IFO197      *** MNOTE ***
   324  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   326  IFO078      UNDEFINED OP CODE
   327  IFO078      UNDEFINED OP CODE
   328  IFO078      UNDEFINED OP CODE
   329  IFO078      UNDEFINED OP CODE
   330  IFO078      UNDEFINED OP CODE
   331  IFO078      UNDEFINED OP CODE
   332  IFO078      UNDEFINED OP CODE
   333  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   24
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  334  IFO078      UNDEFINED OP CODE
   340  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   341  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   342  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   343  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   344  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   344  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   345  IFO197      *** MNOTE ***
   345  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   347  IFO078      UNDEFINED OP CODE
   348  IFO078      UNDEFINED OP CODE
   349  IFO078      UNDEFINED OP CODE
   350  IFO078      UNDEFINED OP CODE
   351  IFO078      UNDEFINED OP CODE
   352  IFO078      UNDEFINED OP CODE
   353  IFO078      UNDEFINED OP CODE
   354  IFO078      UNDEFINED OP CODE
   355  IFO078      UNDEFINED OP CODE
   361  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   362  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   363  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
