ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   14
   165  IFO197      *** MNOTE ***
   165  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   166  IFO078      UNDEFINED OP CODE
   167  IFO078      UNDEFINED OP CODE
   168  IFO078      UNDEFINED OP CODE
   169  IFO078      UNDEFINED OP CODE
   175  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   176  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   177  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   178  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   179  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   179  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   180  IFO197      *** MNOTE ***
   180  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   181  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   16
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  182  IFO078      UNDEFINED OP CODE
   183  IFO078      UNDEFINED OP CODE
   184  IFO078      UNDEFINED OP CODE
   190  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   191  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   192  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   193  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   194  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   194  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   195  IFO197      *** MNOTE ***
   195  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   196  IFO078      UNDEFINED OP CODE
   197  IFO078      UNDEFINED OP CODE
   198  IFO078      UNDEFINED OP CODE
   199  IFO078      UNDEFINED OP CODE
   205  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   206  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   207  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   208  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   209  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   209  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   210  IFO197      *** MNOTE ***
   210  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   211  IFO078      UNDEFINED OP CODE
   212  IFO078      UNDEFINED OP CODE
   213  IFO078      UNDEFINED OP CODE
   214  IFO078      UNDEFINED OP CODE
   220  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   221  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   222  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   223  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   224  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   224  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   225  IFO197      *** MNOTE ***
   225  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   226  IFO078      UNDEFINED OP CODE
   227  IFO078      UNDEFINED OP CODE
   228  IFO078      UNDEFINED OP CODE
   229  IFO078      UNDEFINED OP CODE
   235  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   236  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   237  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   238  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   239  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   239  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   240  IFO197      *** MNOTE ***
   240  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   241  IFO078      UNDEFINED OP CODE
   247  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   248  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   249  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
