ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   15
   139  IFO188      R5 IS AN UNDEFINED SYMBOL
   139  IFO188      L0 IS AN UNDEFINED SYMBOL
   139  IFO188      R4 IS AN UNDEFINED SYMBOL
   139  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   140  IFO188      R5 IS AN UNDEFINED SYMBOL
   140  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   141  IFO188      L0 IS AN UNDEFINED SYMBOL
   141  IFO188      L5 IS AN UNDEFINED SYMBOL
   141  IFO188      R3 IS AN UNDEFINED SYMBOL
   141  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   141  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   141  IFO188      L5 IS AN UNDEFINED SYMBOL
   141  IFO188      L3 IS AN UNDEFINED SYMBOL
   141  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 21
   142  IFO188      L4 IS AN UNDEFINED SYMBOL
   142  IFO188      L1 IS AN UNDEFINED SYMBOL
   142  IFO188      R3 IS AN UNDEFINED SYMBOL
   142  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   142  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   142  IFO188      L0 IS AN UNDEFINED SYMBOL
   142  IFO188      R3 IS AN UNDEFINED SYMBOL
   142  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 16
   143  IFO188      R5 IS AN UNDEFINED SYMBOL
   143  IFO188      R8 IS AN UNDEFINED SYMBOL
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   17
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  143  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   144  IFO188      R14 IS AN UNDEFINED SYMBOL
   146  IFO078      UNDEFINED OP CODE
   148  IFO188      L8 IS AN UNDEFINED SYMBOL
   148  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
   148  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   148  IFO188      L0 IS AN UNDEFINED SYMBOL
   148  IFO188      L4 IS AN UNDEFINED SYMBOL
   148  IFO188      R4 IS AN UNDEFINED SYMBOL
   148  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 18
   148  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 18
   149  IFO188      L7 IS AN UNDEFINED SYMBOL
   149  IFO188      L1 IS AN UNDEFINED SYMBOL
   149  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 11
   149  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   150  IFO188      L0 IS AN UNDEFINED SYMBOL
   150  IFO188      L3 IS AN UNDEFINED SYMBOL
   150  IFO188      R3 IS AN UNDEFINED SYMBOL
   150  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   150  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   150  IFO188      L5 IS AN UNDEFINED SYMBOL
   151  IFO188      L5 IS AN UNDEFINED SYMBOL
   151  IFO188      L2 IS AN UNDEFINED SYMBOL
   151  IFO188      R3 IS AN UNDEFINED SYMBOL
   151  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   151  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   151  IFO188      L3 IS AN UNDEFINED SYMBOL
   152  IFO188      L8 IS AN UNDEFINED SYMBOL
   152  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 8
   152  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   152  IFO188      L4 IS AN UNDEFINED SYMBOL
   152  IFO188      L4 IS AN UNDEFINED SYMBOL
   152  IFO188      R4 IS AN UNDEFINED SYMBOL
   152  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 18
   152  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 18
   153  IFO188      L7 IS AN UNDEFINED SYMBOL
   153  IFO188      L1 IS AN UNDEFINED SYMBOL
   153  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 11
   153  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   154  IFO188      L13 IS AN UNDEFINED SYMBOL
