ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   21
    94  IFO188      R3 IS AN UNDEFINED SYMBOL
    94  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
    94  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    95  IFO188      R14 IS AN UNDEFINED SYMBOL
    96  IFO188      L0 IS AN UNDEFINED SYMBOL
    96  IFO188      R4 IS AN UNDEFINED SYMBOL
    96  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 6
    97  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    98  IFO188      L0 IS AN UNDEFINED SYMBOL
    98  IFO188      R3 IS AN UNDEFINED SYMBOL
    98  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
    98  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
    99  IFO188      R14 IS AN UNDEFINED SYMBOL
   105  IFO188      L0 IS AN UNDEFINED SYMBOL
   105  IFO188      L8 IS AN UNDEFINED SYMBOL
   105  IFO188      R3 IS AN UNDEFINED SYMBOL
   105  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   105  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   105  IFO188      L0 IS AN UNDEFINED SYMBOL
   105  IFO188      R4 IS AN UNDEFINED SYMBOL
   105  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 16
   106  IFO188      R14 IS AN UNDEFINED SYMBOL
   108  IFO188      R5 IS AN UNDEFINED SYMBOL
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   23
