ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   24
   384  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   385  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   386  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   387  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   387  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   26
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  388  IFO197      *** MNOTE ***
   388  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   390  IFO078      UNDEFINED OP CODE
   391  IFO078      UNDEFINED OP CODE
   392  IFO078      UNDEFINED OP CODE
   393  IFO078      UNDEFINED OP CODE
   394  IFO078      UNDEFINED OP CODE
   395  IFO078      UNDEFINED OP CODE
   396  IFO078      UNDEFINED OP CODE
   397  IFO078      UNDEFINED OP CODE
   398  IFO078      UNDEFINED OP CODE
   404  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   405  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   406  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   407  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   408  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   408  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   409  IFO197      *** MNOTE ***
   409  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   411  IFO078      UNDEFINED OP CODE
   412  IFO078      UNDEFINED OP CODE
   413  IFO078      UNDEFINED OP CODE
   414  IFO078      UNDEFINED OP CODE
   415  IFO078      UNDEFINED OP CODE
   416  IFO078      UNDEFINED OP CODE
   417  IFO078      UNDEFINED OP CODE
   418  IFO078      UNDEFINED OP CODE
   419  IFO078      UNDEFINED OP CODE
   420  IFO078      UNDEFINED OP CODE
   426  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   427  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   428  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   429  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   430  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   430  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   431  IFO197      *** MNOTE ***
   431  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   433  IFO078      UNDEFINED OP CODE
   434  IFO078      UNDEFINED OP CODE
   435  IFO078      UNDEFINED OP CODE
   436  IFO078      UNDEFINED OP CODE
   437  IFO078      UNDEFINED OP CODE
   438  IFO078      UNDEFINED OP CODE
   439  IFO078      UNDEFINED OP CODE
   440  IFO078      UNDEFINED OP CODE
   441  IFO078      UNDEFINED OP CODE
   442  IFO078      UNDEFINED OP CODE
   448  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   449  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   450  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   451  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   452  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   452  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   453  IFO197      *** MNOTE ***
   453  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   27
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  455  IFO078      UNDEFINED OP CODE
   456  IFO078      UNDEFINED OP CODE
   457  IFO078      UNDEFINED OP CODE
   458  IFO078      UNDEFINED OP CODE
   459  IFO078      UNDEFINED OP CODE
   460  IFO078      UNDEFINED OP CODE
   461  IFO078      UNDEFINED OP CODE
   462  IFO078      UNDEFINED OP CODE
   463  IFO078      UNDEFINED OP CODE
   464  IFO078      UNDEFINED OP CODE
   470  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   471  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   472  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   473  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   474  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   474  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   475  IFO197      *** MNOTE ***
   475  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   477  IFO078      UNDEFINED OP CODE
   478  IFO078      UNDEFINED OP CODE
   479  IFO078      UNDEFINED OP CODE
   480  IFO078      UNDEFINED OP CODE
   481  IFO078      UNDEFINED OP CODE
   482  IFO078      UNDEFINED OP CODE
   483  IFO078      UNDEFINED OP CODE
   484  IFO078      UNDEFINED OP CODE
   485  IFO078      UNDEFINED OP CODE
   491  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   492  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   493  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   494  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   495  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   495  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   496  IFO197      *** MNOTE ***
   496  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   498  IFO078      UNDEFINED OP CODE
   504  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   505  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   506  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   507  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   508  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   508  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   509  IFO197      *** MNOTE ***
   509  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   511  IFO078      UNDEFINED OP CODE
   517  IFO197      *** MNOTE ***
   519  IFO078      UNDEFINED OP CODE
   520  IFO078      UNDEFINED OP CODE
   521  IFO078      UNDEFINED OP CODE
   522  IFO078      UNDEFINED OP CODE
   523  IFO078      UNDEFINED OP CODE
   524  IFO078      UNDEFINED OP CODE
   525  IFO078      UNDEFINED OP CODE
   526  IFO078      UNDEFINED OP CODE
   527  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   28
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  533  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   534  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   535  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   536  IFO197      *** MNOTE ***
   538  IFO078      UNDEFINED OP CODE
   539  IFO078      UNDEFINED OP CODE
   540  IFO078      UNDEFINED OP CODE
   541  IFO078      UNDEFINED OP CODE
   547  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   548  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   549  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   550  IFO197      *** MNOTE ***
   552  IFO078      UNDEFINED OP CODE
   553  IFO078      UNDEFINED OP CODE
   554  IFO078      UNDEFINED OP CODE
   555  IFO078      UNDEFINED OP CODE
   561  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   562  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   563  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   564  IFO197      *** MNOTE ***
   566  IFO078      UNDEFINED OP CODE
   567  IFO078      UNDEFINED OP CODE
   568  IFO078      UNDEFINED OP CODE
   569  IFO078      UNDEFINED OP CODE
   575  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   576  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   577  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   578  IFO197      *** MNOTE ***
   580  IFO078      UNDEFINED OP CODE
   581  IFO078      UNDEFINED OP CODE
   582  IFO078      UNDEFINED OP CODE
   583  IFO078      UNDEFINED OP CODE
   589  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   590  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   591  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   592  IFO197      *** MNOTE ***
   594  IFO078      UNDEFINED OP CODE
   595  IFO078      UNDEFINED OP CODE
   596  IFO078      UNDEFINED OP CODE
   597  IFO078      UNDEFINED OP CODE
   603  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   604  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   605  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   606  IFO197      *** MNOTE ***
   608  IFO078      UNDEFINED OP CODE
   609  IFO078      UNDEFINED OP CODE
   610  IFO078      UNDEFINED OP CODE
   611  IFO078      UNDEFINED OP CODE
   617  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   618  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   619  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   620  IFO197      *** MNOTE ***
   622  IFO078      UNDEFINED OP CODE
   623  IFO078      UNDEFINED OP CODE
   624  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   29
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  625  IFO078      UNDEFINED OP CODE
   631  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   632  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   633  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   634  IFO197      *** MNOTE ***
   636  IFO078      UNDEFINED OP CODE
0NUMBER OF STATEMENTS FLAGGED IN THIS ASSEMBLY =   259
 HIGHEST SEVERITY WAS   12
 OPTIONS FOR THIS ASSEMBLY
   ALIGN, ALOGIC, BUFSIZE(STD), NODECK, ESD, FLAG(0), LINECOUNT(55), LIST, NOMCALL, YFLAG, WORKSIZE(2097152)
   NOMLOGIC, NONUMBER, NOOBJECT, NORENT, RLD, NOSTMT, NOLIBMAC, NOTERMINAL, NOTEST, XREF(SHORT)
   SYSPARM()
 WORK FILE BUFFER SIZE/NUMBER =19066/ 1
 TOTAL RECORDS READ FROM SYSTEM INPUT        471
 TOTAL RECORDS READ FROM SYSTEM LIBRARY      881
 TOTAL RECORDS PUNCHED                         0
 TOTAL RECORDS PRINTED                      1331
