ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   15
   131  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   132  IFO188      R5 IS AN UNDEFINED SYMBOL
   132  IFO188      R6 IS AN UNDEFINED SYMBOL
   132  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   133  IFO188      R14 IS AN UNDEFINED SYMBOL
   139  IFO188      KEY IS AN UNDEFINED SYMBOL
   140  IFO188      R14 IS AN UNDEFINED SYMBOL
   141  IFO188      XR9PTR IS AN UNDEFINED SYMBOL
   141  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   142  IFO188      R15 IS AN UNDEFINED SYMBOL
   142  IFO188      R15 IS AN UNDEFINED SYMBOL
   143  IFO188      R14 IS AN UNDEFINED SYMBOL
   144  IFO188      MDR IS AN UNDEFINED SYMBOL
   147  IFO078      UNDEFINED OP CODE
   149  IFO078      UNDEFINED OP CODE
   150  IFO078      UNDEFINED OP CODE
   151  IFO078      UNDEFINED OP CODE
   154  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   157  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   158  IFO197      *** MNOTE ***
   159  IFO078      UNDEFINED OP CODE
   162  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   165  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   166  IFO197      *** MNOTE ***
   168  IFO078      UNDEFINED OP CODE
   169  IFO078      UNDEFINED OP CODE
   172  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   175  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   176  IFO197      *** MNOTE ***
   178  IFO078      UNDEFINED OP CODE
   179  IFO078      UNDEFINED OP CODE
   180  IFO078      UNDEFINED OP CODE
   181  IFO078      UNDEFINED OP CODE
   184  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   17
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  187  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   188  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   189  IFO197      *** MNOTE ***
   191  IFO078      UNDEFINED OP CODE
   192  IFO078      UNDEFINED OP CODE
   193  IFO078      UNDEFINED OP CODE
   196  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   199  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   200  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   201  IFO197      *** MNOTE ***
   203  IFO078      UNDEFINED OP CODE
   204  IFO078      UNDEFINED OP CODE
   207  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   210  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   211  IFO197      *** MNOTE ***
   213  IFO078      UNDEFINED OP CODE
   214  IFO078      UNDEFINED OP CODE
   217  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   220  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   221  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   222  IFO197      *** MNOTE ***
   224  IFO078      UNDEFINED OP CODE
