ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   42
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    90  IFO078      UNDEFINED OP CODE
    99  IFO078      UNDEFINED OP CODE
   106  IFO078      UNDEFINED OP CODE
   108  IFO078      UNDEFINED OP CODE
   115  IFO078      UNDEFINED OP CODE
   118  IFO078      UNDEFINED OP CODE
   121  IFO078      UNDEFINED OP CODE
   124  IFO078      UNDEFINED OP CODE
   127  IFO078      UNDEFINED OP CODE
   130  IFO078      UNDEFINED OP CODE
   133  IFO078      UNDEFINED OP CODE
   136  IFO078      UNDEFINED OP CODE
   139  IFO078      UNDEFINED OP CODE
   142  IFO078      UNDEFINED OP CODE
   150  IFO078      UNDEFINED OP CODE
   152  IFO078      UNDEFINED OP CODE
   154  IFO078      UNDEFINED OP CODE
   156  IFO188      SUBCD0 IS AN UNDEFINED SYMBOL
   157  IFO078      UNDEFINED OP CODE
   206  IFO188      R3 IS AN UNDEFINED SYMBOL
   206  IFO188      R3 IS AN UNDEFINED SYMBOL
   206  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   207  IFO188      R14 IS AN UNDEFINED SYMBOL
   210  IFO188      R3 IS AN UNDEFINED SYMBOL
   210  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 5
   211  IFO188      R3 IS AN UNDEFINED SYMBOL
   211  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 8
   211  IFO188      R3 IS AN UNDEFINED SYMBOL
   211  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 14
   212  IFO188      R14 IS AN UNDEFINED SYMBOL
   215  IFO188      R3 IS AN UNDEFINED SYMBOL
   215  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 5
   216  IFO188      R3 IS AN UNDEFINED SYMBOL
   216  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   216  IFO188      R3 IS AN UNDEFINED SYMBOL
   216  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 15
   217  IFO188      R14 IS AN UNDEFINED SYMBOL
   219  IFO188      R5 IS AN UNDEFINED SYMBOL
   219  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   220  IFO188      R5 IS AN UNDEFINED SYMBOL
   220  IFO188      ZONERR IS AN UNDEFINED SYMBOL
   221  IFO188      R5 IS AN UNDEFINED SYMBOL
   222  IFO188      R5 IS AN UNDEFINED SYMBOL
   223  IFO188      R5 IS AN UNDEFINED SYMBOL
   223  IFO188      NOTUSED IS AN UNDEFINED SYMBOL
   224  IFO188      R5 IS AN UNDEFINED SYMBOL
   224  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   225  IFO188      R14 IS AN UNDEFINED SYMBOL
   227  IFO188      R3 IS AN UNDEFINED SYMBOL
   227  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 7
   227  IFO188      R4 IS AN UNDEFINED SYMBOL
   227  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 13
   228  IFO188      R14 IS AN UNDEFINED SYMBOL
   230  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   43
