ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   26
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0    1  IFO068      COPY MEMBER IFCMACS NOT FOUND IN LIBRARY
    68  IFO078      UNDEFINED OP CODE
    69  IFO078      UNDEFINED OP CODE
    70  IFO078      UNDEFINED OP CODE
    71  IFO078      UNDEFINED OP CODE
    74  IFO078      UNDEFINED OP CODE
    75  IFO078      UNDEFINED OP CODE
    76  IFO078      UNDEFINED OP CODE
    77  IFO188      CSWUS IS AN UNDEFINED SYMBOL
    78  IFO078      UNDEFINED OP CODE
    80  IFO078      UNDEFINED OP CODE
    81  IFO078      UNDEFINED OP CODE
    82  IFO078      UNDEFINED OP CODE
    83  IFO078      UNDEFINED OP CODE
    84  IFO078      UNDEFINED OP CODE
    85  IFO078      UNDEFINED OP CODE
    88  IFO078      UNDEFINED OP CODE
    89  IFO078      UNDEFINED OP CODE
   102  IFO188      DEPSW IS AN UNDEFINED SYMBOL
   103  IFO188      R14 IS AN UNDEFINED SYMBOL
   104  IFO188      L0 IS AN UNDEFINED SYMBOL
   104  IFO188      L15 IS AN UNDEFINED SYMBOL
   104  IFO188      R3 IS AN UNDEFINED SYMBOL
   104  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
   104  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
   104  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   105  IFO188      L16 IS AN UNDEFINED SYMBOL
   105  IFO188      L8 IS AN UNDEFINED SYMBOL
   105  IFO188      R3 IS AN UNDEFINED SYMBOL
   105  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
   105  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
   105  IFO188      TASKID IS AN UNDEFINED SYMBOL
   106  IFO188      R14 IS AN UNDEFINED SYMBOL
   109  IFO188      L5 IS AN UNDEFINED SYMBOL
   109  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   109  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   109  IFO188      DATE IS AN UNDEFINED SYMBOL
   109  IFO188      L3 IS AN UNDEFINED SYMBOL
   109  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 20
   110  IFO188      L6 IS AN UNDEFINED SYMBOL
   110  IFO188      L2 IS AN UNDEFINED SYMBOL
   110  IFO188      R3 IS AN UNDEFINED SYMBOL
   110  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   110  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   110  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   111  IFO188      L0 IS AN UNDEFINED SYMBOL
   111  IFO188      L3 IS AN UNDEFINED SYMBOL
   111  IFO188      R3 IS AN UNDEFINED SYMBOL
   111  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   111  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   111  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   114  IFO188      R5 IS AN UNDEFINED SYMBOL
   114  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
