ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   35
   432  IFO078      UNDEFINED OP CODE
   433  IFO078      UNDEFINED OP CODE
   434  IFO078      UNDEFINED OP CODE
   435  IFO078      UNDEFINED OP CODE
   436  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   37
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  442  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   443  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   444  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   445  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   446  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   446  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   447  IFO197      *** MNOTE ***
   447  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   449  IFO078      UNDEFINED OP CODE
   450  IFO078      UNDEFINED OP CODE
   451  IFO078      UNDEFINED OP CODE
   452  IFO078      UNDEFINED OP CODE
   453  IFO078      UNDEFINED OP CODE
   454  IFO078      UNDEFINED OP CODE
   455  IFO078      UNDEFINED OP CODE
   456  IFO078      UNDEFINED OP CODE
   457  IFO078      UNDEFINED OP CODE
   463  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   464  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   465  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   466  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   467  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   467  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   468  IFO197      *** MNOTE ***
   468  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   470  IFO078      UNDEFINED OP CODE
   471  IFO078      UNDEFINED OP CODE
   472  IFO078      UNDEFINED OP CODE
   473  IFO078      UNDEFINED OP CODE
   474  IFO078      UNDEFINED OP CODE
   475  IFO078      UNDEFINED OP CODE
   476  IFO078      UNDEFINED OP CODE
   477  IFO078      UNDEFINED OP CODE
   478  IFO078      UNDEFINED OP CODE
   484  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   485  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   486  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   487  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   488  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   488  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   489  IFO197      *** MNOTE ***
   489  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   491  IFO078      UNDEFINED OP CODE
   492  IFO078      UNDEFINED OP CODE
   493  IFO078      UNDEFINED OP CODE
   494  IFO078      UNDEFINED OP CODE
   495  IFO078      UNDEFINED OP CODE
   496  IFO078      UNDEFINED OP CODE
   497  IFO078      UNDEFINED OP CODE
   498  IFO078      UNDEFINED OP CODE
   499  IFO078      UNDEFINED OP CODE
