ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   28
   354  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   355  IFO078      UNDEFINED OP CODE
   356  IFO078      UNDEFINED OP CODE
   357  IFO078      UNDEFINED OP CODE
   363  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   364  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   365  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   366  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   367  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   367  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   368  IFO197      *** MNOTE ***
   368  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   369  IFO078      UNDEFINED OP CODE
   370  IFO078      UNDEFINED OP CODE
   371  IFO078      UNDEFINED OP CODE
   377  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   378  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   379  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   380  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   381  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   30
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  381  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   382  IFO197      *** MNOTE ***
   382  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   383  IFO078      UNDEFINED OP CODE
   384  IFO078      UNDEFINED OP CODE
   385  IFO078      UNDEFINED OP CODE
   391  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   392  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   393  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   394  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   395  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   395  IFO108      CHARACTER STRING USED AS AN ARITHMETIC TERM CONTAINS NON-DECIMAL CHARACTERS
   396  IFO197      *** MNOTE ***
   396  IFO185      BLANK EXPECTED AS A DELIMITER NEAR OPERAND COLUMN 49
   397  IFO078      UNDEFINED OP CODE
   398  IFO078      UNDEFINED OP CODE
   404  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   405  IFO197      *** MNOTE ***
   412  IFO078      UNDEFINED OP CODE
   413  IFO078      UNDEFINED OP CODE
   414  IFO078      UNDEFINED OP CODE
   415  IFO078      UNDEFINED OP CODE
   416  IFO078      UNDEFINED OP CODE
   417  IFO078      UNDEFINED OP CODE
   418  IFO078      UNDEFINED OP CODE
   419  IFO078      UNDEFINED OP CODE
