ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   20
   132  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   133  IFO188      R5 IS AN UNDEFINED SYMBOL
   133  IFO188      R4 IS AN UNDEFINED SYMBOL
   133  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 8
   134  IFO188      R5 IS AN UNDEFINED SYMBOL
   134  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   135  IFO188      R5 IS AN UNDEFINED SYMBOL
   135  IFO188      L1 IS AN UNDEFINED SYMBOL
   136  IFO188      R5 IS AN UNDEFINED SYMBOL
   136  IFO188      R5 IS AN UNDEFINED SYMBOL
   136  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 12
   136  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   137  IFO188      L0 IS AN UNDEFINED SYMBOL
   137  IFO188      L2 IS AN UNDEFINED SYMBOL
   137  IFO188      R3 IS AN UNDEFINED SYMBOL
   137  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   137  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   137  IFO188      R5 IS AN UNDEFINED SYMBOL
   137  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 15
   138  IFO188      R5 IS AN UNDEFINED SYMBOL
   138  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   139  IFO188      R14 IS AN UNDEFINED SYMBOL
   143  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   147  IFO078      UNDEFINED OP CODE
   148  IFO078      UNDEFINED OP CODE
   151  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   154  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   22
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  155  IFO197      *** MNOTE ***
   157  IFO078      UNDEFINED OP CODE
   158  IFO078      UNDEFINED OP CODE
   161  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   164  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   165  IFO197      *** MNOTE ***
   167  IFO078      UNDEFINED OP CODE
   168  IFO078      UNDEFINED OP CODE
   169  IFO078      UNDEFINED OP CODE
   172  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
