module	dlib	state	tk5_rmid	ce_rmid	bytes_tk5	bytes_ce	bytes_equal	v_tk5	v_ce	sect_tk5	sect_ce	diff_tk5	diff_ce	len_tk5	len_ce
IDCRS03	AOSU0	rmid-differs	UZ74312	UZ56650	17594	17594	N	differs	differs	1	1	29	36	N	N
IDCRS04	AOSU0	rmid-differs	UZ74312	UZ56650	9942	9942	N	differs	differs	1	1	27	26	N	N
IDCRS05	AOSU0	rmid-differs	UZ74312	UZ56650	11098	11098	N	differs	differs	1	1	215	215	N	N
IDCRS06	AOSU0	rmid-differs	UZ74312	UZ56650	13370	13362	N	differs	differs	1	1	0	56	Y	N
IDCRS07	AOSU0	rmid-differs	UZ74312	UZ56650	10370	10370	N	differs	differs	1	1	20	27	N	N
IDCRV01	AOSU0	same	UZ29438	UZ29438	8365	8365	Y	differs	differs	1	1	0	0	Y	Y
IDCSA01	AOSU0	same	UZ31929	UZ31929	5401	5401	Y	differs	differs	1	1	0	0	Y	Y
IDCSA02	AOSU0	rmid-differs	UZ67828	UZ51920	13521	13109	N	differs	differs	1	1	0	0	Y	Y
IDCSA03	AOSU0	same	EDM1102	EDM1102	2141	2141	Y	differs	differs	1	1	4	4	N	N
IDCSA05	AOSU0	same	EDM1102	EDM1102	1269	1269	Y	identical	identical	1	1	0	0	N	N
IDCSA06	AOSU0	same	EMS1102	EMS1102	9889	9889	Y	differs	differs	1	1	0	0	Y	Y
IDCSA07	AOSU0	rmid-differs	UY01975	UZ55784	5941	5757	N	differs	differs	1	1	0	0	Y	Y
IDCSA08	AOSU0	rmid-differs	UZ69576	EDM1102	5241	5013	N	differs	differs	1	1	0	0	Y	Y
IDCSA09	AOSU0	rmid-differs	UY16087	EMS1102	3949	3869	N	differs	identical	1	1	0	0	Y	N
IDCSA10	AOSU0	same	EMS1102	EMS1102	2917	2917	Y	differs	differs	1	1	0	0	Y	Y
IDCSD01	AOSU0	rmid-differs	UY01975	EMS1102	11233	10849	N	differs	identical	1	1	0	0	Y	N
IDCSG01	AOSU0	same	EMS1102	EMS1102	1617	1617	Y	identical	identical	1	1	0	0	N	N
IDCSR01	AOSU0	same	EMS1102	EMS1102	9813	9813	Y	differs	differs	1	1	2	2	N	N
IDCST01	AOSU0	same	EMS1102	EMS1102	2245	2245	Y	differs	differs	1	1	0	0	Y	Y
IDCSV01	AOSU0	same	UZ37274	UZ37274	7337	7337	Y	differs	differs	1	1	0	0	Y	Y
IDCTP01	AOSU0	rmid-differs	UZ74329	UZ57157	10345	10321	N	differs	differs	1	1	0	0	Y	Y
IDCTP04	AOSU0	same	EDM1102	EDM1102	5005	5005	Y	differs	differs	1	1	70	70	N	N
IDCTP05	AOSU0	same	EDM1102	EDM1102	1649	1649	Y	differs	differs	1	1	47	47	N	N
IDCTP06	AOSU0	same	UZ27169	UZ27169	2242	2242	Y	differs	differs	1	1	0	0	Y	Y
IDCTR01	AOSU0	same	UZ25620	UZ25620	7570	7570	Y	differs	differs	1	1	0	0	Y	Y
IDCTSAL0	AOSU0	same	EDM1102	EDM1102	2381	2381	Y	identical	identical	1	1	0	0	N	N
IDCTSAU0	AOSU0	same	EMS1102	EMS1102	5378	5378	Y	differs	differs	1	1	85	85	N	N
IDCTSAV0	AOSU0	same	EMS1102	EMS1102	997	997	Y	identical	identical	1	1	0	0	N	N
IDCTSBI0	AOSU0	same	EDM1102	EDM1102	1869	1869	Y	identical	identical	1	1	0	0	N	N
IDCTSCC0	AOSU0	same	EDM1102	EDM1102	1525	1525	Y	identical	identical	1	1	0	0	N	N
IDCTSCH0	AOSU0	same	UZ90118	UZ90118	6650	6650	Y	differs	differs	1	1	0	0	Y	Y
IDCTSCK0	AOSU0	same	UZ22613	UZ22613	1507	1507	Y	differs	differs	1	1	0	0	Y	Y
IDCTSCM0	AOSU0	rmid-differs	UZ57201	UZ25620	7182	6823	N	differs	differs	1	1	0	0	Y	Y
IDCTSCN0	AOSU0	same	EMS1102	EMS1102	1465	1465	Y	identical	identical	1	1	0	0	N	N
IDCTSCO0	AOSU0	same	UZ34692	UZ34692	1358	1358	Y	differs	differs	1	1	1	1	N	N
IDCTSCP0	AOSU0	same	EMS1102	EMS1102	2597	2597	Y	identical	identical	1	1	0	0	N	N
IDCTSCT0	AOSU0	same	EMS1102	EMS1102	429	429	Y	identical	identical	1	1	0	0	N	N
IDCTSCV0	AOSU0	same	EMS1102	EMS1102	1253	1253	Y	identical	identical	1	1	0	0	N	N
IDCTSDE0	AOSU0	same	UZ28083	UZ28083	2575	2575	Y	identical	identical	1	1	0	0	N	N
IDCTSDL0	AOSU0	same	UZ56312	UZ56312	1538	1538	Y	differs	differs	1	1	0	0	Y	Y
IDCTSDU0	AOSU0	same	UZ90134	UZ90134	5814	5814	Y	differs	differs	1	1	0	0	Y	Y
IDCTSEC0	AOSU0	same	EMS1102	EMS1102	765	765	Y	identical	identical	1	1	0	0	N	N
IDCTSEV0	AOSU0	same	EMS1102	EMS1102	405	405	Y	identical	identical	1	1	0	0	N	N
IDCTSEX0	AOSU0	same	EDM1102	EDM1102	1293	1293	Y	differs	differs	1	1	3	3	N	N
IDCTSIO0	AOSU0	same	EDM1102	EDM1102	3394	3394	Y	identical	identical	1	1	0	0	N	N
IDCTSIO5	AOSU0	same	EMS1102	EMS1102	1005	1005	Y	identical	identical	1	1	0	0	N	N
IDCTSLC0	AOSU0	same	UZ28477	UZ28477	9479	9479	Y	differs	differs	1	1	0	0	Y	Y
IDCTSLC1	AOSU0	rmid-differs	UZ67138	EDM1102	1954	1854	N	differs	identical	1	1	0	0	Y	N
IDCTSLD0	AOSU0	rmid-differs	UY01975	EMS1102	4814	4882	N	differs	identical	1	1	4	0	N	N
IDCTSLM0	AOSU0	same	EMS1102	EMS1102	3517	3517	Y	identical	identical	1	1	0	0	N	N
IDCTSLR0	AOSU0	same	EDM1102	EDM1102	1462	1462	Y	identical	identical	1	1	0	0	N	N
IDCTSLR1	AOSU0	same	EDM1102	EDM1102	1605	1605	Y	identical	identical	1	1	0	0	N	N
IDCTSLV0	AOSU0	rmid-differs	UY01975	UZ90149	12838	13038	N	differs	differs	1	1	0	0	Y	Y
IDCTSMC0	AOSU0	same	EMS1102	EMS1102	562	562	Y	differs	differs	1	1	0	0	Y	Y
IDCTSMG0	AOSU0	same	EMS1102	EMS1102	517	517	Y	identical	identical	1	1	0	0	N	N
IDCTSMP0	AOSU0	same	EDM1102	EDM1102	2297	2297	Y	identical	identical	1	1	0	0	N	N
IDCTSMV0	AOSU0	same	EMS1102	EMS1102	581	581	Y	identical	identical	1	1	0	0	N	N
IDCTSNC0	AOSU0	same	EMS1102	EMS1102	437	437	Y	identical	identical	1	1	0	0	N	N
IDCTSPR0	AOSU0	rmid-differs	UZ50178	UZ51920	2494	2266	N	differs	differs	1	1	0	0	Y	Y
IDCTSRC0	AOSU0	same	EDM1102	EDM1102	2458	2458	Y	identical	identical	1	1	0	0	N	N
IDCTSRD0	AOSU0	rmid-differs	UZ38932	EMS1102	7858	7782	N	differs	identical	1	1	0	0	Y	N
IDCTSRI0	AOSU0	same	EDM1102	EDM1102	3285	3285	Y	identical	identical	1	1	0	0	N	N
IDCTSRI1	AOSU0	same	EDM1102	EDM1102	1661	1661	Y	identical	identical	1	1	0	0	N	N
IDCTSRL0	AOSU0	same	EMS1102	EMS1102	549	549	Y	identical	identical	1	1	0	0	N	N
IDCTSRR0	AOSU0	same	EMS1102	EMS1102	861	861	Y	identical	identical	1	1	0	0	N	N
IDCTSRS0	AOSU0	same	EDM1102	EDM1102	5362	5362	Y	identical	identical	1	1	0	0	N	N
IDCTSRV0	AOSU0	same	EMS1102	EMS1102	645	645	Y	identical	identical	1	1	0	0	N	N
IDCTSSA0	AOSU0	same	UZ23137	UZ23137	1055	1055	Y	identical	identical	1	1	0	0	N	N
IDCTSSA6	AOSU0	same	EMS1102	EMS1102	1741	1741	Y	identical	identical	1	1	0	0	N	N
IDCTSSA7	AOSU0	same	EMS1102	EMS1102	1285	1285	Y	identical	identical	1	1	0	0	N	N
IDCTSSD0	AOSU0	same	EMS1102	EMS1102	1109	1109	Y	identical	identical	1	1	0	0	N	N
IDCTSSR0	AOSU0	same	EMS1102	EMS1102	965	965	Y	identical	identical	1	1	0	0	N	N
IDCTSSS0	AOSU0	same	UZ90107	UZ90107	3375	3375	Y	differs	differs	1	1	0	0	Y	Y
IDCTSST0	AOSU0	same	EMS1102	EMS1102	421	421	Y	identical	identical	1	1	0	0	N	N
IDCTSSV0	AOSU0	same	EMS1102	EMS1102	637	637	Y	identical	identical	1	1	0	0	N	N
IDCTSTP0	AOSU0	same	EDM1102	EDM1102	2173	2173	Y	differs	differs	1	1	11	11	N	N
IDCTSTP1	AOSU0	same	EDM1102	EDM1102	709	709	Y	identical	identical	1	1	0	0	N	N
IDCTSTP6	AOSU0	rmid-differs	UZ72975	EDM1102	2086	2066	N	differs	identical	1	1	0	0	Y	N
IDCTSTR0	AOSU0	same	EMS1102	EMS1102	773	773	Y	identical	identical	1	1	0	0	N	N
IDCTSTU0	AOSU0	same	UZ90107	UZ90107	3231	3231	Y	differs	differs	1	1	0	0	Y	Y
IDCTSUV0	AOSU0	same	EDM1102	EDM1102	1573	1573	Y	identical	identical	1	1	0	0	N	N
IDCTSVS0	AOSU0	rmid-differs	UZ71348	EMS1102	2106	2085	N	differs	identical	1	1	0	0	Y	N
IDCTSXP0	AOSU0	same	EDM1102	EDM1102	781	781	Y	identical	identical	1	1	0	0	N	N
IDCTU01	AOSU0	same	UZ90107	UZ90107	6898	6898	Y	differs	differs	1	1	0	0	Y	Y
IDCVS01	AOSU0	rmid-differs	UZ38393	UZ55784	9461	9381	N	differs	differs	1	1	0	0	Y	Y
IDCVS02	AOSU0	same	EMS1102	EMS1102	5161	5161	Y	differs	differs	1	1	36	36	N	N
IDCVS03	AOSU0	rmid-differs	UZ46415	UZ56309	8149	8149	N	differs	differs	1	1	0	0	Y	Y
IDCVY01	AOSU0	same	EDM1102	EDM1102	1665	1665	Y	identical	identical	1	1	0	0	N	N
IDCXP01	AOSU0	rmid-differs	UZ76156	EDM1102	13801	13753	N	differs	identical	1	1	8871	0	N	N
IDDWIAPP	AOSA0	rmid-differs	UZ70140	UZ52124	2829	2773	N	differs	differs	1	1	0	0	Y	Y
IDDWICLS	AOSA0	rmid-differs	UZ61349	UZ52124	909	909	N	differs	differs	1	1	0	0	Y	Y
IDDWICPI	AOSA0	rmid-differs	UZ70140	UZ52124	5230	5190	N	differs	differs	1	1	0	0	Y	Y
IDDWIJRN	AOSA0	rmid-differs	UZ61605	UZ54991	2273	2425	N	differs	differs	1	1	0	0	Y	Y
IDDWIMRG	AOSA1	same	EDM1102	EDM1102	469	469	Y	differs	differs	1	1	4	4	N	N
IDDWITRM	AOSA0	rmid-differs	UZ61349	UZ52124	997	997	N	differs	differs	1	1	133	134	N	N
IEAFTEED	AOSC5	same	UZ21482	UZ21482	6054	6054	Y	differs	differs	1	1	0	0	Y	Y
IEAFTIHS	AOSC5	same	UZ21482	UZ21482	6350	6350	Y	differs	differs	1	1	0	0	Y	Y
IEAFTRT2	AOSC5	same	UZ30649	UZ30649	11386	11386	Y	differs	differs	1	1	0	0	Y	Y
IEAFTSCB	AOSC5	same	UZ24820	UZ24820	5282	5282	Y	differs	differs	1	1	0	0	Y	Y
IEAQWAIT	AOS00	same	EBB1102	EBB1102	461	461	Y	differs	differs	2	2	0	0	N	N
IEASMFEX	AOS00	same	UZ38026	UZ38026	671	671	Y	differs	differs	2	2	0	0	N	N
IEATLEXT	AOS00	same	EBB1102	EBB1102	965	965	Y	differs	differs	1	1	144	144	N	N
IEAVAD00	AOSC5	same	UZ53816	UZ53816	6362	6362	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD01	AOSC5	same	UZ61929	UZ61929	8953	8953	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD02	AOSC5	same	FBB1221	FBB1221	1049	1049	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD03	AOSC5	same	UZ31253	UZ31253	4598	4598	Y	differs	differs	1	1	925	925	N	N
IEAVAD05	AOSC5	same	EBB1102	EBB1102	2549	2549	Y	identical	identical	1	1	0	0	N	N
IEAVAD06	AOSC5	same	EBB1102	EBB1102	2257	2257	Y	identical	identical	1	1	0	0	N	N
IEAVAD07	AOSC5	same	UZ60132	UZ60132	3325	3325	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD08	AOSC5	same	UZ61929	UZ61929	1262	1262	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD09	AOSC5	same	EBB1102	EBB1102	841	841	Y	identical	identical	1	1	0	0	N	N
IEAVAD0A	AOSC5	same	UZ25903	UZ25903	1854	1854	Y	differs	differs	1	1	1158	1158	N	N
IEAVAD0B	AOSC5	same	EBB1102	EBB1102	3513	3513	Y	identical	identical	1	1	0	0	N	N
IEAVAD0C	AOSC5	same	EBB1102	EBB1102	1117	1117	Y	identical	identical	1	1	0	0	N	N
IEAVAD0D	AOSC5	same	UZ76909	UZ76909	3150	3150	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD0E	AOSC5	same	UZ27256	UZ27256	3078	3078	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD0F	AOSC5	same	UZ61153	UZ61153	1477	1477	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD10	AOSC5	same	EBB1102	EBB1102	1257	1257	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD11	AOSC5	rmid-differs	UY35469	UZ31337	1006	935	N	differs	differs	1	1	0	0	Y	Y
IEAVAD31	AOSC5	same	UZ52371	UZ52371	687	687	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD51	AOSC5	same	UZ61115	UZ61115	1182	1182	Y	differs	differs	1	1	0	0	Y	Y
IEAVAD71	AOSC5	same	EBB1102	EBB1102	2029	2029	Y	differs	differs	1	1	5	5	N	N
IEAVADFM	AOSC5	same	EBB1102	EBB1102	381	381	Y	identical	identical	1	1	0	0	N	N
IEAVADUS	AOSC5	same	EBB1102	EBB1102	373	373	Y	differs	differs	1	1	5	5	N	N
IEAVAR00	AOSC5	same	UZ29078	UZ29078	3206	3206	Y	differs	differs	1	1	0	0	Y	Y
IEAVAR01	AOSC5	same	UZ69152	UZ69152	749	749	Y	differs	differs	1	1	0	0	Y	Y
IEAVAR02	AOSC5	same	UZ36116	UZ36116	2118	2118	Y	differs	differs	1	1	0	0	Y	Y
IEAVAR03	AOSC5	same	EBB1102	EBB1102	1189	1189	Y	identical	identical	1	1	0	0	N	N
IEAVAR04	AOSC5	same	EBB1102	EBB1102	1889	1889	Y	differs	differs	1	1	0	0	Y	Y
IEAVAR05	AOSC5	rmid-differs	UY40025	UZ37194	1229	1238	N	differs	differs	1	1	608	0	N	Y
IEAVAR06	AOSC5	same	UZ28168	UZ28168	1382	1382	Y	differs	differs	1	1	611	611	N	N
IEAVAR07	AOSC5	same	EBB1102	EBB1102	1013	1013	Y	identical	identical	1	1	0	0	N	N
IEAVAX00	AOSC5	same	UZ51847	UZ51847	2506	2506	Y	differs	differs	1	1	0	0	Y	Y
IEAVBLDP	AOSC5	same	EBB1102	EBB1102	1013	1013	Y	differs	differs	1	1	0	0	Y	Y
IEAVCARR	AOSC5	same	EBB1102	EBB1102	1485	1485	Y	differs	differs	1	1	0	0	Y	Y
IEAVCKEY	AOSC5	same	EBB1102	EBB1102	1657	1657	Y	differs	differs	1	1	2	2	N	N
IEAVCKRR	AOSC5	same	EBB1102	EBB1102	629	629	Y	differs	differs	1	1	4	4	N	N
IEAVDELP	AOSC5	same	EBB1102	EBB1102	773	773	Y	differs	differs	1	1	0	0	Y	Y
IEAVDSEG	AOSC5	same	EBB1102	EBB1102	677	677	Y	differs	differs	1	1	4	4	N	N
IEAVEAC0	AOSC5	same	UZ36086	UZ36086	1558	1558	Y	identical	identical	1	1	0	0	N	N
IEAVECBV	AOSC5	same	EBB1102	EBB1102	1245	1245	Y	differs	differs	1	1	2	2	N	N
IEAVECH0	AOSC5	same	EBB1102	EBB1102	2029	2029	Y	differs	differs	1	1	0	0	Y	Y
IEAVEDR	AOSC5	same	UZ36461	UZ36461	1091	1091	Y	differs	differs	1	1	12	12	N	N
IEAVEDSR	AOSC5	same	EBB1102	EBB1102	1525	1525	Y	differs	differs	1	1	1	1	N	N
IEAVEE1R	AOSC5	same	EBB1102	EBB1102	445	445	Y	identical	identical	1	1	0	0	N	N
IEAVEE2R	AOSC5	same	EBB1102	EBB1102	453	453	Y	identical	identical	1	1	0	0	N	N
IEAVEE3R	AOSC5	same	EBB1102	EBB1102	437	437	Y	identical	identical	1	1	0	0	N	N
IEAVEED0	AOSC5	same	EBB1102	EBB1102	1813	1813	Y	differs	differs	1	1	0	0	Y	Y
IEAVEEE0	AOSC5	same	FBB1221	FBB1221	1393	1393	Y	identical	identical	1	1	0	0	N	N
IEAVEEE2	AOSC5	same	EBB1102	EBB1102	605	605	Y	differs	differs	1	1	0	0	Y	Y
IEAVEEEP	AOSC5	same	EBB1102	EBB1102	517	517	Y	differs	differs	1	1	10	10	N	N
IEAVEEER	AOSC5	same	EBB1102	EBB1102	1021	1021	Y	differs	differs	1	1	5	5	N	N
IEAVEES	AOSC5	rmid-differs	UZ58916	FBB1221	906	802	N	differs	differs	1	1	21	0	N	Y
IEAVEEXP	AOSC5	same	EBB1102	EBB1102	1381	1381	Y	differs	differs	1	1	0	0	Y	Y
IEAVEEXT	AOSC5	same	UZ24824	UZ24824	1399	1399	Y	identical	identical	1	1	0	0	N	N
IEAVEF00	AOSC5	same	EBB1102	EBB1102	629	629	Y	differs	differs	1	1	6	6	N	N
IEAVEIO	AOSC5	same	UZ28752	UZ28752	1103	1103	Y	differs	differs	1	1	4	4	N	N
IEAVEIOR	AOSC5	same	EBB1102	EBB1102	397	397	Y	identical	identical	1	1	0	0	N	N
IEAVEIPR	AOSC5	same	UZ34944	UZ34944	535	535	Y	differs	differs	1	1	15	15	N	N
IEAVELCR	AOSC5	same	EBB1102	EBB1102	1269	1269	Y	identical	identical	1	1	0	0	N	N
IEAVELIT	AOSC5	same	EBB1102	EBB1102	1713	1713	Y	identical	identical	1	1	0	0	N	N
IEAVELKR	AOSC5	same	EBB1102	EBB1102	2182	2182	Y	identical	identical	1	1	0	0	N	N
IEAVEMCR	AOSC5	same	EBB1102	EBB1102	1557	1557	Y	differs	differs	1	1	0	0	Y	Y
IEAVEMDL	AOSC5	same	EBB1102	EBB1102	1549	1549	Y	differs	differs	1	1	0	0	Y	Y
IEAVEMIN	AOSC5	same	FBB1221	FBB1221	1353	1353	Y	differs	differs	1	1	0	0	Y	Y
IEAVEMRQ	AOSC5	same	FBB1221	FBB1221	3257	3257	Y	differs	differs	1	1	0	0	Y	Y
IEAVEMS0	AOSC5	same	EBB1102	EBB1102	881	881	Y	differs	differs	2	2	13	13	N	N
IEAVEOR	AOSC5	same	UZ24351	UZ24351	2086	2086	Y	differs	differs	1	1	17	17	N	N
IEAVEPC	AOSC5	same	UZ36571	UZ36571	3671	3671	Y	differs	differs	1	1	12	12	N	N
IEAVEPCR	AOSC5	same	EBB1102	EBB1102	485	485	Y	differs	differs	1	1	6	6	N	N
IEAVEPD0	AOSC5	same	EBB1102	EBB1102	1529	1529	Y	differs	differs	1	1	0	0	Y	Y
IEAVEPDR	AOSC5	same	EBB1102	EBB1102	845	845	Y	differs	differs	1	1	8	8	N	N
IEAVERER	AOSC5	same	EBB1102	EBB1102	413	413	Y	identical	identical	1	1	0	0	N	N
IEAVERI	AOSC5	same	UZ29943	UZ29943	1223	1223	Y	differs	differs	1	1	13	13	N	N
IEAVERP	AOSC5	same	UZ29943	UZ29943	839	839	Y	differs	differs	1	1	15	15	N	N
IEAVESCR	AOSC5	same	EBB1102	EBB1102	925	925	Y	differs	differs	1	1	5	5	N	N
IEAVESPR	AOSC5	same	EBB1102	EBB1102	2297	2297	Y	identical	identical	1	1	0	0	N	N
IEAVESVC	AOSC5	same	FBB1221	FBB1221	2274	2274	Y	differs	differs	1	1	13	13	N	N
IEAVESVR	AOSC5	same	EBB1102	EBB1102	413	413	Y	identical	identical	1	1	0	0	N	N
IEAVEUPC	AOSC5	same	EBB1102	EBB1102	389	389	Y	identical	identical	1	1	0	0	N	N
IEAVEVAL	AOSC5	same	UZ52628	UZ52628	911	911	Y	differs	differs	1	1	21	21	N	N
IEAVEVT0	AOSC5	same	EBB1102	EBB1102	1785	1785	Y	differs	differs	1	1	12	12	N	N
IEAVEXS	AOSC5	same	EBB1102	EBB1102	909	909	Y	differs	differs	1	1	0	0	Y	Y
IEAVFP	AOSC5	same	UZ28905	UZ28905	615	615	Y	differs	differs	1	1	14	14	N	N
IEAVFREE	AOSC5	same	UZ33993	UZ33993	1806	1806	Y	differs	differs	1	1	22	22	N	N
IEAVGCAS	AOSC5	same	EBB1102	EBB1102	3049	3049	Y	differs	differs	1	1	0	0	Y	Y
IEAVGPRR	AOSC5	same	EBB1102	EBB1102	3537	3537	Y	differs	differs	1	1	0	0	Y	Y
IEAVIOCP	AOSC5	same	EBB1102	EBB1102	1965	1965	Y	differs	differs	1	1	4	4	N	N
IEAVITAS	AOSC5	same	EBB1102	EBB1102	1345	1345	Y	differs	differs	1	1	12	12	N	N
IEAVLK02	AOSC5	same	UZ69157	UZ69157	2298	2298	Y	differs	differs	1	1	15	15	N	N
IEAVLK03	AOSC5	same	UZ69157	UZ69157	1662	1662	Y	differs	differs	1	1	16	16	N	N
IEAVMASV	AOSC5	same	EBB1102	EBB1102	1221	1221	Y	differs	differs	1	1	0	0	Y	Y
IEAVMDOM	AOSC5	same	UZ34090	UZ34090	3054	3054	Y	differs	differs	1	1	0	0	Y	Y
IEAVMED2	AOSC5	same	UZ23078	UZ23078	2754	2754	Y	differs	differs	1	1	0	0	Y	Y
IEAVMNTR	AOSC5	same	EBB1102	EBB1102	1917	1917	Y	differs	differs	1	1	18	18	N	N
IEAVMQR0	AOSC5	same	EBB1102	EBB1102	1581	1581	Y	differs	differs	1	1	6	6	N	N
IEAVMQWR	AOSC5	same	FBB1221	FBB1221	1610	1610	Y	differs	differs	1	1	0	0	Y	Y
IEAVMSGS	AOSC5	same	EBB1102	EBB1102	901	901	Y	identical	identical	1	1	0	0	N	N
IEAVMWSV	AOSC5	same	UZ28173	UZ28173	3255	3255	Y	differs	differs	1	1	0	0	Y	Y
IEAVMWTL	AOSC5	same	EBB1102	EBB1102	493	493	Y	identical	identical	1	1	0	0	N	N
IEAVMWTO	AOSC5	rmid-differs	UZ62088	UZ52963	5662	5663	N	differs	differs	1	1	0	0	Y	Y
IEAVNPB6	AOSC5	same	EBB1102	EBB1102	362	362	Y	identical	identical	1	1	0	0	N	N
IEAVPCB	AOSC5	same	UZ53364	UZ53364	2358	2358	Y	differs	differs	1	1	17	17	N	N
IEAVPFTE	AOSC5	same	EBB1102	EBB1102	2417	2417	Y	differs	differs	1	1	13	13	N	N
IEAVPREF	AOSC5	same	UZ33317	UZ33317	1750	1750	Y	differs	differs	1	1	24	24	N	N
IEAVPRSB	AOSC5	same	EBB1102	EBB1102	1329	1329	Y	differs	differs	1	1	13	13	N	N
IEAVPSI	AOSC5	same	UZ34542	UZ34542	3247	3247	Y	differs	differs	1	1	15	15	N	N
IEAVRSM	AOSC5	same	UZ28909	UZ28909	3519	3519	Y	differs	differs	1	1	14	14	N	N
IEAVRT00	AOSC5	same	UZ35704	UZ35704	3878	3878	Y	differs	differs	1	1	0	0	Y	Y
IEAVRT01	AOSC5	rmid-differs	UZ83139	EBB1102	1621	1757	N	differs	differs	1	1	0	5	Y	N
IEAVRT02	AOSC5	same	EBB1102	EBB1102	685	685	Y	differs	differs	1	1	0	0	Y	Y
IEAVRTI1	AOSC5	same	UZ61852	UZ61852	4381	4381	Y	differs	differs	1	1	78	78	N	N
IEAVRTOD	AOSC5	same	FBB1221	FBB1221	6777	6777	Y	identical	identical	1	1	0	0	N	N
IEAVSETS	AOSC5	same	UZ35514	UZ35514	4143	4143	Y	differs	differs	1	1	19	19	N	N
IEAVSQA	AOSC5	same	UZ35051	UZ35051	2166	2166	Y	differs	differs	1	1	12	12	N	N
IEAVSTA0	AOSC5	same	UZ56054	UZ56054	2854	2854	Y	differs	differs	1	1	0	0	Y	Y
IEAVSWCH	AOSC5	same	UZ61918	UZ61918	12073	12073	N	differs	differs	1	1	0	0	Y	Y
IEAVTABD	AOSC5	same	UZ62593	UZ62593	8165	8165	Y	differs	differs	1	1	0	0	Y	Y
IEAVTACR	AOSC5	same	FBB1221	FBB1221	3257	3257	Y	identical	identical	1	1	0	0	N	N
IEAVTADR	AOSC5	same	FBB1221	FBB1221	969	969	Y	identical	identical	1	1	0	0	N	N
IEAVTAS1	AOSC5	same	UZ37896	UZ37896	4470	4470	Y	differs	differs	1	1	0	0	Y	Y
IEAVTAS2	AOSC5	same	UZ33264	UZ33264	1718	1718	Y	differs	differs	1	1	0	0	Y	Y
IEAVTAS3	AOSC5	same	UZ31454	UZ31454	3294	3294	Y	differs	differs	1	1	0	0	Y	Y
IEAVTB00	AOSC5	same	UZ23364	UZ23364	2825	2825	Y	differs	differs	2	2	0	0	Y	Y
IEAVTCR1	AOSC5	same	FBB1221	FBB1221	1793	1793	Y	identical	identical	1	1	0	0	N	N
IEAVTEST	AOSC5	same	UZ56774	UZ56774	717	717	Y	identical	identical	2	2	0	0	N	N
IEAVTFHX	AOSC5	same	EBB1102	EBB1102	2501	2501	Y	identical	identical	1	1	0	0	N	N
IEAVTFMT	AOSC5	same	UZ32271	UZ32271	6030	6030	Y	differs	differs	1	1	0	0	Y	Y
IEAVTFRD	AOSC5	same	UZ64091	UZ64091	1981	1981	Y	differs	differs	1	1	0	0	Y	Y
IEAVTFRT	AOSC5	rmid-differs	UZ84624	UZ21482	1469	1454	N	differs	differs	1	1	0	0	Y	Y
IEAVTFSD	AOSC5	rmid-differs	UZ84624	UZ59620	1749	1725	N	differs	differs	1	1	0	0	Y	Y
IEAVTFTM	AOSC5	same	FBB1221	FBB1221	4358	4358	Y	identical	identical	1	1	0	0	N	N
IEAVTGLB	AOSC5	same	UZ57404	UZ57404	5642	5642	Y	differs	differs	1	1	0	0	Y	Y
IEAVTJBN	AOSC5	same	UZ28319	UZ28319	1402	1402	Y	differs	differs	1	1	0	0	Y	Y
IEAVTLCL	AOSC5	same	UZ27080	UZ27080	3314	3314	Y	differs	differs	1	1	0	0	Y	Y
IEAVTMMT	AOSC5	same	EBB1102	EBB1102	1453	1453	Y	differs	differs	1	1	26	26	N	N
IEAVTMRM	AOSC5	same	UZ21789	UZ21789	558	558	Y	differs	differs	1	1	0	0	Y	Y
IEAVTMSI	AOSC5	same	EBB1102	EBB1102	1029	1029	Y	differs	differs	1	1	0	0	Y	Y
IEAVTMTC	AOSC5	same	UZ55709	UZ55709	2122	2122	Y	differs	differs	1	1	0	0	Y	Y
IEAVTMTR	AOSC5	same	UZ40179	UZ40179	461	461	Y	differs	differs	1	1	0	0	Y	Y
IEAVTPMT	AOSC5	same	EBB1102	EBB1102	965	965	Y	differs	differs	1	1	14	14	N	N
IEAVTRCE	AOSC5	same	FBB1221	FBB1221	1618	1618	Y	differs	differs	1	1	13	13	N	N
IEAVTRET	AOSC5	same	UZ54347	UZ54347	4038	4038	Y	differs	differs	1	1	0	0	Y	Y
IEAVTRML	AOSC5	same	EBB1102	EBB1102	381	381	Y	identical	identical	1	1	0	0	N	N
IEAVTRT1	AOSC5	same	FBB1221	FBB1221	2314	2314	Y	differs	differs	1	1	13	13	N	N
IEAVTRT2	AOSC5	rmid-differs	UZ62340	UZ33270	4581	4574	N	differs	differs	1	1	0	0	Y	Y
IEAVTRTC	AOSC5	same	UZ55910	UZ55910	4590	4590	Y	differs	differs	1	1	0	0	Y	Y
