module	distlib	tk5_rmid	ce_rmid	state
AMDSAUCB	AOS12	UZ54894	FBB1221	rmid-differs
AMDSAUPD	AOS12	EBB1102	EBB1102	same
AMDSAVCK	AOS12	EBB1102	EBB1102	same
AMDSAWAT	AOS12	EBB1102	EBB1102	same
AMDSYS00	AOS12	FBB1221	FBB1221	same
AMDSYS01	AOS12	UZ47317	UZ79292	rmid-differs
AMDSYS02	AOS12	UZ37851	UZ37851	same
AMDSYS03	AOS12	UZ37852	UZ37852	same
AMDSYS04	AOS12	UZ37852	UZ37852	same
AMDSYS05	AOS12	UZ37851	UZ37851	same
AMDSYS06	AOS12	UZ37851	UZ37851	same
AMDUSRF9	ALPALIB	UZ21888	UZ21888	same
AMDUSRFD	AOS24	UZ29793	UZ29793	same
AMDUSRFE	ALPALIB	UZ22219	UZ22219	same
BLSCAAMS	AOS32	EIP1102	EIP1102	same
BLSCABLD	AOS32	UZ32040	UZ32040	same
BLSCADST	AOS32	EIP1102	EIP1102	same
BLSCADYN	AOS32	UZ90098	UZ90098	same
BLSCAINT	AOS32	UZ90098	UZ90098	same
BLSCALOC	AOS32	UZ90098	UZ90098	same
BLSCAMER	AOS32	EIP1102	EIP1102	same
BLSCAMIN	AOS32	EIP1102	EIP1102	same
BLSCAMOD	AOS32	UZ90098	UZ90098	same
BLSCAMPR	AOS32	EIP1102	EIP1102	same
BLSCANAL	AOS32	EIP1102	EIP1102	same
BLSCANLE	AOS32	UZ90098	UZ90098	same
BLSCANLI	AOS32	EIP1102	EIP1102	same
BLSCCLSE	AOS32	UZ90098	UZ90098	same
BLSCENDD	AOS32	EIP1102	EIP1102	same
BLSCERSE	AOS32	EIP1102	EIP1102	same
BLSCFAMS	AOS32	EIP1102	EIP1102	same
BLSCFDYN	AOS32	UZ90098	UZ90098	same
BLSCFREE	AOS32	EIP1102	EIP1102	same
BLSCGETT	AOS32	UZ90098	UZ90098	same
BLSCGMF	AOS32	EIP1102	EIP1102	same
BLSCHOK	AOS32	EIP1102	EIP1102	same
BLSCOPEN	AOS32	UZ90098	UZ90098	same
BLSCPOIN	AOS32	EIP1102	EIP1102	same
BLSCPUTT	AOS32	EIP1102	EIP1102	same
BLSCRECV	AOS32	EIP1102	EIP1102	same
BLSCRFM	AOS32	EIP1102	EIP1102	same
BLSCRQST	AOS32	EIP1102	EIP1102	same
BLSCRTCB	AOS32	EIP1102	EIP1102	same
BLSCSETT	AOS32	EIP1102	EIP1102	same
BLSCVALT	AOS32	EIP1102	EIP1102	same
BLSDADSD	AOS32	UZ90098	UZ90098	same
BLSDAPDR	AOS32	UZ90098	UZ90098	same
BLSDC070	AOS32	EIP1102	EIP1102	same
BLSDC128	AOS32	EIP1102	EIP1102	same
BLSDC600	AOS32	EIP1102	EIP1102	same
BLSDDEQP	AOS32	EIP1102	EIP1102	same
BLSDDT00	AOS32	EIP1102	EIP1102	same
BLSDENQ0	AOS32	EIP1102	EIP1102	same
BLSDENQP	AOS32	EIP1102	EIP1102	same
BLSDFDSD	AOS32	EIP1102	EIP1102	same
BLSDFPDR	AOS32	EIP1102	EIP1102	same
BLSDIFP0	AOS32	UZ31367	UZ31367	same
BLSDMSG0	AOS32	EIP1102	EIP1102	same
BLSDMSGS	AOS32	UZ33109	UZ33109	same
BLSDPC00	AOS32	EIP1102	EIP1102	same
BLSDSTAE	AOS32	EIP1102	EIP1102	same
BLSDSV00	AOS32	EIP1102	EIP1102	same
BLSDTIME	AOS32	EIP1102	EIP1102	same
BLSDTM00	AOS32	EIP1102	EIP1102	same
BLSDVECT	AOS32	EIP1102	EIP1102	same
BLSDWAIT	AOS32	EIP1102	EIP1102	same
BLSEADP1	AOS32	UZ90098	UZ90098	same
BLSEADPR	AOS32	UZ90097	UZ90097	same
BLSEAUTH	AOS32	EIP1102	EIP1102	same
BLSEDEL0	AOS32	EIP1102	EIP1102	same
BLSEDEL1	AOS32	EIP1102	EIP1102	same
BLSEDELC	AOS32	EIP1102	EIP1102	same
BLSELP00	AOS32	EIP1102	EIP1102	same
BLSELPCC	AOS32	EIP1102	EIP1102	same
BLSELPCL	AOS32	EIP1102	EIP1102	same
BLSELPCT	AOS32	EIP1102	EIP1102	same
BLSELPDR	AOS32	UZ90097	UZ90097	same
BLSELPDS	AOS32	EIP1102	EIP1102	same
BLSELPFM	AOS32	EIP1102	EIP1102	same
BLSELPFR	AOS32	EIP1102	EIP1102	same
BLSELPOP	AOS32	EIP1102	EIP1102	same
BLSEMDP1	AOS32	EIP1102	EIP1102	same
BLSEMDPR	AOS32	EIP1102	EIP1102	same
BLSFAD00	AOS32	EIP1102	EIP1102	same
BLSFAV00	AOS32	EIP1102	EIP1102	same
BLSFBP00	AOS32	EIP1102	EIP1102	same
BLSFCLOS	AOS32	EIP1102	EIP1102	same
BLSFCN00	AOS32	EIP1102	EIP1102	same
BLSFCONF	AOS32	EIP1102	EIP1102	same
BLSFDALL	AOS32	EIP1102	EIP1102	same
BLSFDD00	AOS32	EIP1102	EIP1102	same
BLSFDDDP	AOS32	EIP1102	EIP1102	same
BLSFDEL	AOS32	EIP1102	EIP1102	same
BLSFDERS	AOS32	EIP1102	EIP1102	same
BLSFDF00	AOS32	EIP1102	EIP1102	same
BLSFDS00	AOS32	EIP1102	EIP1102	same
BLSFERAS	AOS32	EIP1102	EIP1102	same
BLSFFL00	AOS32	EIP1102	EIP1102	same
BLSFFP00	AOS32	EIP1102	EIP1102	same
BLSFGD00	AOS32	EIP1102	EIP1102	same
BLSFGG00	AOS32	EIP1102	EIP1102	same
BLSFGP00	AOS32	EIP1102	EIP1102	same
BLSFLALL	AOS32	EIP1102	EIP1102	same
BLSFLD00	AOS32	UZ57960	EIP1102	rmid-differs
BLSFLONE	AOS32	EIP1102	EIP1102	same
BLSFLP00	AOS32	EIP1102	EIP1102	same
BLSFMD00	AOS32	EIP1102	EIP1102	same
BLSFND00	AOS32	EIP1102	EIP1102	same
BLSFND01	AOS32	EIP1102	EIP1102	same
BLSFOD00	AOS32	EIP1102	EIP1102	same
BLSFOPEN	AOS32	EIP1102	EIP1102	same
BLSFPARS	AOS32	EIP1102	EIP1102	same
BLSFPERA	AOS32	EIP1102	EIP1102	same
