module	anchor	seclocate	source
ICKSA02	0x0		anchor
ICKSA03	0x0		anchor
ICKSA05	0x1C	0xF	both
ICKSA08	0x0		anchor
ICKSA10	0x24		anchor
ICKTA01	0x1C		anchor
ICKTP05	0x1C		anchor
ICKTSCC0	0x0		anchor
ICKTSDV0	0x0		anchor
ICKTSEF0	0x0		anchor
ICKTSEX0	0x0		anchor
ICKTSIO0	0x28		anchor
ICKTSRI0	0xC	0xF	both
ICKTSTP1	0x2		anchor
ICKVA01	0x1C		anchor
ICKVLBL	0x1C	0x0	both
ICKVV01	0x1C		anchor
ICKWI01	0x1C		anchor
ICKWL01	0x1C		anchor
ICKWV01	0x1C	0xF	both
IDA0192A	0x4E		anchor
IDA0192B	0x4C	0xF	both
IDA0192C	0x28		anchor
IDA0192D	0x1C	0x0	both
IDA0192F	0x34		anchor
IDA0192I	0x84	0x12	both
IDA0192M	0x4E		anchor
IDA0192P	0x16		anchor
IDA0192S	0x1C	0x269	both
IDA0192V	0x28		anchor
IDA0192Y	0x40		anchor
IDA0192Z	0x34		anchor
IDA019C1	0x4		anchor
IDA019R1	0x0		anchor
IDA019R2	0x16		anchor
IDA019R4	0x4C		anchor
IDA019R5	0x32		anchor
IDA019R8	0x16		anchor
IDA019RA	0x16		anchor
IDA019RD	0x28	0x19	both
IDA019RE	0x1E		anchor
IDA019RF	0x16		anchor
IDA019RG	0x26	0x0	both
IDA019RI	0x2C		anchor
IDA019RJ	0x2C		anchor
IDA019RK	0x16		anchor
IDA019RL	0x16		anchor
IDA019RM	0x26		anchor
IDA019RN	0x2C	0x11	both
IDA019RO	0x16	0x0	both
IDA019RP	0x44		anchor
IDA019RQ	0x16		anchor
IDA019RR	0x2C		anchor
IDA019RS	0x2C	0x11	both
IDA019RW	0x1FA	0x1FA	both
IDA019RX	0x36		anchor
IDA019RY	0x24		anchor
IDA019RZ	0x0		anchor
IDA019S1	0x1C		anchor
IDA019S2	0x26		anchor
IDA019S6	0x42		anchor
IDA019SA	0x16		anchor
IDA019SE	0x44		anchor
IDA019SF	0x16	0xF	both
IDA0200B	0x5C		anchor
IDA0200S	0x1C		anchor
IDA0200T	0x4E		anchor
IDA0231B	0xB6		anchor
IDA0231T	0x1C		anchor
IDA0557A	0x2C		anchor
IDA0A05B	0x28		anchor
IDA0C05B	0x1C	0x128	both
IDA0C06C	0x28		anchor
IDA0I96C	0x2A	0x60	both
IDA121A5	0x16	0xF	both
IDACAT11	0x4A		anchor
IDACAT12	0x4A		anchor
IDACAT13	0x4C		anchor
IDACKRA1	0x3B0	0x256	both
IDAICIA1	0x528	0xF	both
IDAIIPM1	0x66	0x4A	both
IDAIIPM3	0x18		anchor
IDAIISM1	0x14A	0x12F	both
IDAOCEA1	0x66	0xF	both
IDAOCEA2	0x1C		anchor
IDAVBPC1	0x94	0x10	both
IDAVBPJ1	0x1C	0xA6	both
IDAVBPP1	0x0		anchor
IDAVBPS2	0x1C	0xAC	both
IDCAL01	0x124		anchor
IDCAU03	0x0		anchor
IDCBI01	0xB8		anchor
IDCCC01	0x116	0xC3	both
IDCCH01	0x0		anchor
IDCCH02	0x0		anchor
IDCCH03	0xDA		anchor
IDCCH04	0x0		anchor
IDCCN01	0x0	0xD	both
IDCCO01	0x0		anchor
IDCCV01	0x0		anchor
IDCDE01	0x1AC	0x9F	both
IDCDE02	0x7C		anchor
IDCDE03	0x10A		anchor
IDCDL01	0x10C		anchor
IDCDU01	0x0		anchor
IDCEX03	0x1C	0x31	both
IDCIO05	0x0	0xD	both
IDCLC01	0x1C		anchor
IDCLC02	0x8E	0xF	both
IDCLD01	0x0		anchor
IDCLM01	0x0		anchor
IDCLR01	0xA8		anchor
IDCLV01	0x0		anchor
IDCMC01	0x1C		anchor
IDCMG01	0x0		anchor
IDCMP01	0x12A		anchor
IDCMV01	0x0		anchor
IDCNC01	0x0		anchor
IDCPM01	0x1C		anchor
IDCPR01	0x1C		anchor
IDCRC01	0x72		anchor
IDCRC02	0x1A6	0xF	both
IDCRD03	0x0	0xD	both
IDCRD04	0x0	0xD	both
IDCRD05	0x0	0x0	both
IDCRD06	0xFC		anchor
IDCRD07	0x0		anchor
IDCRI01	0x186		anchor
IDCRI04	0xFC	0x12	both
IDCRM01	0xBC		anchor
IDCRP01	0xEA		anchor
IDCRR01	0x94		anchor
IDCRS01	0x11C	0x1976	both
IDCRS06	0x1210	0x12	both
IDCRV01	0x0		anchor
IDCSA01	0x24	0x0	both
IDCSA02	0x0		anchor
IDCSA06	0x3B6	0x39	both
IDCSA07	0x322		anchor
IDCSA08	0x100		anchor
IDCSA09	0x24	0x11	both
IDCSA10	0x24	0x39	both
IDCSD01	0x0		anchor
IDCST01	0x1C	0x257	both
IDCSV01	0xB4		anchor
IDCTP01	0xD8		anchor
IDCTP06	0x24	0x12	both
IDCTR01	0x1B0	0x10	both
IDCTSCH0	0x0		anchor
IDCTSCK0	0x2	0x1C	both
IDCTSCM0	0x0		anchor
IDCTSDL0	0x0		anchor
IDCTSDU0	0x0		anchor
IDCTSLC0	0x2		anchor
IDCTSLC1	0x0		anchor
IDCTSLV0	0xA		anchor
IDCTSMC0	0x0		anchor
IDCTSPR0	0x0		anchor
IDCTSRD0	0x5E		anchor
IDCTSSS0	0x1C	0x23	both
IDCTSTP6	0x20	0x2A	both
IDCTSTU0	0x0		anchor
IDCTSVS0	0x6	0x2B	both
IDCTU01	0x94		anchor
IDCVS01	0xFE		anchor
IDCVS03	0x0		anchor
IDDWIAPP	0x16		anchor
IDDWICLS	0x0		anchor
IDDWICPI	0xC		anchor
IDDWIFRR	0x2C	0x2E	both
IDDWIJRN	0x0	0xE	both
IEAFTEED	0x78	0x12	both
IEAFTIHS	0x48		anchor
IEAFTRT2	0x0		anchor
IEAFTSCB	0x0		anchor
IEAV1052		0xE	seclocate
IEAV2540		0xE	seclocate
IEAVAD00	0x1A		anchor
IEAVAD01	0x0		anchor
IEAVAD02	0xE4	0x0	both
IEAVAD07	0x0		anchor
IEAVAD08	0x0	0x0	both
IEAVAD0C	0x0		anchor
IEAVAD0D	0x726	0xF	both
IEAVAD0E	0x0	0x0	both
IEAVAD0F	0x0		anchor
IEAVAD10	0x218	0x182	both
IEAVAD11	0x24	0xC	both
IEAVAD31	0x78	0xC	both
IEAVAD51	0x86	0x0	both
IEAVAR00	0x88		anchor
IEAVAR01	0x42	0x45	both
IEAVAR02	0x206	0x0	both
IEAVAR04	0x48	0x12	both
IEAVCARR	0x2D8	0x2D9	both
IEAVDELP		0xE	seclocate
IEAVEEXP		0xB	seclocate
IEAVEMCR	0x30C	0x178	both
IEAVEMDL	0x1C	0x66	both
IEAVEMIN	0xE8	0x0	both
IEAVEMRQ	0x20		anchor
IEAVESC0		0xA	seclocate
IEAVGCAS	0x36	0x60	both
IEAVGFRR	0xBCE	0xC91	both
IEAVGPRR		0x0	seclocate
IEAVMDOM	0x188	0xC	both
IEAVMDSV		0x12	seclocate
IEAVMED2	0x0		anchor
IEAVMFRR	0x78		anchor
IEAVMQWR	0x4C	0xE	both
IEAVMWSV	0x56		anchor
IEAVMWTO	0x0		anchor
IEAVNP03		0xD	seclocate
IEAVNP11		0xEF	seclocate
IEAVNP12		0xE	seclocate
IEAVNPA5		0x3	seclocate
IEAVRT02		0xB	seclocate
IEAVRTOD	0x156	0x10	both
IEAVSTAA	0x20A	0xE	both
IEAVTABD	0x0		anchor
IEAVTAS1	0x0		anchor
IEAVTAS2	0x0		anchor
