AKJLKL01	CMDLIB
AKJLKL02	CMDLIB
ALLOCATE	CMDLIB
ATTRIB	CMDLIB
BLSEADPR	CMDLIB
BLSEDEL0	CMDLIB
BLSELP00	CMDLIB
BLSEMDPR	CMDLIB
BLSFAD00	CMDLIB
BLSFDD00	CMDLIB
BLSFLD00	CMDLIB
BLSFMD00	CMDLIB
BLSR3270	CMDLIB
BLSRASCX	CMDLIB
BLSRASM7	CMDLIB
BLSRCOMK	CMDLIB
BLSRCOMP	CMDLIB
BLSRCOPY	CMDLIB
BLSRDUAL	CMDLIB
BLSRDUDE	CMDLIB
BLSRDUDR	CMDLIB
BLSRDUIN	CMDLIB
BLSRDULS	CMDLIB
BLSRDUSC	CMDLIB
BLSRENQK	CMDLIB
BLSREQU	CMDLIB
BLSRESDR	CMDLIB
BLSRESRU	CMDLIB
BLSREVAL	CMDLIB
BLSRFIND	CMDLIB
BLSRFMOD	CMDLIB
BLSRFUCB	CMDLIB
BLSRIOSK	CMDLIB
BLSRLIST	CMDLIB
BLSRLSYM	CMDLIB
BLSRPHAR	CMDLIB
BLSRPHGE	CMDLIB
BLSRRDAR	CMDLIB
BLSRRDGE	CMDLIB
BLSRRDPU	CMDLIB
BLSRRNCH	CMDLIB
BLSRSADE	CMDLIB
BLSRSALI	CMDLIB
BLSRSCAN	CMDLIB
BLSRSETD	CMDLIB
BLSRST00	CMDLIB
BLSRSUMM	CMDLIB
BLSRSYRB	CMDLIB
BLSRTCBX	CMDLIB
BLSRVRBX	CMDLIB
BLSRVSLD	CMDLIB
BLSSASCB	CMDLIB
BLSSASMV	CMDLIB
BLSSASVT	CMDLIB
BLSSASXB	CMDLIB
BLSSCDE	CMDLIB
BLSSCOMM	CMDLIB
BLSSCSD	CMDLIB
BLSSCVT	CMDLIB
BLSSCVT2	CMDLIB
BLSSIOC	CMDLIB
BLSSIOX	CMDLIB
BLSSLCCA	CMDLIB
BLSSLCCV	CMDLIB
BLSSLLPA	CMDLIB
BLSSLPDE	CMDLIB
BLSSPCCA	CMDLIB
BLSSPCCV	CMDLIB
BLSSPFT	CMDLIB
BLSSPGTE	CMDLIB
BLSSPRIV	CMDLIB
BLSSPSA	CMDLIB
BLSSPVT	CMDLIB
BLSSSGTE	CMDLIB
BLSSTCB	CMDLIB
BLSSUCB	CMDLIB
BLSSUCM	CMDLIB
BLSSXTLS	CMDLIB
BLST04A	CMDLIB
BLST04BS	CMDLIB
BLST04CV	CMDLIB
BLSTB4	CMDLIB
BLSTB5	CMDLIB
BLSTM4	CMDLIB
BLSTM5	CMDLIB
BLSTU4	CMDLIB
BLSTU5	CMDLIB
BLSU	CMDLIB
BLSUHELP	CMDLIB
BLSUINI1	CMDLIB
BLSUINI2	CMDLIB
BLSUMTOD	CMDLIB
BLSUNOTE	CMDLIB
BLSUPUT	CMDLIB
BLSUTSO	CMDLIB
BLSVASCB	CMDLIB
BLSVASVT	CMDLIB
BLSVASXB	CMDLIB
BLSVCDE	CMDLIB
BLSVCVT	CMDLIB
BLSVCVT2	CMDLIB
BLSVIOC	CMDLIB
BLSVIOX	CMDLIB
BLSVLCCA	CMDLIB
BLSVLCCV	CMDLIB
BLSVLPDE	CMDLIB
BLSVPCCA	CMDLIB
BLSVPCCV	CMDLIB
BLSVPGTE	CMDLIB
BLSVPSA	CMDLIB
BLSVPVT	CMDLIB
BLSVQCBA	CMDLIB
BLSVQCBB	CMDLIB
BLSVQEL	CMDLIB
BLSVRB	CMDLIB
BLSVSGTE	CMDLIB
BLSVTCB	CMDLIB
BLSVUCB	CMDLIB
BLSVXTLS	CMDLIB
CANCEL	CMDLIB
E	CMDLIB
EXEC	CMDLIB
FREE	CMDLIB
IDCAM01	CMDLIB
IDCAM02	CMDLIB
IKJEBEAA	CMDLIB
IKJEBEBO	CMDLIB
IKJEBECH	CMDLIB
IKJEBECI	CMDLIB
IKJEBECO	CMDLIB
IKJEBEDA	CMDLIB
IKJEBEDE	CMDLIB
IKJEBEDO	CMDLIB
IKJEBEEX	CMDLIB
IKJEBEFC	CMDLIB
IKJEBEFI	CMDLIB
IKJEBEFO	CMDLIB
IKJEBEHE	CMDLIB
IKJEBEIA	CMDLIB
IKJEBEIP	CMDLIB
IKJEBEIS	CMDLIB
IKJEBELE	CMDLIB
IKJEBELI	CMDLIB
IKJEBELT	CMDLIB
IKJEBEM1	CMDLIB
IKJEBEM2	CMDLIB
IKJEBEM3	CMDLIB
IKJEBEM4	CMDLIB
IKJEBEM5	CMDLIB
IKJEBEM6	CMDLIB
IKJEBEM7	CMDLIB
IKJEBEMA	CMDLIB
IKJEBEMC	CMDLIB
IKJEBEME	CMDLIB
IKJEBEMR	CMDLIB
IKJEBEMS	CMDLIB
IKJEBEPS	CMDLIB
IKJEBERE	CMDLIB
IKJEBERN	CMDLIB
IKJEBERU	CMDLIB
IKJEBESA	CMDLIB
IKJEBESC	CMDLIB
IKJEBESU	CMDLIB
IKJEBETA	CMDLIB
IKJEBETO	CMDLIB
IKJEBEUI	CMDLIB
IKJEBEUN	CMDLIB
IKJEBEUP	CMDLIB
IKJEBEVE	CMDLIB
IKJEFE11	CMDLIB
IKJEFG00	CMDLIB
IKJEGAT	CMDLIB
IKJEGATD	CMDLIB
IKJEGCIV	CMDLIB
IKJEGCPY	CMDLIB
IKJEGDCB	CMDLIB
IKJEGDEB	CMDLIB
IKJEGEND	CMDLIB
IKJEGEQU	CMDLIB
IKJEGGO	CMDLIB
IKJEGLDF	CMDLIB
IKJEGLDR	CMDLIB
IKJEGLSA	CMDLIB
IKJEGLST	CMDLIB
IKJEGMAP	CMDLIB
IKJEGOFF	CMDLIB
IKJEGPCH	CMDLIB
IKJEGPSW	CMDLIB
IKJEGQFY	CMDLIB
IKJEGSYM	CMDLIB
IKJEGTCB	CMDLIB
IKJEGWHR	CMDLIB
IKJEHAL1	CMDLIB
IKJEHDS1	CMDLIB
IKJEHMEM	CMDLIB
IKJEHPRO	CMDLIB
IKJEHREN	CMDLIB
IKJEHSIR	CMDLIB
LINK	CMDLIB
LISTBC	CMDLIB
LOADGO	CMDLIB
LOGOFF	CMDLIB
OPERATOR	CMDLIB
OUTPUT	CMDLIB
PROFILE	CMDLIB
RUN	CMDLIB
SEND	CMDLIB
STATUS	CMDLIB
SUBMIT	CMDLIB
TERMINAL	CMDLIB
TEST	CMDLIB
TSOHELP	CMDLIB
ACCOUNT	LINKLIB
AHLCWRIT	LINKLIB
AHLGTF	LINKLIB
AHLIWRIT	LINKLIB
AHLTMON	LINKLIB
AHLWTASK	LINKLIB
AHLWWRIT	LINKLIB
AMAPTF01	LINKLIB
AMAPTF02	LINKLIB
AMAPTFLE	LINKLIB
AMASPZAP	LINKLIB
AMBLIST	LINKLIB
AMDPRCVT	LINKLIB
AMDPRDMP	LINKLIB
AMDPRDPS	LINKLIB
AMDPRECT	LINKLIB
AMDPRFAR	LINKLIB
AMDPRFDS	LINKLIB
AMDPRFSR	LINKLIB
AMDPRFUB	LINKLIB
AMDPRFXT	LINKLIB
AMDPRGCD	LINKLIB
AMDPRLOD	LINKLIB
AMDPRLPA	LINKLIB
AMDPRMST	LINKLIB
AMDPRNUC	LINKLIB
AMDPROOT	LINKLIB
AMDPRPCR	LINKLIB
AMDPRPJB	LINKLIB
AMDPRPMS	LINKLIB
AMDPRQCB	LINKLIB
AMDPRSCN	LINKLIB
AMDPRSUM	LINKLIB
AMDPRXED	LINKLIB
AMDSALDR	LINKLIB
AMDSAPGE	LINKLIB
AMDSAPRO	LINKLIB
BNGLOGER	LINKLIB
BNGT3270	LINKLIB
BNGTDISP	LINKLIB
BNGTLOCL	LINKLIB
BNGTMENU	LINKLIB
BNGTQEMF	LINKLIB
BNGTRMOT	LINKLIB
HASJES20	LINKLIB
HASPBLKS	LINKLIB
HASPFMT0	LINKLIB
HASPFMT1	LINKLIB
HASPFMT2	LINKLIB
HASPFMT3	LINKLIB
HASPFMT4	LINKLIB
HASPFMT5	LINKLIB
HEWLDRGO	LINKLIB
HEWLF064	LINKLIB
HEWLOADR	LINKLIB
HMASMP	LINKLIB
HMASMUXD	LINKLIB
IAPAP100	LINKLIB
ICB2MSG	LINKLIB
ICBMSG05	LINKLIB
ICBVDR01	LINKLIB
ICBVVI00	LINKLIB
ICHSEC00	LINKLIB
ICKDSF	LINKLIB
IDACAT21	LINKLIB
IDCAL01	LINKLIB
IDCAMS	LINKLIB
IDCBI01	LINKLIB
IDCCC01	LINKLIB
IDCCDAL	LINKLIB
IDCCDBI	LINKLIB
IDCCDCC	LINKLIB
IDCCDCK	LINKLIB
IDCCDDE	LINKLIB
IDCCDDL	LINKLIB
IDCCDLC	LINKLIB
IDCCDLR	LINKLIB
IDCCDMP	LINKLIB
IDCCDPM	LINKLIB
IDCCDPR	LINKLIB
IDCCDRC	LINKLIB
IDCCDRM	LINKLIB
IDCCDRP	LINKLIB
IDCCDRS	LINKLIB
IDCCDVY	LINKLIB
IDCCDXP	LINKLIB
IDCCK01	LINKLIB
IDCDB01	LINKLIB
IDCDB02	LINKLIB
IDCDE01	LINKLIB
IDCDL01	LINKLIB
IDCIO04	LINKLIB
IDCLC01	LINKLIB
IDCLR01	LINKLIB
IDCMP01	LINKLIB
IDCPM01	LINKLIB
IDCPR01	LINKLIB
IDCRC01	LINKLIB
IDCRI01	LINKLIB
IDCRI04	LINKLIB
IDCRIKT	LINKLIB
IDCRILT	LINKLIB
IDCRM01	LINKLIB
IDCRP01	LINKLIB
IDCRS01	LINKLIB
IDCTSAL0	LINKLIB
IDCTSBI0	LINKLIB
IDCTSCC0	LINKLIB
IDCTSCK0	LINKLIB
IDCTSDE0	LINKLIB
IDCTSDL0	LINKLIB
IDCTSEX0	LINKLIB
IDCTSIO0	LINKLIB
IDCTSLC0	LINKLIB
IDCTSLC1	LINKLIB
IDCTSLR0	LINKLIB
IDCTSLR1	LINKLIB
IDCTSMP0	LINKLIB
IDCTSPR0	LINKLIB
IDCTSRC0	LINKLIB
IDCTSRI0	LINKLIB
IDCTSRI1	LINKLIB
IDCTSRS0	LINKLIB
IDCTSSA0	LINKLIB
IDCTSTP0	LINKLIB
IDCTSTP1	LINKLIB
IDCTSTP6	LINKLIB
IDCTSUV0	LINKLIB
IDCTSXP0	LINKLIB
IDCVY01	LINKLIB
IDCXP01	LINKLIB
IEAVMASV	LINKLIB
IEAVMQR0	LINKLIB
IEAVMWTL	LINKLIB
IEAVTFMT	LINKLIB
IEAVTFRT	LINKLIB
IEAVTFSD	LINKLIB
IEAVTMSI	LINKLIB
IEAVVINT	LINKLIB
IEAXPALL	LINKLIB
IEAXPDXR	LINKLIB
IEAXPSIM	LINKLIB
IEBCOMPR	LINKLIB
IEBCOPY	LINKLIB
IEBCRANL	LINKLIB
IEBCREAT	LINKLIB
IEBDG	LINKLIB
IEBDGCUP	LINKLIB
IEBDGMSG	LINKLIB
IEBEDIT	LINKLIB
IEBFDANL	LINKLIB
IEBFDTBL	LINKLIB
IEBGENER	LINKLIB
IEBIMAGE	LINKLIB
IEBISAM	LINKLIB
IEBISC	LINKLIB
IEBISF	LINKLIB
IEBISL	LINKLIB
IEBISPL	LINKLIB
IEBISU	LINKLIB
IEBPTPCH	LINKLIB
IEBUPDTE	LINKLIB
IECDAFMT	LINKLIB
IECIOFMT	LINKLIB
IEDAYZZ	LINKLIB
IEDBSM	LINKLIB
IEDIAA	LINKLIB
IEDIAB	LINKLIB
IEDKHISC	LINKLIB
IEDNLT	LINKLIB
IEDNMG	LINKLIB
