ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   28
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 13.31 09/09/26
0    0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &ITEM IN MACRO SYSRELN IS INCONSISTENT
     0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &BITS IN MACRO SYSRELN IS INCONSISTENT
     0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &SHIFT IN MACRO SYSRELN IS INCONSISTENT
   145  IFO078      UNDEFINED OP CODE
   353  IFO188      L0 IS AN UNDEFINED SYMBOL
   353  IFO188      L8 IS AN UNDEFINED SYMBOL
   353  IFO188      R3 IS AN UNDEFINED SYMBOL
   353  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   353  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   353  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   354  IFO188      R14 IS AN UNDEFINED SYMBOL
   356  IFO188      L5 IS AN UNDEFINED SYMBOL
   356  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   356  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   356  IFO188      L3 IS AN UNDEFINED SYMBOL
   356  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 20
   356  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   357  IFO188      L6 IS AN UNDEFINED SYMBOL
   357  IFO188      L2 IS AN UNDEFINED SYMBOL
   357  IFO188      R3 IS AN UNDEFINED SYMBOL
   357  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   357  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   357  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   358  IFO188      L0 IS AN UNDEFINED SYMBOL
   358  IFO188      L3 IS AN UNDEFINED SYMBOL
   358  IFO188      R3 IS AN UNDEFINED SYMBOL
   358  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   358  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
