ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   35
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 13.31 09/09/26
0    0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &ITEM IN MACRO SYSRELN IS INCONSISTENT
     0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &BITS IN MACRO SYSRELN IS INCONSISTENT
     0  IFO081      DECLARED TYPE FOR GLOBAL VARIABLE &SHIFT IN MACRO SYSRELN IS INCONSISTENT
   145  IFO078      UNDEFINED OP CODE
   288  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   289  IFO188      R14 IS AN UNDEFINED SYMBOL
   290  IFO188      L0 IS AN UNDEFINED SYMBOL
   290  IFO188      L15 IS AN UNDEFINED SYMBOL
   290  IFO188      R3 IS AN UNDEFINED SYMBOL
   290  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
   290  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
   290  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   291  IFO188      L16 IS AN UNDEFINED SYMBOL
   291  IFO188      L8 IS AN UNDEFINED SYMBOL
   291  IFO188      R3 IS AN UNDEFINED SYMBOL
   291  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 10
   291  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 10
   291  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   292  IFO188      R14 IS AN UNDEFINED SYMBOL
   295  IFO188      L5 IS AN UNDEFINED SYMBOL
   295  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   295  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   295  IFO188      L3 IS AN UNDEFINED SYMBOL
   295  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 20
   295  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   296  IFO188      L6 IS AN UNDEFINED SYMBOL
   296  IFO188      L2 IS AN UNDEFINED SYMBOL
   296  IFO188      R3 IS AN UNDEFINED SYMBOL
   296  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
