ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   44
   624  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 14
   624  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   625  IFO188      R14 IS AN UNDEFINED SYMBOL
   626  IFO188      R3 IS AN UNDEFINED SYMBOL
   626  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 14
   626  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   627  IFO188      R3 IS AN UNDEFINED SYMBOL
   627  IFO188      R3 IS AN UNDEFINED SYMBOL
   627  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   631  IFO188      R5 IS AN UNDEFINED SYMBOL
   631  IFO188      R8 IS AN UNDEFINED SYMBOL
   631  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   632  IFO188      R4 IS AN UNDEFINED SYMBOL
   632  IFO188      R4 IS AN UNDEFINED SYMBOL
   632  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   633  IFO188      R7 IS AN UNDEFINED SYMBOL
   633  IFO188      L0 IS AN UNDEFINED SYMBOL
   633  IFO188      R4 IS AN UNDEFINED SYMBOL
   633  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 17
   634  IFO188      R5 IS AN UNDEFINED SYMBOL
   634  IFO188      L4 IS AN UNDEFINED SYMBOL
   635  IFO188      R6 IS AN UNDEFINED SYMBOL
   635  IFO188      R6 IS AN UNDEFINED SYMBOL
   636  IFO188      R6 IS AN UNDEFINED SYMBOL
   636  IFO188      L4 IS AN UNDEFINED SYMBOL
   637  IFO188      R6 IS AN UNDEFINED SYMBOL
   637  IFO188      R6 IS AN UNDEFINED SYMBOL
   637  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 12
   637  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   638  IFO188      L0 IS AN UNDEFINED SYMBOL
   638  IFO188      L1 IS AN UNDEFINED SYMBOL
   638  IFO188      R3 IS AN UNDEFINED SYMBOL
   638  IFO225      RELOCATABLE LENGTH FIELD IN MACHINE INSTRUCTION NEAR OPERAND COLUMN 9
   638  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 9
   638  IFO188      L0 IS AN UNDEFINED SYMBOL
   638  IFO188      R6 IS AN UNDEFINED SYMBOL
   638  IFO226      BASE REGISTER OF MACHINE INSTRUCTION NOT ABSOLUTE NEAR OPERAND COLUMN 16
   639  IFO188      R3 IS AN UNDEFINED SYMBOL
   639  IFO188      L1 IS AN UNDEFINED SYMBOL
   639  IFO188      R3 IS AN UNDEFINED SYMBOL
   639  IFO223      RELOCATABLE INDEX REGISTER SPECIFIED NEAR OPERAND COLUMN 9
   640  IFO188      R5 IS AN UNDEFINED SYMBOL
   640  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   641  IFO188      R5 IS AN UNDEFINED SYMBOL
   641  IFO188      R8 IS AN UNDEFINED SYMBOL
   641  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   642  IFO188      R14 IS AN UNDEFINED SYMBOL
   646  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   47
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 13.31 09/09/26
0  653  IFO078      UNDEFINED OP CODE
   669  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   672  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   673  IFO197      *** MNOTE ***
   677  IFO078      UNDEFINED OP CODE
   686  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 15
   687  IFO234      PREMATURE END OF EXPRESSION NEAR OPERAND COLUMN 24
