module	before	after
AMDPRUIM	bytes	identical
IEAXPALL	bytes	identical
IECVCINT	bytes	identical
IECVESIO	bytes	identical
IFDOLT12	cards	identical
IFDOLT14	bytes	identical
IFDOLT39	bytes	identical
IFNX5D	cards	bytes
IGC0001F	bytes	identical
IGC018	identical	bytes
IKJEBELT	bytes	identical
