module	before	after
ICBVQM00	bytes	identical
IDA0192V	bytes	identical
IDACAT11	bytes	identical
IDACAT12	bytes	identical
IEAVAD01	bytes	identical
IEAVAX00	bytes	identical
IEAVMDOM	bytes	identical
IEAVTABD	bytes	identical
IEAVVWTO	bytes	identical
IEAVXDOM	bytes	identical
IEDQW25	bytes	identical
IEDQW33	bytes	identical
IEDQWO	bytes	identical
IEEMB804	bytes	identical
IEFXB601	bytes	identical
IEFXB604	bytes	identical
IEFXB609	bytes	identical
IFG0191X	bytes	identical
IFG0200N	bytes	identical
IGG0193K	bytes	identical
IGG0196Q	bytes	identical
IGG0203K	bytes	identical
IKJEFP60	bytes	identical
IKT0940F	bytes	identical
IOEDKWTR	bytes	identical
ISDAAPR0	bytes	identical
ISDAAPR1	bytes	identical
ISDACSB0	bytes	identical
ISDACSB1	bytes	identical
ISDADAT0	bytes	identical
ISDADAT1	bytes	identical
ISDADCK0	bytes	identical
ISDADCK1	bytes	identical
ISDADCS0	bytes	identical
ISDADCS1	bytes	identical
ISDADHE0	bytes	identical
ISDADHE1	bytes	identical
ISDADRC0	bytes	identical
ISDADRC1	bytes	identical
ISDAEQC0	bytes	identical
ISDAEQC1	bytes	identical
ISDAFSC0	bytes	identical
ISDAFSC1	bytes	identical
ISDAFSC2	bytes	identical
ISDAGEN0	bytes	identical
ISDAHIST	bytes	identical
ISDALOG0	bytes	identical
ISDAPAD0	bytes	identical
ISDAPRT0	bytes	identical
ISDASUM0	bytes	identical
ISDASUM1	bytes	identical
ISDATYPE	bytes	identical
ISTAPC53	bytes	identical
ISTAPC57	bytes	identical
ISTOCCCC	bytes	identical
ISTOCCCL	bytes	identical
ISTOCCOB	bytes	identical
