module	ifox_rc	start	deck_bytes	job
IECLMSGT	0000	02:55:06	2480	IFX0054/JOB00161
BLSUMOND	0000	02:55:06	560	IFX0054/JOB00161
BLSUTRMA	0000	02:55:06	880	IFX0054/JOB00161
ICKTR02	0000	02:55:06	7680	IFX0054/JOB00161
ISTINCE8	0000	02:55:07	2400	IFX0054/JOB00161
IGCM110D	0008	02:55:07	1920	IFX0054/JOB00161
ISTINCE7	0000	02:55:07	2400	IFX0054/JOB00161
IFG0195V	0000	02:55:07	2240	IFX0054/JOB00161
ISTSDCCL	0000	02:55:08	3920	IFX0054/JOB00161
IGG2T11	0000	02:55:09	1760	IFX0054/JOB00161
IDA019SM	0000	02:55:09	800	IFX0054/JOB00161
IFG0553Z	0000	02:55:09	1360	IFX0054/JOB00161
ISTINCR4	0000	02:55:10	7120	IFX0054/JOB00161
IDCCDAU	0000	02:55:10	1520	IFX0054/JOB00161
IGCAG10D	0008	02:55:10	1040	IFX0054/JOB00161
ISTIC004	0000	02:55:10	4800	IFX0054/JOB00161
IRBMFDTP	0000	02:55:11	240	IFX0054/JOB00161
HMASMMPL	0000	02:55:11	3680	IFX0054/JOB00161
BLSRRDPU	0000	02:55:11	1520	IFX0054/JOB00161
ICGDSS09	0000	02:55:11	8720	IFX0054/JOB00161
IGG019IB	0000	02:55:12	6160	IFX0054/JOB00161
IGG019CZ	0000	02:55:12	480	IFX0054/JOB00161
IEDQBH	0008	02:55:12	1520	IFX0054/JOB00161
IFCEMAD1	0000	02:55:05	10160	IFX0055/JOB00162
IGG0192O	0000	02:55:14	1680	IFX0055/JOB00162
IERRDS	0000	02:55:14	1520	IFX0055/JOB00162
ICKDV13	0000	02:55:14	3440	IFX0055/JOB00162
IKJEFA01	0000	02:55:15	2080	IFX0055/JOB00162
IERAPG	0000	02:55:15	2720	IFX0055/JOB00162
IFCTREND	0000	02:55:15	15280	IFX0055/JOB00162
IER9GC	0000	02:55:15	1520	IFX0055/JOB00162
IDCCDDU	0000	02:55:15	1520	IFX0055/JOB00162
IEAVAD09	0000	02:55:16	880	IFX0055/JOB00162
IFDOLT55	0000	02:55:16	4000	IFX0055/JOB00162
IFDOLTAJ	0000	02:55:16	2800	IFX0055/JOB00162
IGG0CLBN	0000	02:55:16	6480	IFX0055/JOB00162
IKJEFA55	0000	02:55:17	5440	IFX0055/JOB00162
IFDOLT38	0000	02:55:17	2400	IFX0055/JOB00162
SYS3CNVT	0000	02:55:17	3360	IFX0055/JOB00162
ICKSA10	0000	02:55:17	2720	IFX0055/JOB00162
ISTZDFPR	0000	02:55:18	880	IFX0055/JOB00162
BLSDFPDR	0000	02:55:18	2400	IFX0055/JOB00162
IEAVAD0D	0000	02:55:18	4160	IFX0055/JOB00162
IEESB665	0000	02:55:18	1680	IFX0055/JOB00162
IEDAYLL	0000	02:55:19	1200	IFX0055/JOB00162
IFCESOFT	0000	02:55:19	18480	IFX0055/JOB00162
ISTOCCCH	0000	02:55:21	3280	IFX0055/JOB00162
IFCSXXX6	0000	02:55:21	13600	IFX0055/JOB00162
IEBCMAIN	0000	02:55:13	12400	IFX0056/JOB00163
IDCRM01	0000	02:55:23	40320	IFX0056/JOB00163
ISTAPC58	0000	02:55:24	1440	IFX0056/JOB00163
ISTEC789	0000	02:55:24	2320	IFX0056/JOB00163
ICKRILT	0000	02:55:25	400	IFX0056/JOB00163
IFG0196J	0000	02:55:25	1760	IFX0056/JOB00163
IERRBM	0000	02:55:26	560	IFX0056/JOB00163
IEFVFA	0000	02:55:26	15120	IFX0056/JOB00163
IEDQA1	0008	02:55:27	560	IFX0056/JOB00163
IFNX6A	0000	02:55:27	7200	IFX0056/JOB00163
IGG0197B	0000	02:55:28	1600	IFX0056/JOB00163
IEHMVESH	0000	02:55:28	4080	IFX0056/JOB00163
IKJEBEUN	0000	02:55:29	1840	IFX0056/JOB00163
IEHSCAN	0000	02:55:29	1840	IFX0056/JOB00163
IEFAB4F4	0000	02:55:29	3200	IFX0056/JOB00163
IEE2303D	0000	02:55:30	2000	IFX0056/JOB00163
IEFUJI	0000	02:55:30	320	IFX0056/JOB00163
IGG019JC	0000	02:55:30	480	IFX0056/JOB00163
IEEMPDM	0008	02:55:31	9040	IFX0056/JOB00163
IEBCNVT	0000	02:55:31	560	IFX0056/JOB00163
IEHMVSRD	0000	02:55:32	3280	IFX0056/JOB00163
IEFVHR	0000	02:55:32	1680	IFX0056/JOB00163
IEDXFMI	0008	02:55:32	1120	IFX0056/JOB00163
IFCFRAMS	0000	02:55:33	4960	IFX0056/JOB00163
BNGCDISP	0008	02:55:33	10160	IFX0056/JOB00163
IOEDKPUT	0000	02:55:23	1600	IFX0057/JOB00164
BLSUSTAE	0000	02:55:33	880	IFX0057/JOB00164
IECVDAVV	0008	02:55:34	3920	IFX0057/JOB00164
IEDQWE	0008	02:55:34	5520	IFX0057/JOB00164
ISDADRC0	0008	02:55:35	1280	IFX0057/JOB00164
IEDUSSTB	0000	02:55:35	800	IFX0057/JOB00164
IKJEBEUI	0008	02:55:35	3360	IFX0057/JOB00164
IKJEFA54	0000	02:55:36	1120	IFX0057/JOB00164
IERAMC	0000	02:55:36	800	IFX0057/JOB00164
IGCVE10D	0008	02:55:36	2080	IFX0057/JOB00164
IDAOCEA1	0000	02:55:37	1360	IFX0057/JOB00164
IFCETUL1	0000	02:55:37	62400	IFX0057/JOB00164
IKT93EST	0000	02:55:41	1600	IFX0057/JOB00164
IEFAB490	0000	02:55:42	8320	IFX0057/JOB00164
IEFAB4A2	0000	02:55:42	8560	IFX0057/JOB00164
IDA019RY	0000	02:55:42	8480	IFX0057/JOB00164
IKJEBEIP	0000	02:55:43	7200	IFX0057/JOB00164
IGG019Q4	0008	02:55:43	5600	IFX0057/JOB00164
IEAVID00	0000	02:55:44	3200	IFX0057/JOB00164
IGG08111	0000	02:55:44	5200	IFX0057/JOB00164
IKTATTN	0000	02:55:44	1040	IFX0057/JOB00164
IGG08110	0000	02:55:45	2800	IFX0057/JOB00164
BLSRSAG	0000	02:55:45	1920	IFX0057/JOB00164
IGG019J0	0000	02:55:45	2960	IFX0057/JOB00164
IEBCROOT	0000	02:55:45	2240	IFX0057/JOB00164
IKJEFD20	0000	02:55:33	7200	IFX0058/JOB00165
IEDAYA	0008	02:55:46	1440	IFX0058/JOB00165
IKJEHSIR	0000	02:55:47	1760	IFX0058/JOB00165
IEAVEOR	0008	02:55:47	2640	IFX0058/JOB00165
IEDQBY	0008	02:55:47	320	IFX0058/JOB00165
IEDQWL	0008	02:55:48	2640	IFX0058/JOB00165
IEHMVESQ	0000	02:55:48	2880	IFX0058/JOB00165
IGG019MX	0000	02:55:48	560	IFX0058/JOB00165
IEFBR14	0000	02:55:49	240	IFX0058/JOB00165
ISTINFXI	0000	02:55:49	2080	IFX0058/JOB00165
IGG0202J	0000	02:55:49	1840	IFX0058/JOB00165
IGG019BL	0000	02:55:50	560	IFX0058/JOB00165
IKJEHPRO	0000	02:55:50	7360	IFX0058/JOB00165
IEAVMASV	0000	02:55:51	1520	IFX0058/JOB00165
BLSUVSPU	0000	02:55:51	560	IFX0058/JOB00165
IDA019RD	0000	02:55:51	1040	IFX0058/JOB00165
IGCV510D	0008	02:55:51	1280	IFX0058/JOB00165
IERRCK	0000	02:55:52	4960	IFX0058/JOB00165
HMASMPIN	0000	02:55:52	6480	IFX0058/JOB00165
IGE0904G	0008	02:55:52	480	IFX0058/JOB00165
ISTINCU7	0000	02:55:52	480	IFX0058/JOB00165
IFG0198N	0000	02:55:53	3040	IFX0058/JOB00165
IGG3XN	0000	02:55:54	1120	IFX0058/JOB00165
IGG086AE	0008	02:55:54	1920	IFX0058/JOB00165
ISTAPC37	0000	02:55:54	880	IFX0058/JOB00165
IEEVDCCR	0008	02:55:46	11360	IFX0059/JOB00166
IERADT	0000	02:55:55	560	IFX0059/JOB00166
IGFPBUCR	0008	02:55:55	2160	IFX0059/JOB00166
IFG0195J	0000	02:55:56	720	IFX0059/JOB00166
AMDPROOT	0000	02:55:56	1200	IFX0059/JOB00166
IEDQNP	0000	02:55:57	1360	IFX0059/JOB00166
IGG0290F	0008	02:55:57	4480	IFX0059/JOB00166
ICB2MSG	0000	02:55:59	24400	IFX0059/JOB00166
ISTINMAD	0000	02:55:59	800	IFX0059/JOB00166
IGG019KA	0000	02:55:59	3040	IFX0059/JOB00166
IEFDB402	0000	02:56:00	1120	IFX0059/JOB00166
BLSRACC	0000	02:56:00	960	IFX0059/JOB00166
AMDSABUF	0000	02:56:00	1840	IFX0059/JOB00166
ICBVEX00	0000	02:56:01	2480	IFX0059/JOB00166
IGC0306H	0000	02:56:01	1680	IFX0059/JOB00166
IGE0004H	0008	02:56:01	2160	IFX0059/JOB00166
IFCEVENT	0000	02:56:02	16320	IFX0059/JOB00166
IKJEFA30	0000	02:56:02	6640	IFX0059/JOB00166
IECVXDAS	0008	02:56:02	880	IFX0059/JOB00166
IEECVETP	0000	02:56:03	1600	IFX0059/JOB00166
IGG019TZ	0000	02:56:03	240	IFX0059/JOB00166
IERAP2	0000	02:56:03	400	IFX0059/JOB00166
IGE0204H	0008	02:56:03	1520	IFX0059/JOB00166
IGG032I1	0008	02:56:04	2000	IFX0059/JOB00166
ISTINCV4	0000	02:56:04	720	IFX0059/JOB00166
IFNX3B	0000	02:58:35	1920	IFX0060/JOB00168
IEE8B03D	0000	02:58:35	7680	IFX0060/JOB00168
IEBDSU	0000	02:58:36	1760	IFX0060/JOB00168
ICBINIT	0000	02:58:36	2400	IFX0060/JOB00168
IEDQWI7	0008	02:58:37	640	IFX0060/JOB00168
IKJEGIO	0000	02:58:37	13680	IFX0060/JOB00168
IFCEOAK2	0000	02:58:38	13120	IFX0060/JOB00168
ISTINCV8	0000	02:58:40	1360	IFX0060/JOB00168
IGG019DC	0000	02:58:40	560	IFX0060/JOB00168
HMASMUC4	0008	02:58:40	4000	IFX0060/JOB00168
IERAGI	0000	02:58:41	2320	IFX0060/JOB00168
IFCEL155	0000	02:58:41	45840	IFX0060/JOB00168
IFFACA04	0012	02:58:47	1840	IFX0060/JOB00168
IKJEBEM3	0000	02:58:48	2160	IFX0060/JOB00168
IEDQWC	0008	02:58:48	6720	IFX0060/JOB00168
IEAVSTAA	0000	02:58:49	2480	IFX0060/JOB00168
IGG019MT	0000	02:58:49	400	IFX0060/JOB00168
BLSSUCB	0000	02:58:49	3840	IFX0060/JOB00168
IFDOLT15	0000	02:58:49	3840	IFX0060/JOB00168
IGCI110D	0008	02:58:50	1280	IFX0060/JOB00168
IKJEE100	0000	02:58:50	6960	IFX0060/JOB00168
ICFBIF00	0000	02:58:51	11360	IFX0060/JOB00168
IEFAB4FE	0000	02:58:52	2160	IFX0060/JOB00168
IGX00027	0000	02:58:52	1040	IFX0060/JOB00168
IGG019LU	0000	02:58:52	1200	IFX0060/JOB00168
IEFAB4E3	0000	02:58:35	320	IFX0061/JOB00169
IFG0200P	0000	02:58:52	1360	IFX0061/JOB00169
IKJEBEAA	0000	02:58:53	8800	IFX0061/JOB00169
IDCTSMG0	0000	02:58:54	480	IFX0061/JOB00169
IEAVTFRD	0000	02:58:54	2480	IFX0061/JOB00169
BLSUVPX1	0000	02:58:55	640	IFX0061/JOB00169
IECVTCCW	0008	02:58:55	4080	IFX0061/JOB00169
IKJEBESA	0008	02:58:55	11840	IFX0061/JOB00169
IGG0191Y	0000	02:58:56	1200	IFX0061/JOB00169
IFNX1J	0000	02:58:57	4720	IFX0061/JOB00169
IDCSA03	0000	02:58:58	2880	IFX0061/JOB00169
IFG0552F	0000	02:58:58	2880	IFX0061/JOB00169
IGG09406	0000	02:58:59	560	IFX0061/JOB00169
IEAVTSDG	0000	02:58:59	3920	IFX0061/JOB00169
ISTINCUB	0000	02:59:00	1680	IFX0061/JOB00169
IEDQ28	0000	02:59:00	1040	IFX0061/JOB00169
IEDQNX	0008	02:59:00	2640	IFX0061/JOB00169
IDCRI01	0000	02:59:00	31120	IFX0061/JOB00169
IDCTP05	0000	02:59:01	2080	IFX0061/JOB00169
IFG0196O	0000	02:59:01	1360	IFX0061/JOB00169
IGG01918	0000	02:59:02	1040	IFX0061/JOB00169
IEDQRS	0008	02:59:03	3360	IFX0061/JOB00169
IGFPTCON	0000	02:59:03	1200	IFX0061/JOB00169
IEDQBL	0008	02:59:03	1600	IFX0061/JOB00169
IKJEGASN	0000	02:59:04	3360	IFX0061/JOB00169
IEDSNS	0008	02:58:52	320	IFX0062/JOB00170
IEDQWB	0008	02:59:05	4960	IFX0062/JOB00170
IGG019KM	0000	02:59:05	1360	IFX0062/JOB00170
ISTIC008	0000	02:59:06	3840	IFX0062/JOB00170
IFFAAA06	0012	02:59:06	880	IFX0062/JOB00170
ISTSDCIN	0000	02:59:06	1360	IFX0062/JOB00170
ICGDSA04	0000	02:59:07	1920	IFX0062/JOB00170
IEFAB4FA	0000	02:59:07	6800	IFX0062/JOB00170
ISTINCOE	0000	02:59:07	400	IFX0062/JOB00170
IKJEBEM7	0000	02:59:07	3760	IFX0062/JOB00170
IEFSD89M	0000	02:59:08	240	IFX0062/JOB00170
IEEMB822	0000	02:59:08	1920	IFX0062/JOB00170
IRARMWAR	0000	02:59:08	2800	IFX0062/JOB00170
IEAVAD71	0000	02:59:09	2800	IFX0062/JOB00170
IEAVTRT2	0000	02:59:09	6400	IFX0062/JOB00170
IHCGSP02	0012	02:59:09	560	IFX0062/JOB00170
IGE0001G	0000	02:59:10	1680	IFX0062/JOB00170
BLSUVP32	0000	02:59:10	560	IFX0062/JOB00170
IGFC70	0000	02:59:10	1840	IFX0062/JOB00170
IGG01929	0000	02:59:10	1680	IFX0062/JOB00170
ISTCC013	0000	02:59:11	3440	IFX0062/JOB00170
IEBISF	0000	02:59:11	1360	IFX0062/JOB00170
IGG0191M	0000	02:59:12	1840	IFX0062/JOB00170
IFCRDESM	0000	02:59:12	16640	IFX0062/JOB00170
IDCTSRC0	0000	02:59:13	3120	IFX0062/JOB00170
IRARMWLM	0008	02:59:04	5040	IFX0063/JOB00171
IKJEFL00	0000	02:59:13	560	IFX0063/JOB00171
IGG019OA	0000	02:59:13	4400	IFX0063/JOB00171
BLSRCOIN	0000	02:59:14	1680	IFX0063/JOB00171
IDCTSRS0	0000	02:59:14	7200	IFX0063/JOB00171
ISTDCC35	0000	02:59:14	3040	IFX0063/JOB00171
IFFAGA04	0012	02:59:14	480	IFX0063/JOB00171
IFFAEA01	0012	02:59:15	1200	IFX0063/JOB00171
IGG0CLF2	0008	02:59:15	1040	IFX0063/JOB00171
BLSSCVT	0000	02:59:16	1280	IFX0063/JOB00171
IGG019RM	0008	02:59:16	320	IFX0063/JOB00171
ISTAPC56	0000	02:59:16	560	IFX0063/JOB00171
IEE40110	0000	02:59:17	1200	IFX0063/JOB00171
IGG019PG	0000	02:59:17	640	IFX0063/JOB00171
IERRDQ	0000	02:59:17	640	IFX0063/JOB00171
ISTZIFTB	0000	02:59:18	2000	IFX0063/JOB00171
IFCEI155	0000	02:59:18	23120	IFX0063/JOB00171
IEFUJP	0000	02:59:19	240	IFX0063/JOB00171
ISTINCVO	0000	02:59:19	6960	IFX0063/JOB00171
IGG0193M	0000	02:59:19	1680	IFX0063/JOB00171
IEEVWAIT	0000	02:59:19	4320	IFX0063/JOB00171
IFFAGA02	0012	02:59:20	1760	IFX0063/JOB00171
IERRGE	0000	02:59:21	1600	IFX0063/JOB00171
IERROG	0000	02:59:21	1440	IFX0063/JOB00171
IEEVSDIO	0008	02:59:21	3360	IFX0063/JOB00171
IFFAHA12	0000	02:59:13	2400	IFX0064/JOB00172
IKTCAS31	0000	02:59:22	2320	IFX0064/JOB00172
HMASMUC3	0008	02:59:22	7680	IFX0064/JOB00172
IEFAB474	0000	02:59:23	2640	IFX0064/JOB00172
IGFPTAIM	0000	02:59:23	560	IFX0064/JOB00172
IECTATTN	0000	02:59:24	240	IFX0064/JOB00172
BLSCAMIN	0000	02:59:24	1040	IFX0064/JOB00172
BLSRVRBX	0000	02:59:24	2240	IFX0064/JOB00172
IGG01942	0008	02:59:24	1840	IFX0064/JOB00172
IEDQAM	0008	02:59:25	800	IFX0064/JOB00172
IGG0553A	0008	02:59:25	1920	IFX0064/JOB00172
IEAVEADV	0008	02:59:26	400	IFX0064/JOB00172
IEAVTSDW	0000	02:59:26	1680	IFX0064/JOB00172
ISTSDCHS	0000	02:59:26	1600	IFX0064/JOB00172
IEDQ22	0000	02:59:26	1040	IFX0064/JOB00172
IERADS	0000	02:59:26	720	IFX0064/JOB00172
IGE0904A	0000	02:59:27	640	IFX0064/JOB00172
IEDAYN	0008	02:59:27	4320	IFX0064/JOB00172
IGG0196S	0000	02:59:27	1360	IFX0064/JOB00172
IEAVESPR	0000	02:59:28	3120	IFX0064/JOB00172
IEDNSL	0008	02:59:29	10880	IFX0064/JOB00172
IERRCU	0000	02:59:29	1520	IFX0064/JOB00172
IGG01944	0008	02:59:29	2400	IFX0064/JOB00172
IEFAB499	0000	02:59:30	3600	IFX0064/JOB00172
IFCOFFLD	0000	02:59:30	2800	IFX0064/JOB00172
IDCCDRC	0000	02:59:22	3840	IFX0065/JOB00173
IDAIIPM3	0000	02:59:31	2960	IFX0065/JOB00173
IERRC8	0000	02:59:31	2000	IFX0065/JOB00173
ISTZBFAI	0000	02:59:31	1440	IFX0065/JOB00173
IGG0860B	0000	02:59:31	1680	IFX0065/JOB00173
ISTOCCOE	0000	02:59:32	9520	IFX0065/JOB00173
ISTDCC61	0000	02:59:32	1120	IFX0065/JOB00173
ISTDCC10	0000	02:59:32	1040	IFX0065/JOB00173
BNGI3270	0000	02:59:32	11440	IFX0065/JOB00173
IGG1SN	0000	02:59:33	960	IFX0065/JOB00173
IDCCDLR	0000	02:59:33	2480	IFX0065/JOB00173
ISTORFPR	0000	02:59:33	720	IFX0065/JOB00173
IFCETRN1	0000	02:59:33	13040	IFX0065/JOB00173
IEECB806	0000	02:59:34	2720	IFX0065/JOB00173
IFG0196W	0000	02:59:34	2240	IFX0065/JOB00173
IGG0553F	0008	02:59:35	960	IFX0065/JOB00173
ISTSQC0B	0000	02:59:36	1840	IFX0065/JOB00173
IGCA410D	0008	02:59:36	1120	IFX0065/JOB00173
IEFSD101	0000	02:59:37	1680	IFX0065/JOB00173
IKJEBEM4	0000	02:59:37	2080	IFX0065/JOB00173
ISTINCAW	0000	02:59:37	12640	IFX0065/JOB00173
IGG0192Q	0000	02:59:37	1200	IFX0065/JOB00173
IERAON	0000	02:59:38	640	IFX0065/JOB00173
IFG0200Z	0000	02:59:38	2080	IFX0065/JOB00173
IEAVRFR	0008	02:59:39	3360	IFX0065/JOB00173
IEFQB585	0000	03:02:09	640	IFX0066/JOB00175
BLSUVSGE	0000	03:02:09	640	IFX0066/JOB00175
ISTIC005	0000	03:02:10	4320	IFX0066/JOB00175
IKJEGCVT	0000	03:02:10	14480	IFX0066/JOB00175
IGCMB10D	0008	03:02:11	2160	IFX0066/JOB00175
IDCTSEV0	0000	03:02:11	320	IFX0066/JOB00175
IEHMVMRY	0000	03:02:11	2400	IFX0066/JOB00175
IGG0195U	0000	03:02:11	1040	IFX0066/JOB00175
IERAOJ	0000	03:02:12	400	IFX0066/JOB00175
IGG0197L	0000	03:02:12	1680	IFX0066/JOB00175
IGG0191H	0000	03:02:12	1840	IFX0066/JOB00175
BLSRTCBX	0000	03:02:13	2800	IFX0066/JOB00175
IGC0J10D	0008	03:02:13	1840	IFX0066/JOB00175
ISTZGF0B	0000	03:02:13	3920	IFX0066/JOB00175
IGG01913	0000	03:02:14	1120	IFX0066/JOB00175
IDCRD03	0000	03:02:14	9840	IFX0066/JOB00175
AHLVCOFF	0000	03:02:15	480	IFX0066/JOB00175
ICGDSS08	0000	03:02:15	3840	IFX0066/JOB00175
IKJEFP20	0000	03:02:15	5680	IFX0066/JOB00175
IEE6503D	0000	03:02:16	2080	IFX0066/JOB00175
IGCZ110D	0008	03:02:16	2080	IFX0066/JOB00175
IFFACA13	0012	03:02:16	480	IFX0066/JOB00175
IEECVFTD	0000	03:02:17	880	IFX0066/JOB00175
IEAVEF00	0000	03:02:17	640	IFX0066/JOB00175
IEFAB4FC	0000	03:02:17	4800	IFX0066/JOB00175
IMDUSRFF	0000	03:02:09	15120	IFX0067/JOB00176
ISTZGFCB	0000	03:02:18	880	IFX0067/JOB00176
IGFCCHED	0008	03:02:18	1600	IFX0067/JOB00176
ISTINCE6	0000	03:02:18	1360	IFX0067/JOB00176
BLSDDT00	0000	03:02:19	1600	IFX0067/JOB00176
IEHMVSRY	0000	03:02:19	1760	IFX0067/JOB00176
IFG0201R	0000	03:02:19	1520	IFX0067/JOB00176
IGCI010D	0008	03:02:20	2160	IFX0067/JOB00176
IGCAL10D	0008	03:02:21	960	IFX0067/JOB00176
HMASMALC	0000	03:02:21	3440	IFX0067/JOB00176
IGG3PCHN	0000	03:02:21	1120	IFX0067/JOB00176
IFNX4T	0000	03:02:22	5520	IFX0067/JOB00176
ISTSDCC5	0000	03:02:22	720	IFX0067/JOB00176
IEAVTSDU	0000	03:02:23	880	IFX0067/JOB00176
IEDQHM	0008	03:02:23	6400	IFX0067/JOB00176
IGG019GZ	0000	03:02:23	5360	IFX0067/JOB00176
IERROK	0000	03:02:24	1760	IFX0067/JOB00176
ISTZFFDF	0000	03:02:24	960	IFX0067/JOB00176
IGC0007C	0000	03:02:24	1440	IFX0067/JOB00176
IERAOV	0000	03:02:24	800	IFX0067/JOB00176
IECVPURG	0008	03:02:25	1120	IFX0067/JOB00176
IEFBB4M3	0000	03:02:25	12080	IFX0067/JOB00176
IGG0CLA2	0000	03:02:25	4560	IFX0067/JOB00176
IFDMSG08	0000	03:02:26	480	IFX0067/JOB00176
IEFBB4M4	0000	03:02:26	1680	IFX0067/JOB00176
IEDQ25	0000	03:02:18	240	IFX0068/JOB00177
IFG0193E	0000	03:02:26	1760	IFX0068/JOB00177
ISTINCDT	0000	03:02:27	1760	IFX0068/JOB00177
BLSCCLSE	0000	03:02:27	1360	IFX0068/JOB00177
IFCFILT1	0008	03:02:27	18880	IFX0068/JOB00177
IERAPE	0000	03:02:28	1120	IFX0068/JOB00177
IEFAB4ED	0000	03:02:28	2000	IFX0068/JOB00177
IDA019RF	0000	03:02:29	6480	IFX0068/JOB00177
ISTINCD0	0000	03:02:29	1520	IFX0068/JOB00177
IEBGENRT	0000	03:02:29	3280	IFX0068/JOB00177
IGCFK10D	0008	03:02:30	800	IFX0068/JOB00177
ISTDCC80	0000	03:02:31	1840	IFX0068/JOB00177
BLSUTSO	0000	03:02:31	1680	IFX0068/JOB00177
AMDSAASM	0000	03:02:31	1520	IFX0068/JOB00177
IGG019MN	0000	03:02:31	400	IFX0068/JOB00177
IEFVGM11	0000	03:02:31	720	IFX0068/JOB00177
IAPABNAP	0000	03:02:32	720	IFX0068/JOB00177
IDA019RU	0000	03:02:32	8480	IFX0068/JOB00177
IEESL03D	0000	03:02:32	2640	IFX0068/JOB00177
IEDQ27	0000	03:02:33	1040	IFX0068/JOB00177
HMASMTPL	0000	03:02:33	6160	IFX0068/JOB00177
IGG019RD	0008	03:02:33	3680	IFX0068/JOB00177
HMASMRCF	0000	03:02:34	2800	IFX0068/JOB00177
IEE3503D	0008	03:02:34	1840	IFX0068/JOB00177
IGE0804B	0000	03:02:26	1120	IFX0069/JOB00178
IFCECHAR	0000	03:02:34	3840	IFX0069/JOB00178
IGE0011D	0000	03:02:34	1600	IFX0069/JOB00178
AHLTDIR	0000	03:02:35	1840	IFX0069/JOB00178
IFFAHA04	0012	03:02:35	2480	IFX0069/JOB00178
IKTCAS21	0000	03:02:35	2160	IFX0069/JOB00178
IGG019AA	0000	03:02:36	400	IFX0069/JOB00178
IGG0CLAY	0000	03:02:36	3280	IFX0069/JOB00178
IER9PA	0000	03:02:37	800	IFX0069/JOB00178
HMASMLOG	0000	03:02:37	4960	IFX0069/JOB00178
IEECVET4	0000	03:02:38	2640	IFX0069/JOB00178
BLSUPUT	0000	03:02:38	20160	IFX0069/JOB00178
IEFDB490	0000	03:02:38	1680	IFX0069/JOB00178
IGC0003I	0000	03:02:38	1680	IFX0069/JOB00178
HEWLFOPT	0000	03:02:39	3120	IFX0069/JOB00178
IEESH03D	0000	03:02:39	2000	IFX0069/JOB00178
IDCTSSA7	0000	03:02:39	1520	IFX0069/JOB00178
IEAVDELP	0008	03:02:39	880	IFX0069/JOB00178
IEAVAR01	0000	03:02:40	800	IFX0069/JOB00178
IECVXGRT	0008	03:02:40	240	IFX0069/JOB00178
IEDQBF	0008	03:02:40	320	IFX0069/JOB00178
IEAVNP19	0012	03:02:41	7440	IFX0069/JOB00178
IEAVNP13	0012	03:02:41	8560	IFX0069/JOB00178
BLSRRAAR	0000	03:02:42	5040	IFX0069/JOB00178
ILRGOS	0008	03:02:42	5120	IFX0069/JOB00178
IRBMFLWV	0000	03:02:34	5520	IFX0070/JOB00179
IDCCDAV	0000	03:02:43	960	IFX0070/JOB00179
IGG0192T	0000	03:02:43	1440	IFX0070/JOB00179
ICGDSB20	0000	03:02:44	8880	IFX0070/JOB00179
ISTINCY4	0000	03:02:44	1040	IFX0070/JOB00179
IGC0R05B	0000	03:02:44	2800	IFX0070/JOB00179
IGC0L05B	0000	03:02:45	720	IFX0070/JOB00179
AMDSATER	0000	03:02:45	6160	IFX0070/JOB00179
IEECB901	0000	03:02:46	1040	IFX0070/JOB00179
IDCCDRR	0000	03:02:46	720	IFX0070/JOB00179
IKJEES40	0000	03:02:46	5840	IFX0070/JOB00179
IEDSAC	0008	03:02:46	5520	IFX0070/JOB00179
IEBISL	0000	03:02:47	2320	IFX0070/JOB00179
IGE0504G	0000	03:02:47	2000	IFX0070/JOB00179
BLSEADP1	0000	03:02:47	3200	IFX0070/JOB00179
IGC0003C	0000	03:02:48	3760	IFX0070/JOB00179
IGG019BA	0000	03:02:48	800	IFX0070/JOB00179
BLST03	0000	03:02:49	1920	IFX0070/JOB00179
IGG019JS	0000	03:02:49	1520	IFX0070/JOB00179
IEDQND	0008	03:02:49	4080	IFX0070/JOB00179
IGG019CR	0000	03:02:50	1280	IFX0070/JOB00179
IGG0194P	0000	03:02:50	2240	IFX0070/JOB00179
IEAVGCAS	0000	03:02:51	4080	IFX0070/JOB00179
BLSRDUCK	0000	03:02:51	720	IFX0070/JOB00179
ICKVA01	0000	03:02:52	1760	IFX0070/JOB00179
IFDOLT30	0000	03:02:43	4160	IFX0071/JOB00180
ICKCDRF	0000	03:02:52	1200	IFX0071/JOB00180
ISTZCFBI	0000	03:02:52	4080	IFX0071/JOB00180
IER8GB	0000	03:02:53	1920	IFX0071/JOB00180
ISTYPSOL	0000	03:02:53	4080	IFX0071/JOB00180
IEFAB4EB	0000	03:02:53	960	IFX0071/JOB00180
IFG0RR0B	0000	03:02:53	13200	IFX0071/JOB00180
IECVEXCP	0008	03:02:54	9920	IFX0071/JOB00180
IFG0194C	0000	03:02:55	9760	IFX0071/JOB00180
IEESF03D	0000	03:02:57	4640	IFX0071/JOB00180
IEHMVETJ	0000	03:02:57	5680	IFX0071/JOB00180
IFCSAXXX	0000	03:02:58	17760	IFX0071/JOB00180
BLSVCVT	0000	03:03:04	6000	IFX0071/JOB00180
BLSVLCCA	0000	03:03:05	2560	IFX0071/JOB00180
IFCEWHT1	0000	03:03:05	1360	IFX0071/JOB00180
IGE0404B	0000	03:03:05	880	IFX0071/JOB00180
IEAVAD0B	0000	03:03:05	4800	IFX0071/JOB00180
IEDQOT01	0008	03:03:06	3040	IFX0071/JOB00180
IEDAYO	0008	03:03:06	4240	IFX0071/JOB00180
IGG08108	0000	03:03:07	3360	IFX0071/JOB00180
IGE0304B	0000	03:03:07	1200	IFX0071/JOB00180
IEAVELIT	0000	03:03:08	2160	IFX0071/JOB00180
