module	before	after
IGG019TH	bytes	identical
IGG0325I	bytes	identical
IGG0CLA9	bytes	identical
IGG0CLCA	bytes	identical
IHJACP02	bytes	identical
IHJACP20	bytes	identical
IHJACP25	bytes	identical
IHJACP70	bytes	identical
IHJARS00	bytes	identical
IHJARS01	bytes	identical
IHJARS60	bytes	identical
IKJCT432	bytes	identical
IKJCT433	bytes	identical
IKJCT434	bytes	identical
IKJCT436	bytes	identical
IKJCT462	bytes	identical
IKJCT472	bytes	identical
IKJEFA00	bytes	identical
IKJEFA20	bytes	identical
IKJEFA42	bytes	identical
IKJEFD30	bytes	identical
IKJEFF04	bytes	identical
IKJEFF52	bytes	identical
IKJEFF54	bytes	identical
IKJEFH03	bytes	identical
IKJEFLA	bytes	identical
IKJEFLB	bytes	identical
IKJEFLC	bytes	identical
IKJEFLL	bytes	identical
IKJEFT01	bytes	identical
IKJEFT30	bytes	identical
IKJEFT40	bytes	identical
IKJEFT45	bytes	identical
IKJEFT55	bytes	identical
IKJRBBMP	bytes	identical
IKTAY8	bytes	identical
IKTCAS54	bytes	identical
IKTCAS55	bytes	identical
ILRASRIM	bytes	identical
ILRCMP	bytes	identical
ILRFRR01	bytes	identical
ILRGOS	bytes	identical
ILRIOFRR	bytes	identical
ILRMSG00	bytes	identical
ILROPS00	bytes	identical
ILRTMRLG	bytes	identical
IRARMCTL	bytes	identical
IRBMFDCP	bytes	identical
IRBMFDEA	bytes	identical
IRBMFMLN	bytes	identical
IRBMFRGM	bytes	identical
IRBMFRWR	bytes	identical
ISDACNFG	bytes	identical
ISDAPAD1	bytes	identical
ISTINCCL	bytes	identical
ISTINCE8	bytes	identical
ISTINCF3	bytes	identical
ISTINCIO	bytes	identical
ISTINCLF	bytes	identical
ISTINCUM	bytes	identical
ISTINCV2	bytes	identical
ISTINCVI	bytes	identical
ISTINCVX	bytes	identical
ISTINCW9	bytes	identical
ISTSDCC1	bytes	identical
ISTSDCC4	bytes	identical
ISTZFMAA	bytes	identical
