module	before	after
IEBDWR	bytes	identical
IEDAYZ	bytes	identical
IEDQWN	cards	identical
IFDOLT07	cards	bytes
IGE0019I	cards	identical
IGE0119I	cards	identical
IGG0197V	cards	identical
IGG08108	cards	identical
