module	before	after
AHLSBUF	bytes	identical
AHLWTASK	bytes	identical
AHLWTO	bytes	identical
ICBVPR00	bytes	identical
ICKIN02	bytes	identical
IDA0192Z	bytes	identical
IDA019S2	bytes	identical
IDA019SB	bytes	identical
IDA121A3	bytes	identical
IDAICIA1	bytes	identical
IEAV1443	bytes	identical
IEAVAR00	bytes	identical
IEAVCARR	bytes	identical
IEAVEAC0	bytes	identical
IEAVEMCR	bytes	identical
IEAVGPRR	bytes	identical
IEAVTJBN	bytes	identical
IEAVTLCL	bytes	identical
IEAVVCRA	bytes	identical
IEAVVCTR	bytes	identical
IECVERPL	bytes	identical
IEDAYGP	bytes	identical
IEDQBQ	bytes	identical
IEDQNF	bytes	identical
IEECB860	bytes	identical
IEECB866	bytes	identical
IEEMB803	bytes	identical
IEEMB806	bytes	identical
IEEMB816	bytes	identical
IEEMB830	bytes	identical
IEWFTMIN	bytes	identical
IFG0202I	bytes	identical
IFG0554T	bytes	identical
IGCT005C	bytes	identical
IGCT005G	bytes	identical
IGCT105C	bytes	identical
IGFDE1	bytes	identical
IGFTMCHK	bytes	identical
IGG01949	bytes	identical
IGG019FQ	bytes	identical
IGG019HH	bytes	identical
IGG019Q1	bytes	identical
IGG019Q6	bytes	identical
IGG019Q7	bytes	identical
IGG019R4	bytes	identical
IGG019R6	bytes	identical
IGG021AB	bytes	identical
IGG09303	bytes	identical
IGG09400	bytes	identical
IGG0940H	bytes	identical
IKJCT460	bytes	identical
IKJEFLGM	bytes	identical
IKJEGATN	bytes	identical
IKTLTERM	bytes	identical
IRARMERR	bytes	identical
ISTAPC62	bytes	identical
ISTAPC66	bytes	identical
ISTZRM01	bytes	identical
