module	before	after
AMASPZAP	cards	bytes
BLSDMSGS	cards	bytes
BLSR3270	cards	bytes
HMASMMSG	bytes	identical
IASXSD82	cards	bytes
IDCRC04	cards	identical
IEDPMD	bytes	identical
IEDQFW	cards	identical
IEDQXC	bytes	identical
IEFAB421	bytes	identical
IEFSDTTE	cards	identical
IEFVDA	cards	identical
IEFVFA	cards	identical
IEHDPASS	cards	identical
IER8CM	cards	identical
IERRCB	bytes	identical
IFCE0135	cards	identical
IFCEMAD1	cards	identical
IFCEMER1	bytes	identical
IFCEMER3	bytes	identical
IFCEMER4	bytes	identical
IFCEMER5	cards	identical
IFCET002	cards	identical
IFCET008	cards	identical
IFCET00D	bytes	identical
IFCEWIN1	cards	identical
IFCEXXXC	bytes	identical
IFCEXXXD	bytes	identical
IFCST003	bytes	identical
IFCST008	cards	identical
IFCSXXXD	cards	identical
IFCSXXXG	bytes	identical
IFCSXXXX	cards	identical
IFG0193A	cards	identical
IFG0196V	cards	identical
IFG0200W	cards	identical
IFG0200Y	cards	identical
IFG0202B	cards	identical
IFG0551H	cards	identical
IFG0554P	bytes	identical
IFG0RR0B	cards	identical
IFNX1A	cards	bytes
IGG0CLAY	cards	identical
IKJCT435	cards	identical
IKJEBEIA	bytes	identical
IKJEBEM7	bytes	identical
IKJEFD31	cards	identical
IKJEFF02	cards	bytes
IKJEFF18	cards	identical
IKJEFF49	cards	bytes
IKJEFF50	cards	identical
IKTMSGS	bytes	identical
IRBMFLPV	bytes	identical
