module	ifox_vs_dlib	as370_vs_dlib	cell	first_diff	len_ifox	len_as370	dlib_library
IGG0191Q	length	length	neither matches IBM				length
IGG0191R	length	length	neither matches IBM				length
IGG0191S	length	length	neither matches IBM				length
IGG0191T	length	length	neither matches IBM				length
IGG0191U	length	length	neither matches IBM				length
IGG0191V	length	length	neither matches IBM				length
IGG0191W	identical	identical	both match -- impossible, check the comparison				identical
IGG0191X	identical	identical	both match -- impossible, check the comparison				identical
IGG0191Y	identical	identical	both match -- impossible, check the comparison				identical
IGG0191Z	identical	identical	both match -- impossible, check the comparison				identical
IGG01923	text	text	neither matches IBM				text
IGG01926	identical	identical	both match -- impossible, check the comparison				identical
IGG0193A	length	length	neither matches IBM				length
IGG0193I	text	text	neither matches IBM				text
IGG0196A	length	length	neither matches IBM				length
IGG0196B	text	text	neither matches IBM				text
IGG0196I	text	text	neither matches IBM				text
IGG0196K	length	length	neither matches IBM				length
IGG0196L	length	length	neither matches IBM				length
IGG0196P	identical	identical	both match -- impossible, check the comparison				identical
IGG0197E	length	length	neither matches IBM				length
IGG0197F	length	length	neither matches IBM				length
IGG0197U	length	length	neither matches IBM				length
IGG0197V	mixed	mixed	neither matches IBM				mixed
IGG01991	identical	identical	both match -- impossible, check the comparison				identical
IGG01992	identical	identical	both match -- impossible, check the comparison				identical
IGG01993	identical	identical	both match -- impossible, check the comparison				identical
IGG01994	identical	identical	both match -- impossible, check the comparison				identical
IGG0199K	identical	identical	both match -- impossible, check the comparison				identical
IGG0199O	holes	identical	as370 matches IBM, IFOX00 does not				identical
IGG019MC	length	length	neither matches IBM				length
IGG019V6	length	length	neither matches IBM				length
IGG0201A	length	length	neither matches IBM				length
IGG0201B	length	length	neither matches IBM				length
