module	ifox_vs_dlib	as370_vs_dlib	cell	first_diff	len_ifox	len_as370	dlib_library
ISTAPC61	length	length	neither matches IBM	0x0012a	1596	1596	length
IDCCDRM	identical	length	IFOX00 matches IBM, as370 does not	0x002e0	1592	1279	length
IEFVINA	length	length	neither matches IBM	0x00355	1588	1588	length
IRBMFMFC	text	text	neither matches IBM	0x00609	1588	1588	text
IFDOLTAJ	holes	mixed	neither matches IBM	0x00049	1584	1584	mixed
IKJEBEEN	no-pair	no-pair	no distribution member	0x0006f	1572	1572	no-pair
IEHMVESP	holes	length	neither matches IBM	0x0048a	1571	1563	length
IER8CM	no-pair	no-pair	no distribution member	0x00011	1560	1576	no-pair
IKJEBEIS	no-pair	no-pair	no distribution member	0x002ce	1560	1560	no-pair
IFDOLT35	mixed	mixed	neither matches IBM	0x00049	1558	1558	mixed
IGG09302	length	length	neither matches IBM	0x00101	1552	1560	length
IEESZ03D	no-pair	no-pair	no distribution member	0x00005	1548	1536	no-pair
IEESL03D	no-pair	no-pair	no distribution member	0x00005	1542	1530	no-pair
IEFSD089	length	length	neither matches IBM	0x005f0	1541	1533	length
IDCCDRC	identical	length	IFOX00 matches IBM, as370 does not	0x00310	1530	1052	length
IEESG03D	no-pair	no-pair	no distribution member	0x00005	1530	1526	no-pair
IGC00030	length	length	neither matches IBM	0x003b1	1528	1528	length
IFCST006	identical	length	IFOX00 matches IBM, as370 does not	0x00007	1508	1452	length
IFDOLT73	holes	mixed	neither matches IBM	0x00033	1508	1508	mixed
IEESA03D	no-pair	no-pair	no distribution member	0x0024d	1500	1492	no-pair
IKJEFXSR	length	length	neither matches IBM	0x00294	1496	1496	length
IKT0940F	length	length	neither matches IBM	0x000be	1480	1480	length
IEAVESPR	identical	text	IFOX00 matches IBM, as370 does not	0x000a0	1475	1475	text
IDCCDRS	identical	length	IFOX00 matches IBM, as370 does not	0x002f1	1467	1311	length
IFCEMER3	identical	length	IFOX00 matches IBM, as370 does not	0x001cb	1445	1239	length
IFCSI155	identical	length	IFOX00 matches IBM, as370 does not	0x00007	1444	1228	length
IFG0200N	length	length	neither matches IBM	0x00396	1432	1432	length
IRBMFLPV	holes	length	neither matches IBM	0x0019b	1416	1444	length
IFCETRN4	length	length	neither matches IBM	0x0002e	1409	1233	length
IDCTSSA6	identical	length	IFOX00 matches IBM, as370 does not	0x00005	1405	1297	length
IDA019S6	length	length	neither matches IBM	0x000b1	1404	1404	length
IKJEFD31	identical	length	IFOX00 matches IBM, as370 does not	0x000d5	1385	1533	length
IKJEFF50	no-pair	no-pair	no distribution member	0x00468	1385	1286	no-pair
IFDOLT38	holes	mixed	neither matches IBM	0x0002f	1382	1382	mixed
AMDSASVI	holes	mixed	neither matches IBM	0x0002a	1364	1364	mixed
IFDOLT67	length	length	neither matches IBM	0x00050	1358	1358	length
AHLMCER	length	length	neither matches IBM	0x00007	1348	1276	length
IDCCDBI	identical	length	IFOX00 matches IBM, as370 does not	0x00208	1343	1139	length
IKJEFF16	no-pair	no-pair	no distribution member	0x004d7	1338	1338	no-pair
IDCCDLR	identical	length	IFOX00 matches IBM, as370 does not	0x00208	1329	837	length
IFCEC155	identical	length	IFOX00 matches IBM, as370 does not	0x00074	1322	1068	length
IGG0193Q	length	length	neither matches IBM	0x00147	1312	1304	length
IFCEB155	identical	length	IFOX00 matches IBM, as370 does not	0x00074	1307	1069	length
IFFPEAGR	identical	text	IFOX00 matches IBM, as370 does not	0x00029	1302	1302	text
IKTVTPUT	length	length	neither matches IBM	0x0003d	1296	1312	length
IRBMFTMA	holes	length	neither matches IBM	0x0001f	1290	1314	length
IEFNB903	length	length	neither matches IBM	0x0005b	1276	1276	length
IFCSUKNO	identical	length	IFOX00 matches IBM, as370 does not	0x00007	1254	1078	length
IFG0232G	mixed	mixed	neither matches IBM	0x003e7	1248	1248	mixed
IFDOLT24	length	length	neither matches IBM	0x0004b	1244	1244	length
IKJEBEAE	no-pair	no-pair	no distribution member	0x00225	1232	1232	no-pair
IFCEDDR0	length	length	neither matches IBM	0x00023	1229	1133	length
IKJEFF49	length	length	neither matches IBM	0x00390	1220	1109	length
IDACAT12	length	length	neither matches IBM	0x00294	1218	1218	length
IKTMSGS	length	length	neither matches IBM	0x00027	1207	1875	length
IEE5103D	length	length	neither matches IBM	0x00023	1202	1242	length
IKTCAS40	identical	length	IFOX00 matches IBM, as370 does not	0x0001f	1202	1194	length
IGC0506C	length	length	neither matches IBM	0x00035	1201	1201	length
IEAVXDOM	length	length	neither matches IBM	0x00020	1196	1196	length
IEFSD166	length	length	neither matches IBM	0x0001f	1194	1210	length
IEAVEMDL	length	length	neither matches IBM	0x0001f	1186	1203	length
IFG0195N	text	text	neither matches IBM	0x001d3	1184	1184	text
IGG09301	length	length	neither matches IBM	0x00025	1180	1196	length
IEAXPDXR	holes	holes	neither matches IBM	0x001ed	1160	1160	holes
ISTSC029	length	length	neither matches IBM	0x00438	1160	1160	length
IFDOLT07	holes	mixed	neither matches IBM	0x0003b	1158	1158	mixed
BLSRVRBX	text	length	neither matches IBM	0x00075	1152	1152	length
IDCCDCC	identical	length	IFOX00 matches IBM, as370 does not	0x00210	1145	1016	length
IRBMFIWK	holes	length	neither matches IBM	0x0001f	1132	1156	length
IHJACP01	length	length	neither matches IBM	0x0022b	1126	1126	length
IEEMB810	mixed	length	neither matches IBM	0x0001d	1125	1133	length
IEHDASDR	identical	text	IFOX00 matches IBM, as370 does not	0x0022f	1124	1124	text
IKJEBEUN	length	length	neither matches IBM	0x000d9	1120	1120	length
IGFC60	length	length	neither matches IBM	0x000de	1118	1118	length
IEESH03D	no-pair	no-pair	no distribution member	0x00005	1116	1104	no-pair
IDCTSCN0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	1109	1095	length
IEBCQSAM	mixed	length	neither matches IBM	0x00023	1108	1236	length
BLSFPARS	identical	length	IFOX00 matches IBM, as370 does not	0x000cc	1104	1104	length
IFDOLT06	identical|unpaired	text	neither matches IBM	0x00031	1102	1102	text
IFFPBAPR	identical	text	IFOX00 matches IBM, as370 does not	0x00029	1102	1102	text
IECVCRHH	length	length	neither matches IBM	0x002d4	1100	1100	length
IHJQRS24	text	text	neither matches IBM	0x00029	1092	1092	text
IEE1603D	length	length	neither matches IBM	0x001e1	1088	1088	length
IFG0199D	length	length	neither matches IBM	0x00207	1088	1088	length
IEE0803D	length	length	neither matches IBM	0x00049	1085	1125	length
IERRCJ	no-pair	no-pair	no distribution member	0x00010	1082	1082	no-pair
IFCET006	length	length	neither matches IBM	0x0015d	1081	989	length
IECVBRSV	identical	length	IFOX00 matches IBM, as370 does not	0x00072	1071	1205	length
IGG03002	length	length	neither matches IBM	0x000bb	1040	1040	length
IGG0196Q	text	text	neither matches IBM	0x00290	1038	1038	text
IGC0002A	length	length	neither matches IBM	0x00285	1032	1032	length
AHLREADR	mixed	length	neither matches IBM	0x00006	1028	1148	length
IFOX0H	mixed	mixed	neither matches IBM	0x000ab	1027	1027	mixed
ISTOCCOA	mixed	mixed	neither matches IBM	0x0010a	1024	1024	mixed
IEECVFTB	length	length	neither matches IBM	0x0028b	1022	1022	length
IGG0193M	length	text	neither matches IBM	0x001a9	1020	1016	text
AMDSAAUD	length	length	neither matches IBM	0x00072	1012	1012	length
IEE0703D	length	length	neither matches IBM	0x00039	998	1038	length
IHJQRS20	text	text	neither matches IBM	0x0002d	990	990	text
IDCTSCO0	text	length	neither matches IBM	0x00009	987	915	length
IEE0303D	length	length	neither matches IBM	0x00081	986	1026	length
IKJEBEDC	no-pair	no-pair	no distribution member	0x00028	984	984	no-pair
IEESQ03D	no-pair	no-pair	no distribution member	0x00005	978	970	no-pair
IEE3703D	length	length	neither matches IBM	0x00063	977	1033	length
IGG0197B	length	length	neither matches IBM	0x000a0	976	1096	length
IKTXMTPT	length	length	neither matches IBM	0x0001d	964	972	length
IFCEMER0	identical	length	IFOX00 matches IBM, as370 does not	0x0019e	962	782	length
AMDSAPGI	holes	mixed	neither matches IBM	0x0020a	956	956	mixed
AMDSAWAT	holes	mixed	neither matches IBM	0x000b2	952	952	mixed
IDCTSSA7	identical	length	IFOX00 matches IBM, as370 does not	0x00005	949	899	length
IFDOLT53	length	length	neither matches IBM	0x00035	944	944	length
IEEVWKUP	length	length	neither matches IBM	0x0006c	936	936	length
IFDOLT56	holes	mixed	neither matches IBM	0x00037	936	936	mixed
IFDOLT26	holes	mixed	neither matches IBM	0x00037	926	926	mixed
IDCTSCV0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	919	859	length
IEAVEMIN	length	length	neither matches IBM	0x0001f	914	931	length
IFCST00B	identical	length	IFOX00 matches IBM, as370 does not	0x00007	913	839	length
IFDOLT16	holes	mixed	neither matches IBM	0x0005b	906	906	mixed
IFDOLT21	holes	mixed	neither matches IBM	0x00033	906	906	mixed
IFCSXXXG	identical	length	IFOX00 matches IBM, as370 does not	0x00007	905	853	length
IEEMB825	length	length	neither matches IBM	0x0001d	900	892	length
IKJEFP40	length	length	neither matches IBM	0x00269	890	890	length
IKJEFLK	length	length	neither matches IBM	0x00021	888	904	length
IKTCAS52	length	length	neither matches IBM	0x0001e	876	996	length
BLSUNOTE	identical	length	IFOX00 matches IBM, as370 does not	0x0011c	864	864	length
IEFIB620	length	length	neither matches IBM	0x00325	863	863	length
IGG0193K	length	length	neither matches IBM	0x00136	856	856	length
IFDOLT52	length	length	neither matches IBM	0x0002f	850	850	length
IEE5403D	length	length	neither matches IBM	0x00244	836	836	length
IFOX0F	length	length	neither matches IBM	0x00083	832	832	length
IGG019VE	identical	length	IFOX00 matches IBM, as370 does not	0x0000d	824	816	length
IEAVAR03	identical	length	IFOX00 matches IBM, as370 does not	0x0001d	816	856	length
IEFXB604	holes	mixed	neither matches IBM	0x00288	816	816	mixed
ISTINCDT	identical	text	IFOX00 matches IBM, as370 does not	0x00007	816	816	text
IEHMVSRK	holes	holes	neither matches IBM	0x00288	786	746	holes
IFCS0155	identical	length	IFOX00 matches IBM, as370 does not	0x0007e	785	759	length
IEFSD102	mixed	length	neither matches IBM	0x0004d	774	766	length
IRBMFECH	no-pair	no-pair	no distribution member	0x000f8	772	772	no-pair
IDCTSSD0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	769	713	length
IFCET00B	length	length	neither matches IBM	0x000db	768	704	length
IGG019VG	identical	length	IFOX00 matches IBM, as370 does not	0x0000d	752	744	length
ISTAPC58	mixed	mixed	neither matches IBM	0x00018	752	752	mixed
IEDBITN	length	length	neither matches IBM	0x00247	747	636	length
IFCET005	length	length	neither matches IBM	0x001aa	740	704	length
IFCETRN2	identical	length	IFOX00 matches IBM, as370 does not	0x0001a	729	665	length
BLSRFUCB	identical	length	IFOX00 matches IBM, as370 does not	0x00071	720	720	length
IEESC03D	no-pair	no-pair	no distribution member	0x0007f	714	717	no-pair
IFDOLT28	holes	mixed	neither matches IBM	0x00052	702	702	mixed
BLSRASCX	identical	length	IFOX00 matches IBM, as370 does not	0x0006f	672	672	length
IDCTSIO5	identical	length	IFOX00 matches IBM, as370 does not	0x00005	667	597	length
IFDOLT37	holes	mixed	neither matches IBM	0x00106	666	666	mixed
IDCTSAV0	identical	length	IFOX00 matches IBM, as370 does not	0x00007	660	630	length
IGFPTSIG	identical	text	IFOX00 matches IBM, as370 does not	0x000a6	640	640	text
IEFNB9CR	length	length	neither matches IBM	0x00020	636	892	length
IEFNB9IR	length	length	neither matches IBM	0x00020	636	892	length
IGG019BO	length	length	neither matches IBM	0x00271	632	753	length
ISTAPC57	length	length	neither matches IBM	0x00238	628	628	length
IDCTSSR0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	626	602	length
IFDOLT13	holes	mixed	neither matches IBM	0x000d5	622	622	mixed
IFDOLT05	holes	mixed	neither matches IBM	0x0003d	582	582	mixed
IEFIB621	length	length	neither matches IBM	0x0001e	570	612	length
IFDOLT04	holes	mixed	neither matches IBM	0x00033	546	546	mixed
IGFPTCON	identical	text	IFOX00 matches IBM, as370 does not	0x00144	536	536	text
IDCCDCK	identical	length	IFOX00 matches IBM, as370 does not	0x000b0	533	272	length
IDCTSRR0	identical	length	IFOX00 matches IBM, as370 does not	0x00005	522	486	length
