module	before	after
AKJLKL01	cards	bytes
BLSEDEL0	cards	bytes
BLSFAD00	cards	bytes
BLSFLD00	bytes	identical
BLSFMD00	cards	bytes
BLSFPARS	cards	bytes
BLSRASCX	cards	bytes
BLSRENQK	cards	bytes
BLSREVAL	cards	bytes
BLSRFUCB	cards	bytes
BLSRSUMM	cards	bytes
BLSUHELP	cards	bytes
BLSUINI1	cards	bytes
IDCCDBI	cards	bytes
IDCCDDL	cards	bytes
IEEC2740	cards	identical
IGG01931	bytes	identical
IGG019PD	bytes	identical
IGG019V5	bytes	identical
IKJCT469	cards	bytes
IKJEBELT	cards	bytes
IKJEBERE	cards	bytes
IKJEBESA	cards	bytes
IKJEBESC	cards	bytes
IKJEBETA	cards	bytes
IKJEES11	cards	bytes
IKJEFE11	cards	bytes
IKJEFF16	bytes	identical
IKJEFG00	cards	bytes
IKJEFT08	cards	bytes
IKJEGAT	cards	bytes
IKJEGCPY	cards	bytes
IKJEGGO	bytes	identical
IKJEGLDF	cards	bytes
IKJEHPRO	cards	bytes
IKTCAS23	bytes	identical
ISTSC029	bytes	identical
