module	before	after
IFCE0145	cards	identical
IFCE0155	cards	bytes
IFCE0165	cards	identical
IFCE2860	cards	identical
IFCE2870	cards	identical
IFCE2880	cards	identical
IFCEA155	cards	bytes
IFCEA165	cards	identical
IFCEAXXX	cards	identical
IFCEB155	cards	identical
IFCEB165	cards	identical
IFCEC155	cards	identical
IFCEC165	cards	identical
IFCED155	cards	identical
IFCED165	bytes	identical
IFCEDDR0	cards	identical
IFCEE155	cards	identical
IFCEE165	bytes	identical
IFCEF155	cards	identical
IFCEF165	cards	identical
IFCEG155	cards	identical
IFCEGUS1	cards	identical
IFCEI135	cards	identical
IFCEI145	cards	bytes
IFCEI155	cards	identical
IFCEIPL0	cards	identical
IFCEJ145	cards	identical
IFCELEX1	cards	identical
IFCEM155	cards	identical
IFCEMER0	cards	identical
IFCEMER1	cards	bytes
IFCEMER2	cards	identical
IFCEMER3	cards	bytes
IFCEMER4	cards	bytes
IFCEOAK1	cards	identical
IFCEOAK2	cards	identical
IFCEOAK3	cards	identical
IFCEOAK4	cards	identical
IFCEOAK5	cards	identical
IFCESOFT	cards	identical
IFCET003	cards	identical
IFCET004	cards	identical
IFCET005	cards	identical
IFCET006	cards	identical
IFCET00B	cards	identical
IFCET00C	cards	identical
IFCETRN0	cards	identical
IFCETRN1	cards	identical
IFCETRN2	cards	identical
IFCETRN3	cards	identical
IFCETRN4	cards	identical
IFCETRN5	cards	identical
IFCETUL1	cards	identical
IFCEUKNO	cards	identical
IFCEXXX0	cards	identical
IFCEXXX1	cards	identical
IFCEXXX2	cards	identical
IFCEXXX3	cards	identical
IFCEXXX4	cards	identical
IFCEXXX5	cards	identical
IFCEXXX6	cards	identical
IFCEXXX7	cards	identical
IFCEXXX8	cards	identical
IFCEXXX9	cards	identical
IFCEXXXA	cards	identical
IFCEXXXB	cards	identical
IFCEXXXC	cards	bytes
IFCEXXXD	cards	bytes
IFCEXXXE	cards	identical
IFCEXXXF	cards	identical
IFCEXXXG	cards	identical
IFCEXXXH	cards	identical
IFCEXXXX	cards	identical
IFCS0135	bytes	identical
IFCS0145	cards	identical
IFCS0155	bytes	identical
IFCS0165	cards	identical
IFCS2860	cards	identical
IFCS2870	cards	identical
IFCS2880	cards	identical
IFCSAXXX	cards	identical
IFCSGUS1	cards	identical
IFCSI145	cards	identical
IFCSI155	bytes	identical
IFCSIPL0	cards	identical
IFCSSOFT	bytes	identical
IFCST003	cards	bytes
IFCST005	bytes	identical
IFCST006	cards	identical
IFCST00B	cards	identical
IFCSUKNO	cards	identical
IFCSXXX0	cards	identical
IFCSXXX1	cards	identical
IFCSXXX2	cards	identical
IFCSXXX3	cards	identical
IFCSXXX4	cards	identical
IFCSXXX5	cards	identical
IFCSXXX6	cards	identical
IFCSXXX7	cards	identical
IFCSXXX8	cards	identical
IFCSXXX9	cards	identical
IFCSXXXA	cards	identical
IFCSXXXB	cards	identical
IFCSXXXE	cards	identical
IFCSXXXF	cards	bytes
IFCSXXXG	cards	bytes
IFNX1K	cards	bytes
IFNX3K	cards	bytes
IGG0193M	bytes	identical
IGG0193Q	bytes	identical
IGG0193S	cards	bytes
IRARMIPS	bytes	identical
IRBMFINP	bytes	identical
