module	before	after
BLSCAMOD	bytes	identical
ICBVIN00	bytes	identical
IEAVMFRR	cards	identical
IEE3103D	bytes	identical
IEE3303D	bytes	identical
IEE3603D	bytes	identical
IEE4203D	bytes	identical
IEE4403D	cards	identical
IEE4603D	cards	identical
IEE4803D	bytes	identical
IEE7303D	bytes	identical
IEECB800	cards	identical
IEESB665	cards	identical
IEESB670	cards	identical
IEFIB645	cards	identical
IEFISEXR	cards	identical
IFDOLT98	cards	identical
IFG0195B	cards	bytes
IFG0196M	bytes	identical
IFG0196N	cards	bytes
IFG0196T	cards	bytes
IFG0196W	cards	bytes
IFG019RA	bytes	identical
IFG0200V	cards	bytes
IFG0202E	bytes	identical
IFG0552B	cards	bytes
IFG0553F	cards	bytes
IFG0554P	cards	bytes
IFG0TC0A	cards	bytes
IGC0002C	cards	bytes
IGC0002I	cards	bytes
IGG020P1	cards	bytes
IGG0290A	bytes	identical
IKJEFF03	cards	identical
IKJEHAL1	cards	bytes
ILRTMI00	cards	identical
ILRVSAMI	cards	identical
SECLOADA	cards	bytes
