module	before	after
AMASPZAP	bytes	identical
AMDPRPJB	bytes	identical
AMDPRPMS	bytes	identical
IDCRI04	bytes	identical
IEBDSCPY	bytes	identical
IEFSD087	bytes	identical
IEFSD089	bytes	identical
IEHLIST1	bytes	identical
IFASMFDP	bytes	identical
IKJCT430	bytes	identical
IKJCT463	bytes	identical
IKJCT467	bytes	identical
IKJCT469	bytes	identical
IKJEBEAA	bytes	identical
IKJEBECH	bytes	identical
IKJEBECI	bytes	identical
IKJEBEDE	bytes	identical
IKJEBEIP	bytes	identical
IKJEBEIS	bytes	identical
IKJEBELI	bytes	identical
IKJEBEMA	bytes	identical
IKJEBEMC	bytes	identical
IKJEBEME	bytes	identical
IKJEBEMR	bytes	identical
IKJEBERE	bytes	identical
IKJEBERU	bytes	identical
IKJEBESC	bytes	identical
IKJEBEVE	bytes	identical
IKJEFE11	bytes	identical
IKJEFF02	bytes	identical
IKJEFF19	bytes	identical
IKJEFF49	bytes	identical
IKJEFH01	bytes	identical
IKJEFP00	bytes	identical
IKJEFT80	bytes	identical
IKJEGDCB	bytes	identical
IKJEGEQU	bytes	identical
IKJEGINT	bytes	identical
IKJEGLDF	bytes	identical
IKJEGOFF	bytes	identical
IKJEGPCH	bytes	identical
IKJEGQFY	bytes	identical
IKJEGTCB	bytes	identical
IKJEGWHR	bytes	identical
IKJEHAL1	bytes	identical
IKJEHDS1	bytes	identical
