module	before	after
IFDOLT00	bytes	identical
IFDOLT03	bytes	identical
IFDOLT04	bytes	identical
IFDOLT05	bytes	identical
IFDOLT06	bytes	identical
IFDOLT07	bytes	identical
IFDOLT08	bytes	identical
IFDOLT13	bytes	identical
IFDOLT15	bytes	identical
IFDOLT16	bytes	identical
IFDOLT17	bytes	identical
IFDOLT18	bytes	identical
IFDOLT21	bytes	identical
IFDOLT22	bytes	identical
IFDOLT24	bytes	identical
IFDOLT26	bytes	identical
IFDOLT28	bytes	identical
IFDOLT30	bytes	identical
IFDOLT31	bytes	identical
IFDOLT32	bytes	identical
IFDOLT33	bytes	identical
IFDOLT35	bytes	identical
IFDOLT37	bytes	identical
IFDOLT38	bytes	identical
IFDOLT42	bytes	identical
IFDOLT43	bytes	identical
IFDOLT48	bytes	identical
IFDOLT49	bytes	identical
IFDOLT50	bytes	identical
IFDOLT52	bytes	identical
IFDOLT53	bytes	identical
IFDOLT54	bytes	identical
IFDOLT55	bytes	identical
IFDOLT56	bytes	identical
IFDOLT61	bytes	identical
IFDOLT67	bytes	identical
IFDOLT73	bytes	identical
IFDOLT74	bytes	identical
IFDOLTAJ	bytes	identical
IFNX4N	bytes	cards
IFNX4T	cards	bytes
