module	before	after
AMAPTF02	bytes	identical
AMDPRLPA	bytes	identical
HMASMADD	bytes	identical
HMASMAR1	bytes	identical
HMASMFPT	bytes	identical
HMASMLCD	bytes	identical
HMASMLID	bytes	identical
HMASMMDR	bytes	identical
HMASMMPA	bytes	identical
HMASMMPL	bytes	identical
HMASMPIN	bytes	identical
HMASMULI	bytes	identical
HMASMULK	bytes	identical
IEAV1052	bytes	identical
IEAV2540	bytes	identical
IEAVNP08	bytes	identical
IEDAY1	bytes	identical
IEDAYC	bytes	identical
IEDQA5	bytes	identical
IEDQNX	bytes	identical
IEDQWIA	bytes	identical
IEE3503D	bytes	identical
IEE40110	bytes	identical
IEE5503D	bytes	identical
IEE5603D	bytes	identical
IEE5903D	bytes	identical
IEE6403D	bytes	identical
IEE6703D	bytes	identical
IEE7103D	bytes	identical
IEE7503D	bytes	identical
IEE90110	bytes	identical
IEECVETW	bytes	identical
IEEPALTR	bytes	identical
IEFVGM67	bytes	identical
IEFVGM76	bytes	identical
IEFVGM78	bytes	identical
IEFVH1	bytes	identical
IEFVHCB	bytes	identical
IEFVSCAN	bytes	identical
IFCCRNDR	bytes	identical
IFCFRAMS	bytes	identical
IFCS3031	bytes	identical
IFCS3032	bytes	identical
IFCS3033	bytes	identical
IFCSAEXX	bytes	identical
IFCSDICH	bytes	identical
IFDOLT99	cards	identical
IFFCAN02	bytes	identical
IFG0194J	bytes	identical
IFG019TR	bytes	identical
IFNX2A	cards	bytes
IFNX3N	cards	bytes
IFNX4S	bytes	cards
IFNX4V	cards	bytes
IFNX5C	cards	bytes
IFNX6B	cards	bytes
IFNX6C	cards	bytes
IFOX0C	cards	bytes
IFOX0H	cards	bytes
IGC0906F	bytes	identical
IGC0A06F	bytes	identical
IGC0C06F	bytes	identical
IGCM910D	bytes	identical
IGG01920	bytes	identical
IGG01922	bytes	identical
IGG01924	bytes	identical
IGG01929	bytes	identical
IGG0192B	bytes	identical
IGG0192D	bytes	identical
IGG0192E	bytes	identical
IGG0192F	bytes	identical
IGG0192I	bytes	identical
IGG0192L	bytes	identical
IGG0192M	bytes	identical
IGG0192O	bytes	identical
IGG0192P	bytes	identical
IGG0192X	bytes	identical
IGG0192Z	bytes	identical
IGG0195D	bytes	identical
IGG0195G	bytes	identical
IGG0195U	bytes	identical
IGG0196C	bytes	identical
IGG0196D	bytes	identical
IGG0196G	bytes	identical
IGG0197C	bytes	identical
IGG019HI	bytes	identical
IGG0202D	bytes	identical
IGG0202I	bytes	identical
IGG0202K	bytes	identical
IGG0202N	bytes	identical
IGG08101	bytes	identical
IGG08102	bytes	identical
IGG08104	bytes	identical
IKJEFLPA	bytes	identical
IKJEHMEM	bytes	identical
ILRIMMSG	bytes	identical
IRBMFLCV	bytes	identical
IRBMFLHV	bytes	identical
IRBMFLMV	bytes	identical
IRBMFLTV	bytes	identical
IRBMFLWV	bytes	identical
ISTINCU4	bytes	identical
ISTINCU5	bytes	identical
READPSWD	bytes	identical
