module	as370_rc	ifox_rc	tool	tool_restamped	dlib
IEAVPIX	8	0008	identical		text
IEAVPREF	0	0008	identical		mixed
IEAVPRSB	0	0008	identical		text
IEAVPRT0	8	0008	bytes	bytes	text
IEAVPSI	0	0008	bytes	bytes	mixed
IEAVRCF	8	0008	cards		length
IEAVRCV	0	0008	identical		text
IEAVRELS	8	0008	identical		mixed
IEAVRFR	8	0008	identical		mixed
IEAVRSM	0	0008	identical		text
IEAVRT00	0	0000	identical		length
IEAVRT01	0	0000	identical		holes
IEAVRT02	0	0008	identical		length
IEAVRTI0	8	0008	bytes	bytes	length
IEAVRTI1	0	0000	cards		length
IEAVRTOD	0	0000	cards		length
IEAVSETS	0	0008	bytes	bytes	mixed
IEAVSOUT	8	0008	bytes	bytes	length
IEAVSQA	0	0008	cards		length
IEAVSTA0	0	0000	identical		length
IEAVSTAA	8	0000	bytes	bytes	length
IEAVSWCH	0	0000	bytes	bytes	length
IEAVSWIN	8	0008	cards		length
IEAVSWPC	8	0008	bytes	bytes	length
IEAVSY50	0	0008	bytes	bytes	length
IEAVTABD	0	0000	cards		length
IEAVTABI	8	0012	identical		text
IEAVTACR	0	0000	cards		length
IEAVTADR	0	0000	identical		identical
IEAVTAS1	0	0000	identical		length
IEAVTAS2	0	0000	identical		length
IEAVTAS3	0	0000	identical		length
IEAVTB00	0	0000	bytes	bytes	length
IEAVTCR1	0	0000	identical		identical
IEAVTERM	8	0008	bytes	bytes	length
IEAVTEST	0	0000	identical		identical
IEAVTFHX	0	0000	identical		identical
IEAVTFMT	0	0000	bytes	bytes	length
IEAVTFRD	0	0000	identical		length
IEAVTFRT	0	0000	identical		length
IEAVTFSD	0	0000	identical		length
IEAVTFTM	0	0000	identical		identical
IEAVTGLB	0	0000	bytes	bytes	length
IEAVTJBN	0	0000	identical		length
IEAVTLCL	0	0000	identical		length
IEAVTMMT	0	0000	identical		holes
IEAVTMRM	0	0000	identical		length
IEAVTMSI	0	0000	identical		length
IEAVTMTC	0	0000	identical		length
IEAVTMTR	0	0000	identical		length
IEAVTPER	8	0012	bytes	bytes	mixed
IEAVTPMT	0	0000	identical		mixed
IEAVTRCE	0	0008	bytes	bytes	text
IEAVTRER	8	0000	bytes	bytes	text
IEAVTRET	0	0000	cards		length
IEAVTRML	0	0000	identical		identical
IEAVTRT1	0	0008	bytes	bytes	text
IEAVTRT2	0	0000	identical		length
IEAVTRTC	0	0000	identical		length
IEAVTRTE	0	0000	identical		length
IEAVTRTH	8	0008	identical		length
IEAVTRTM	8	0000	bytes	bytes	text
IEAVTRTR	8	0008	bytes	bytes	text
IEAVTRTS	8	0008	identical		text
IEAVTRV	0	0008	identical		mixed
IEAVTSBP	0	0000	identical		text
IEAVTSDC	0	0000	bytes	bytes	length
IEAVTSDF	0	0000	identical		length
IEAVTSDG	0	0000	cards		length
IEAVTSDH	0	0000	bytes	bytes	length
IEAVTSDI	8	0012	bytes	bytes	mixed
IEAVTSDL	0	0000	identical		identical
IEAVTSDO	0	0000	identical		length
IEAVTSDR	0	0000	cards		length
IEAVTSDT	0	0000	cards		length
IEAVTSDU	0	0000	identical		mixed
IEAVTSDW	0	0000	identical		length
IEAVTSDX	8	0008	cards		length
IEAVTSIG	0	0000	identical		identical
IEAVTSKT	0	0000	identical		length
IEAVTSL1	0	0000	identical		identical
IEAVTSL2	0	0000	bytes	bytes	text
IEAVTSLB	0	0000	identical		identical
IEAVTSLE	0	0000	identical		identical
IEAVTSLP	0	0000	bytes	bytes	length
IEAVTSLR	0	0000	bytes	bytes	length
IEAVTSLS	0	0000	identical		identical
IEAVTSSD	0	0000	identical		length
IEAVTSSE	0	0000	identical		length
IEAVVCRA	0	0008	identical		text
IEAVVCRX	0	0008	identical		mixed
IEAVVCTR	8	0008	identical		mixed
IEAVVINT	0	0000	bytes	bytes	length
IEAVVRP1	0	0000	identical		length
IEAVVRP2	0	0000	identical		length
IEAVVWTO	0	0000	bytes	bytes	length
IEAVXDOM	0	0000	bytes	bytes	length
IEAXPALL	0	0000	cards		length
IEAXPDXR	0	0000	cards		holes
IEAXPSIM	0	0000	identical		identical
IEBASCAN	0	0000	bytes	bytes	length
IEBBAM	8	0008	identical		text
IEBBSCAN	0	0000	identical		identical|unpaired
IEBCANAL	0	0000	identical		holes
IEBCCS02	0	0000	identical		length
IEBCMAIN	8	0000	cards		length
IEBCNVT	0	0000	identical		identical
IEBCOMPM	0	0000	identical		holes
IEBCONH2	0	0000	identical		identical
IEBCONP2	0	0000	identical		identical
IEBCONZ2	0	0000	identical		identical
IEBCQSAM	0	0000	cards		length
IEBCRANL	0	0000	identical		holes
IEBCREAT	0	0000	identical		length
IEBCROOT	0	0000	identical		holes
IEBCULET	0	0000	identical		holes
IEBDG	0	0000	identical		length
IEBDGCUP	0	0000	identical		length
IEBDGMSG	0	0000	identical		identical
IEBDISKT	0	0000	identical		length
IEBDRB	0	0000	identical		identical
IEBDRD	8	0008	bytes	bytes	length
IEBDSCPY	8	0008	bytes	bytes	length
IEBDSU	0	0000	identical		identical
IEBDV1	8	0000	bytes	bytes	length
IEBDWR	8	0008	bytes	bytes	length
IEBEDIT	8	0000	bytes	bytes	length
IEBEDIT2	0	0000	identical		length
IEBFDANL	0	0000	identical		text
IEBFDTBL	0	0000	identical		mixed
IEBGEN03	0	0000	identical		length
IEBGENR3	8	0000	bytes	bytes	length
IEBGENRT	0	0000	identical		length
IEBGENS3	0	0000	identical		length
IEBGMESG	0	0000	identical		identical
IEBGSCAN	0	0000	identical		length
IEBIMAGE	0	0000	identical		length
IEBIMSGS	0	0000	identical		length
IEBIOE	0	0000	bytes	bytes	length
IEBISAM	0	0000	identical		identical|unpaired
IEBISC	0	0000	identical		length
IEBISCAN	0	0000	identical		length
IEBISF	0	0000	identical		mixed
IEBISL	0	0000	bytes	bytes	length
IEBISMES	0	0000	identical		identical
IEBISPL	0	0000	identical		length
IEBISSI	0	0000	identical		length
IEBISSO	0	0000	identical		length
IEBISU	0	0000	identical		length
IEBLDUL	0	0000	identical		text
IEBLENP2	0	0000	identical		identical
IEBMCM	0	0000	identical		identical
IEBMOVE2	0	0000	identical		identical
IEBPPAL1	8	0000	bytes	bytes	length
IEBPPCH1	8	0000	bytes	bytes	length
IEBPPMSG	0	0000	identical		identical
IEBPPUN1	0	0000	identical		holes
IEBRSAM	0	0000	bytes	bytes	text
IEBSCN	8	0008	identical		length
IEBTCR02	0	0000	identical		holes
IEBTCR03	0	0000	identical		mixed
IEBTCR04	0	0000	bytes	bytes	mixed
IEBTCR05	0	0000	bytes	bytes	length
IEBTCRIN	0	0000	identical		identical
IEBUPDT2	8	0000	bytes	bytes	length
IEBUPDTE	0	0000	identical		length
IEBUPLOG	0	0000	identical		mixed
IEBUPNIT	0	0000	identical		holes
IEBUPXIT	0	0000	identical		identical
IEBVCT	0	0000	identical		identical
IEBVDM	0	0000	identical		length
IEBVMS	0	0000	identical		mixed
IEBVTM	8	0008	bytes	bytes	length
IEBVTT	8	0008	identical		mixed
IEBWSAM	0	0000	identical		text
IEBWSU	8	0008	identical		text
IECBBFB1	0	0000	identical		identical
IECDAFMT	0	0000	bytes	bytes	length
IECDAFT1	0	0000	identical		length
IECIHIO	8	0008	bytes	bytes	text
IECIOFMT	0	0000	bytes	bytes	length
IECIOFT1	0	0000	identical		length
IECIOSAM	8	0012	cards		length
IECLMSGC	0	0000	identical		length
IECLMSGD	0	0000	identical		length
IECLMSGG	0	0000	identical		length
IECLMSGM	0	0000	identical		length
IECLMSGT	0	0000	identical		length
IECLMSGU	0	0000	identical		length
IECQBFG1	0	0000	identical		length
IECTATEN	0	0000	identical		length
IECTATTN	0	0000	identical		identical
IECTCATN	0	0000	identical		text
IECTCHGN	0	0000	identical		identical
IECTEDIT	0	0000	bytes	bytes	mixed
IECTLERP	0	0000	identical		identical
IECTLOPN	0	0000	identical		length
IECTONLT	0	0000	identical		holes
IECTSCAN	0	0000	identical		holes
IECTSVC	0	0000	identical		identical
IECTTRNS	0	0000	identical		text
IECVBRSV	8	0000	cards		length
IECVCINT	0	0000	bytes	bytes	length
IECVCRHH	0	0000	bytes	bytes	length
IECVDAVV	8	0008	cards		length
IECVDDT0	0	0008	identical		mixed
IECVDDT1	8	0012	identical		length
IECVDERP	8	0008	bytes	bytes	length
IECVDURP	0	0000	identical		length
IECVERPL	0	0000	identical		text
IECVESIO	0	0000	bytes	bytes	length
IECVEXCP	8	0008	bytes	bytes	length
IECVEXPR	0	0000	cards		length
IECVGENA	8	0008	bytes	bytes	text
IECVHDET	8	0012	bytes	bytes	length
IECVHIDT	0	0000	identical		length
IECVHREC	8	0000	cards		length
IECVIOPM	0	0000	cards		no-pair
IECVIRST	8	0008	bytes	bytes	text
IECVITRP	0	0000	identical		identical
IECVMAP	8	0012	bytes	bytes	text
IECVOID	0	0008	bytes	bytes	unpaired
IECVOTBL	0	0000	identical		text
IECVPST	0	0000	bytes	bytes	text
IECVPURG	0	0008	identical		text
IECVRDIO	8	0000	bytes	bytes	text
IECVRRSV	8	0000	bytes	bytes	mixed
IECVRSTI	8	0008	bytes	bytes	mixed
IECVSMGR	0	0000	cards		length
IECVTCCW	8	0008	identical		text
IECVURDT	0	0000	bytes	bytes	text
IECVURSV	0	0000	identical		identical
IECVXDAS	8	0008	bytes	bytes	length
IECVXDAT	8	0008	identical		length
IECVXDAU	8	0008	identical		length
IECVXDRS	8	0012	bytes	bytes	length
IECVXDRT	8	0012	bytes	bytes	length
IECVXGRT	8	0008	identical		length
IECVXMGN	8	0012	bytes	bytes	length
IECVXPRE	8	0008	identical		length
IECVXSKE	8	0008	identical		length
IECVXSKN	8	0008	identical		length
IECVXSKS	8	0008	bytes	bytes	length
IECVXT2S	8	0012	bytes	bytes	length
IECVXT3S	8	0008	identical		length
IECVXTAT	8	0008	identical		length
IECVXTPT	8	0012	identical		length
IECVXURS	8	0008	identical		length
IECVXURT	8	0012	bytes	bytes	length
IECVXVRS	8	0012	bytes	bytes	length
IECVXVRT	8	0012	bytes	bytes	length
IECVXVRU	8	0012	bytes	bytes	length
IED1303D	8	0008	identical		length
IEDAY1	0	0000	identical		length
IEDAY2	0	0000	identical		holes
IEDAY3	0	0000	identical		identical
IEDAY8	0	0000	identical		length
IEDAY88	0	0000	identical		length
IEDAYA	8	0008	identical		length
IEDAYAA	0	0000	identical		length
IEDAYAB	8	0008	identical		length
IEDAYBX	8	0008	identical		length
IEDAYC	8	0008	identical		length
IEDAYD	8	0008	identical		length
IEDAYE	8	0008	bytes	bytes	length
IEDAYF	8	0008	identical		length
IEDAYGP	0	0000	identical		length
IEDAYH	8	0008	bytes	bytes	length
IEDAYHH	0	0000	identical		length
IEDAYI	8	0008	identical		length
IEDAYII	0	0000	identical		length
IEDAYJ	8	0008	bytes	bytes	length
IEDAYL	8	0008	identical		length
IEDAYLL	0	0000	identical		identical
IEDAYM	8	0008	identical		length
IEDAYN	8	0008	identical		length
IEDAYO	8	0008	bytes	bytes	length
IEDAYOO	0	0000	bytes	bytes	length
IEDAYP	8	0008	identical		length
IEDAYQ	8	0008	bytes	bytes	length
IEDAYQT	0	0000	identical		length
IEDAYS	8	0008	bytes	bytes	length
IEDAYT	8	0008	identical		text
IEDAYV	8	0008	identical		length
IEDAYW	8	0008	identical		length
IEDAYX	8	0008	identical		length
IEDAYY	8	0008	identical		length
IEDAYZ	8	0008	bytes	bytes	length
IEDAYZZ	8	0012	identical		text
IEDBITN	0	0000	cards		length
IEDBSM	8	0008	identical		length
IEDCMIN	8	0008	identical		length
IEDCMOUT	8	0008	identical		text
IEDCSA	8	0008	cards		length
IEDCSCIN	8	0008	identical		mixed
IEDDFOUT	8	0008	identical		length
IEDDVAS	8	0008	identical		length
IEDFSSTB	0	0000	identical		identical
IEDIAA	8	0008	identical		length
IEDIAB	8	0008	identical		length
IEDIAH	8	0008	identical		length
IEDIAM	8	0008	identical		length
IEDIAP	8	0008	identical		length
IEDIAQ	8	0008	identical		length
IEDIAR	8	0008	identical		length
IEDIAS	8	0008	identical		mixed
IEDIAU	0	0000	identical		identical
IEDKHISC	8	0008	identical		length
IEDLUS	8	0008	bytes	bytes	length
IEDMVBFR	8	0008	identical		length
IEDN25	0	0000	identical		identical
IEDNCU	8	0008	identical		mixed
IEDNCU2	8	0008	identical		length
IEDNGD	8	0008	identical		length
IEDNID	8	0008	identical		length
IEDNKA	8	0008	identical		length
IEDNLT	8	0008	identical		length
IEDNMG	0	0000	identical		identical
IEDNSL	8	0008	bytes	bytes	length
IEDNTR	8	0008	identical		length
IEDOPTN	8	0008	identical		length
IEDPCIN	8	0008	identical		length
IEDPCOUT	8	0008	identical		length
IEDPMD	8	0008	bytes	bytes	length
IEDQ10	0	0000	identical		identical
IEDQ11	0	0000	identical		identical
IEDQ12	0	0000	identical		identical
IEDQ13	0	0000	identical		identical
IEDQ14	0	0000	identical		identical
IEDQ16	0	0000	identical		identical
IEDQ17	0	0000	identical		identical
IEDQ18	0	0000	identical		identical
IEDQ19	0	0000	identical		identical
IEDQ20	0	0000	identical		identical
IEDQ21	0	0000	identical		identical
IEDQ22	0	0000	identical		identical
IEDQ23	0	0000	identical		identical
IEDQ24	0	0000	identical		identical
IEDQ25	0	0000	identical		identical
IEDQ26	0	0000	identical		identical
IEDQ27	0	0000	identical		identical
IEDQ28	0	0000	identical		identical
IEDQA0	8	0008	identical		length
IEDQA1	8	0008	identical		length
IEDQA2	8	0008	identical		length
IEDQA3	8	0008	identical		length
IEDQA4	8	0008	bytes	bytes	length
IEDQA5	8	0008	identical		length
IEDQA6	8	0008	identical		length
IEDQA7	0	0000	identical		identical
IEDQA8	8	0008	identical		length
IEDQA9	0	0000	identical		identical
IEDQAA	8	0008	bytes	bytes	length
IEDQAB	8	0008	identical		length
IEDQAC	8	0008	identical		length
IEDQAD	8	0008	identical		length
IEDQAE	8	0008	identical		length
IEDQAF	8	0008	identical		length
IEDQAG	8	0008	identical		length
IEDQAH	8	0008	identical		length
IEDQAI	8	0008	identical		length
IEDQAJ	8	0008	identical		length
IEDQAK	8	0008	bytes	bytes	length
IEDQAL	8	0008	identical		length
IEDQAM	8	0008	identical		length
IEDQAN	8	0008	identical		length
IEDQAO	8	0008	identical		length
IEDQAP	8	0008	identical		length
IEDQAQ	8	0008	identical		length
IEDQAR	8	0008	identical		length
IEDQAS	8	0008	bytes	bytes	length
IEDQAT	8	0008	identical		length
IEDQATTN	8	0008	identical		length
IEDQAU	8	0008	identical		mixed
IEDQAV	8	0008	bytes	bytes	length
IEDQAW	8	0008	identical		length
IEDQAX	8	0008	bytes	bytes	length
IEDQAY	8	0008	identical		length
IEDQAZ	8	0008	identical		length
IEDQB1	8	0008	identical		length
IEDQB2	8	0008	identical		text
IEDQB3	8	0008	identical		length
IEDQB4	8	0008	identical		length
IEDQB7	8	0008	identical		length
IEDQBA	0	0000	identical		length
IEDQBB	0	0000	identical		identical
IEDQBC	0	0000	identical		length
IEDQBD	8	0008	identical		length
IEDQBE	8	0008	bytes	bytes	length
IEDQBF	8	0008	identical		length
IEDQBG	8	0008	identical		length
IEDQBH	8	0008	identical		length
IEDQBI	8	0008	identical		length
IEDQBJ	8	0008	identical		length
IEDQBL	8	0008	bytes	bytes	length
IEDQBM	8	0008	identical		length
IEDQBN	8	0008	identical		length
IEDQBO	8	0008	identical		length
IEDQBP	8	0008	identical		length
IEDQBQ	8	0008	identical		mixed
IEDQBR	8	0008	identical		length
IEDQBS	8	0008	identical		length
IEDQBT	8	0008	identical		length
IEDQBU	8	0008	identical		length
IEDQBUFF	8	0008	identical		length
IEDQBV	8	0008	cards		length
IEDQBX	8	0008	identical		length
IEDQBY	8	0008	identical		length
IEDQBZ	8	0008	identical		length
IEDQCA	8	0008	bytes	bytes	length
IEDQDA	8	0008	identical		length
IEDQE1	8	0008	identical		length
IEDQE2	8	0008	identical		length
IEDQE3	8	0008	identical		text
IEDQE4	8	0008	identical		text
IEDQE6	8	0008	identical		length
IEDQE8	8	0008	identical		length
IEDQEB	8	0008	identical		length
IEDQEC	8	0008	bytes	bytes	length
IEDQES	8	0008	bytes	bytes	length
IEDQET	8	0008	identical		text
IEDQEU	8	0008	bytes	bytes	length
IEDQEW	8	0008	bytes	bytes	length
IEDQFA	8	0008	bytes	bytes	length
IEDQFA1	8	0008	bytes	bytes	length
IEDQFA2	8	0008	bytes	bytes	length
IEDQFE	0	0000	identical		identical
IEDQFE10	8	0008	identical		length
IEDQFE20	8	0008	cards		length
IEDQFE30	8	0008	identical		length
IEDQFM	8	0008	identical		length
IEDQFSC	8	0008	identical		length
IEDQFW	8	0008	cards		length
IEDQGA	8	0008	bytes	bytes	length
IEDQGH	8	0008	identical		text
IEDQGP	8	0008	identical		length
IEDQGQ	8	0008	bytes	bytes	length
IEDQGR	8	0008	identical		mixed
IEDQGT	8	0008	bytes	bytes	length
IEDQHG	8	0008	bytes	bytes	text
IEDQHI	8	0008	identical		length
IEDQHK	8	0008	bytes	bytes	length
IEDQHM	8	0008	bytes	bytes	length
IEDQHM1	8	0008	bytes	bytes	length
IEDQHM2	8	0008	bytes	bytes	length
IEDQIN	8	0008	identical		length
IEDQKA	8	0008	bytes	bytes	length
IEDQKB	8	0008	identical		length
IEDQKC	8	0008	bytes	bytes	length
IEDQKD	8	0008	identical		length
IEDQKE	8	0008	identical		length
IEDQNA	0	0000	identical		identical
IEDQNA2	8	0008	identical		mixed
IEDQNB	8	0008	identical		mixed
IEDQND	8	0008	bytes	bytes	length
IEDQNF	8	0008	identical		length
IEDQNG	0	0000	identical		length
IEDQNH	0	0000	identical		length
IEDQNJ	8	0008	identical		length
IEDQNK	8	0008	identical		length
IEDQNM	8	0008	bytes	bytes	length
IEDQNO	8	0008	identical		length
IEDQNP	0	0000	identical		identical
IEDQNQ	8	0008	identical		length
IEDQNR	0	0000	identical		identical
IEDQNS	8	0008	identical		length
IEDQNT	8	0008	identical		length
IEDQNU	8	0008	identical		mixed
IEDQNV	8	0008	identical		length
IEDQNW	8	0008	identical		mixed
IEDQNX	8	0008	identical		length
IEDQOA	8	0008	cards		length
IEDQOB	8	0008	cards		length
IEDQOT01	8	0008	identical		length
IEDQRS	8	0008	identical		length
IEDQSBT	8	0008	identical		length
IEDQTL	8	0008	identical		length
IEDQUI	8	0008	identical		length
IEDQW25	8	0008	bytes	bytes	length
IEDQW33	8	0008	bytes	bytes	mixed
IEDQW42	8	0008	identical		length
IEDQW44	8	0008	identical		length
IEDQW47	8	0008	identical		length
IEDQWA	8	0008	identical		length
IEDQWA1	8	0008	identical		mixed
IEDQWAA	8	0008	identical		length
IEDQWAB	8	0008	identical		length
IEDQWAC	8	0008	identical		text
IEDQWAJ	8	0008	identical		length
IEDQWB	8	0008	bytes	bytes	mixed
IEDQWB1	8	0008	identical		mixed
IEDQWB2	8	0008	identical		length
IEDQWC	8	0008	identical		length
IEDQWC1	8	0008	bytes	bytes	mixed
IEDQWC2	8	0008	identical		length
IEDQWD	8	0008	bytes	bytes	mixed
IEDQWE	8	0008	bytes	bytes	length
IEDQWE2	8	0008	bytes	bytes	length
IEDQWEC	8	0008	identical		length
IEDQWF	8	0008	identical		length
IEDQWF1	8	0008	bytes	bytes	mixed
IEDQWH	8	0008	bytes	bytes	mixed
IEDQWI	8	0008	identical		length
IEDQWI5U	8	0008	identical		length
IEDQWI7	8	0008	identical		length
IEDQWI8	8	0008	identical		length
IEDQWI9	8	0008	bytes	bytes	length
IEDQWIA	8	0008	identical		length
IEDQWID	8	0008	identical		mixed
IEDQWIE	8	0008	bytes	bytes	length
IEDQWJ	8	0008	bytes	bytes	mixed
IEDQWJ1	8	0008	cards		length
IEDQWJ2	8	0008	identical		mixed
IEDQWK	8	0008	identical		length
IEDQWL	8	0008	identical		length
IEDQWL1	8	0008	identical		length
IEDQWL2	8	0008	identical		length
IEDQWL3	8	0008	identical		length
IEDQWM2	8	0008	identical		length
IEDQWN	8	0008	cards		length
IEDQWO	8	0008	bytes	bytes	length
IEDQWP	8	0008	bytes	bytes	mixed
IEDQWP1	8	0008	bytes	bytes	length
IEDQWP2	8	0008	bytes	bytes	length
IEDQWQ	8	0008	identical		length
IEDQWR	8	0008	identical		length
IEDQWS	8	0008	identical		length
IEDQWX	8	0008	identical		length
IEDQWY	8	0008	identical		text
IEDQXA	8	0008	identical		text
IEDQXB	8	0008	cards		length
IEDQXC	8	0008	bytes	bytes	length
IEDRQIN	8	0008	identical		mixed
IEDRSPIN	8	0008	identical		length
IEDSAC	8	0008	identical		length
IEDSAI	8	0008	identical		length
IEDSAO	8	0008	identical		length
IEDSARI	8	0008	identical		length
IEDSCLU	8	0008	identical		length
IEDSCPDS	8	0008	identical		length
IEDSCPRP	8	0008	identical		mixed
IEDSCPRQ	8	0008	identical		length
IEDSCPSS	8	0008	identical		length
IEDSNS	8	0008	identical		length
IEDTEDIT	0	0000	bytes	bytes	mixed
IEDUNBND	8	0008	identical		length
IEDUSSTB	0	0000	identical		identical
IEDXFMI	8	0008	identical		length
IEDXFMO	8	0008	identical		mixed
IEDXTREQ	8	0008	identical		length
IEE0003D	0	0000	identical		length
IEE00110	0	0000	identical		holes
IEE0303D	0	0000	bytes	bytes	length
IEE0403D	0	0000	identical		length
IEE0503D	0	0000	cards		length
IEE0603D	0	0008	bytes	bytes	length
IEE0703D	0	0000	cards		length
IEE0803D	0	0000	cards		length
IEE10110	0	0000	identical		length
IEE11110	0	0000	identical		holes
IEE12110	0	0000	identical		holes
IEE1403D	0	0000	bytes	bytes	length
IEE1603D	0	0000	bytes	bytes	length
IEE20110	0	0000	identical		length
IEE21110	0	0000	identical		text
IEE22110	0	0000	identical		identical
IEE2303D	0	0000	identical		length
IEE23110	0	0000	identical		length
IEE2903D	0	0000	identical		length
IEE3103D	0	0000	bytes	bytes	length
IEE3203D	0	0000	identical		text
IEE3303D	0	0000	bytes	bytes	length
IEE3503D	0	0008	identical		length
IEE3603D	0	0000	bytes	bytes	length
IEE3703D	0	0000	cards		length
IEE40110	0	0000	identical		length
IEE4103D	0	0000	identical		length
IEE4203D	0	0000	bytes	bytes	length
IEE4303D	0	0000	identical		length
IEE4403D	0	0000	cards		length
IEE4603D	0	0000	cards		length
IEE4703D	0	0000	identical		mixed
IEE4803D	0	0000	bytes	bytes	length
IEE4903D	0	0000	cards		length
IEE5103D	0	0000	cards		length
IEE5403D	0	0000	bytes	bytes	length
IEE5503D	0	0000	identical		text
IEE5603D	0	0000	identical		length
IEE5703D	0	0000	identical		length
IEE5903D	0	0000	identical		length
IEE6303D	0	0000	identical		text
IEE6403D	0	0000	identical		text
IEE6503D	0	0000	identical		mixed
IEE6603D	0	0000	identical		mixed
IEE6703D	0	0000	identical		length
IEE6803D	0	0000	identical		length
IEE6903D	0	0000	identical		length
IEE70110	0	0000	bytes	bytes	length
IEE7103D	0	0000	identical		text
IEE7203D	0	0000	identical		length
IEE7303D	0	0000	bytes	bytes	length
IEE7503D	0	0000	identical		length
IEE7703D	0	0000	identical		length
IEE7803D	0	0000	bytes	bytes	length
IEE8603D	0	0000	cards		length
IEE8B03D	0	0000	identical		length
IEE90110	0	0000	identical		length
IEE9403D	0	0000	identical		identical
IEEAB400	0	0000	identical		length
IEEAB401	0	0000	identical		length
IEEBASEC	0	0000	identical		identical
IEEC2740	8	0000	cards		length
IEECB800	8	0000	cards		length
IEECB801	0	0000	identical		text
IEECB806	0	0000	identical		identical
IEECB860	0	0000	identical		length
IEECB866	0	0000	identical		length
IEECB900	0	0000	identical		holes
IEECB901	0	0000	identical		holes
IEECB904	0	0000	identical		length
IEECB905	0	0000	bytes	bytes	length
IEECB906	0	0000	identical		length
IEECB907	0	0000	bytes	bytes	length
IEECB908	0	0000	identical		length
IEECB909	0	0000	bytes	bytes	length
IEECB910	0	0000	bytes	bytes	text
IEECB911	0	0000	identical		text
IEECB912	0	0000	identical		length
IEECB914	0	0004	identical		identical
IEECB915	0	0000	identical		identical
IEECLEAN	0	0000	cards		length
IEECVET1	8	0008	bytes	bytes	length
IEECVET2	0	0000	identical		length
IEECVET3	0	0000	identical		length
IEECVET4	8	0000	bytes	bytes	length
IEECVET6	0	0000	identical		length
IEECVET7	0	0000	identical		text
IEECVET8	0	0000	identical		length
IEECVET9	0	0000	identical		length
IEECVETA	0	0000	identical		length
IEECVETC	8	0008	identical		length
IEECVETD	0	0000	identical		identical
IEECVETE	0	0000	identical		length
IEECVETF	0	0000	identical		identical
IEECVETG	8	0008	bytes	bytes	length
IEECVETH	8	0000	identical		identical
IEECVETJ	0	0000	identical		length
IEECVETK	0	0000	identical		length
IEECVETP	8	0000	identical		identical
IEECVETQ	8	0000	identical		holes
IEECVETR	8	0000	identical		identical
IEECVETU	8	0000	bytes	bytes	text
IEECVETV	8	0000	identical		length
IEECVETW	0	0000	identical		length
IEECVFT1	0	0000	identical		holes
IEECVFT2	0	0000	identical		length
IEECVFTA	0	0000	identical		identical
IEECVFTB	0	0000	bytes	bytes	length
IEECVFTD	0	0000	identical		identical
IEECVFTG	0	0000	identical		length
IEECVFTL	0	0000	identical		length
IEECVFTM	8	0000	identical		length
IEECVFTN	0	0000	identical		length
IEECVFTO	8	0000	identical		length
IEECVFTP	0	0000	identical		length
IEECVFTQ	8	0000	identical		length
IEECVFTR	8	0000	bytes	bytes	text
IEECVFTT	0	0000	identical		text
IEECVGCI	0	0000	identical		length
IEECVXIT	0	0000	identical		identical
IEEDISPD	0	0000	cards		no-pair
IEEMB803	0	0000	identical		length
IEEMB804	0	0000	bytes	bytes	length
IEEMB805	0	0000	identical		length
IEEMB806	0	0000	identical		length
IEEMB807	0	0000	identical		holes
IEEMB808	0	0000	identical		identical
IEEMB809	0	0004	identical		identical
IEEMB810	0	0000	cards		length
IEEMB811	0	0000	identical		length
IEEMB812	0	0000	cards		length
IEEMB813	0	0000	identical		length
IEEMB814	0	0000	identical		length
IEEMB815	0	0000	identical		identical
IEEMB816	0	0000	identical		identical
IEEMB820	0	0000	identical		length
IEEMB821	0	0000	identical		length
IEEMB822	0	0000	identical		identical
IEEMB823	0	0000	identical		length
IEEMB824	0	0000	identical		holes
IEEMB825	0	0000	bytes	bytes	length
IEEMB826	0	0000	identical		holes
IEEMB827	0	0000	identical		holes
IEEMB828	0	0000	identical		holes
IEEMB829	0	0000	identical		length
IEEMB830	0	0000	identical		length
IEEMB860	0	0000	bytes	bytes	length
IEEMB876	0	0000	identical		text
IEEMB877	0	0000	identical		text
IEEMB878	0	0000	identical		identical
IEEMB879	0	0000	identical		length
IEEMB880	0	0000	identical		identical
IEEMPDEV	0	0000	cards		length
IEEMPDM	8	0008	bytes	bytes	length
IEEMPS03	0	0000	bytes	bytes	length
IEEMPVST	0	0000	cards		length
IEEPALTR	0	0000	identical		length
IEEPRTN2	0	0000	identical		holes
IEEPRWI2	0	0000	identical		length
IEESA03D	0	0000	bytes	bytes	no-pair
IEESB03D	0	0000	identical		no-pair
IEESB601	0	0000	identical		holes
IEESB605	0	0000	identical		length
IEESB606	0	0000	identical		holes
IEESB665	8	0000	cards		length
IEESB670	8	0000	cards		length
IEESC03D	0	0000	bytes	bytes	no-pair
IEESD03D	0	0000	cards		no-pair
IEESE03D	0	0000	cards		no-pair
IEESF03D	0	0000	bytes	bytes	no-pair
IEESG03D	0	0000	bytes	bytes	no-pair
IEESH03D	0	0000	cards		no-pair
IEESI03D	0	0000	cards		no-pair
IEESJ03D	0	0000	identical		no-pair
IEESK03D	0	0000	cards		no-pair
IEESL03D	0	0000	bytes	bytes	no-pair
IEESM03D	0	0000	identical		no-pair
IEESN03D	0	0000	identical		no-pair
IEESO03D	0	0000	identical		no-pair
IEESP03D	0	0000	identical		no-pair
IEESQ03D	0	0000	bytes	bytes	no-pair
IEESR03D	0	0000	cards		no-pair
