module	before	after
IEAXPALL	cards	bytes
IEAXPDXR	cards	bytes
IERABW	bytes	identical
IERAOL	bytes	identical
IERAOM	bytes	identical
IFFAJA02	bytes	identical
IKJEBESA	bytes	cards
IRARMEVT	cards	identical
ISTRAMA3	bytes	identical
ISTRAMA4	bytes	identical
