module	before	after
BNGIRMOT	bytes	identical
IAPBLDIO	cards	identical
IAPCHKIO	cards	bytes
IEAVECH0	bytes	identical
IEAVESVC	bytes	identical
IEBBAM	cards	identical
IEBCNVT	bytes	identical
IEBDRB	cards	identical
IEBDRD	cards	bytes
IEBDSCPY	cards	bytes
IEBDSU	cards	identical
IEBDV1	cards	bytes
IEBDWR	cards	bytes
IEBIOE	cards	bytes
IEBLDUL	cards	identical
IEBMCM	cards	identical
IEBRSAM	cards	bytes
IEBSCN	cards	identical
IEBVCT	cards	identical
IEBVDM	cards	identical
IEBVTM	cards	bytes
IEBVTT	cards	identical
IEBWSAM	cards	identical
IEBWSU	cards	identical
IEDAYM	bytes	identical
IEDAYN	bytes	identical
IEEVIPL	bytes	identical
IGC0003C	cards	bytes
IGC0005C	cards	bytes
IGC0006H	cards	identical
IGC0006I	cards	identical
IGC0008A	cards	identical
IGC0010E	cards	bytes
IGC0206H	cards	identical
IGC0506C	cards	bytes
IGC0G05B	cards	bytes
IGC0G95B	cards	identical
IGC0H05B	cards	identical
IGC0I05B	cards	identical
IGC0I10D	bytes	identical
IGC0L05B	bytes	identical
IGC0M05B	bytes	cards
IGC0N05B	cards	bytes
IGC0N06C	cards	identical
IGC0P05B	cards	identical
IGC0Q05B	cards	identical
IGC0R05B	cards	bytes
IGC0S05B	cards	bytes
IGC0T05B	cards	identical
IGC0U05B	cards	bytes
IGC0W05B	cards	identical
IGCM610D	bytes	identical
IGFINTVL	bytes	identical
IGG0191L	cards	bytes
IGG0191M	cards	bytes
IGG01928	bytes	identical
IGG0192A	cards	identical
IGG0192G	cards	identical
IGG0192H	bytes	identical
IGG0192K	bytes	identical
IGG0192N	bytes	identical
IGG0192Q	bytes	identical
IGG0192R	bytes	identical
IGG0192S	bytes	identical
IGG0192T	bytes	identical
IGG0192U	bytes	identical
IGG0192V	bytes	identical
IGG0192W	bytes	identical
IGG01937	bytes	identical
IGG0193A	cards	bytes
IGG0193Y	cards	identical
IGG01942	bytes	identical
IGG01948	bytes	identical
IGG01950	cards	identical
IGG0195T	bytes	identical
IGG0196R	cards	bytes
IGG0198D	bytes	identical
IGG0198E	bytes	identical
IGG0199L	cards	identical
IGG019C8	cards	identical
IGG019FT	cards	identical
IGG019G0	cards	identical
IGG019G1	cards	identical
IGG019G2	cards	bytes
IGG019G3	cards	bytes
IGG019G4	cards	identical
IGG019G5	cards	identical
IGG019G6	cards	bytes
IGG019G8	cards	bytes
IGG019G9	cards	bytes
IGG019GA	cards	identical
IGG019GB	cards	bytes
IGG019GC	cards	bytes
IGG019GD	cards	bytes
IGG019GG	cards	bytes
IGG019GN	cards	identical
IGG019GO	cards	bytes
IGG019GW	cards	bytes
IGG019GZ	cards	bytes
IGG019H3	cards	identical
IGG019HB	cards	identical
IGG019HD	cards	identical
IGG019HG	cards	identical
IGG019HN	cards	identical
IGG019I1	cards	identical
IGG019I2	cards	identical
IGG019I9	cards	bytes
IGG019IA	cards	identical
IGG019IB	cards	bytes
IGG019IN	cards	bytes
IGG019IO	cards	bytes
IGG019IZ	cards	bytes
IGG019J0	cards	identical
IGG019J3	cards	identical
IGG019JG	bytes	identical
IGG019JH	cards	bytes
IGG019KA	cards	bytes
IGG019KG	bytes	identical
IGG019KH	bytes	identical
IGG019KJ	cards	identical
IGG019KN	cards	identical
IGG019V5	cards	bytes
IGG019V6	cards	bytes
IGG02028	cards	identical
IGG02029	cards	bytes
IGG0202A	cards	identical
IGG0202J	cards	identical
IGG0202M	cards	identical
IGG02041	bytes	identical
IHJACP00	cards	bytes
IHJACP01	cards	bytes
IHJACP02	cards	bytes
IHJACP20	cards	bytes
IHJACP25	cards	bytes
IHJACP50	cards	bytes
IHJARS00	cards	bytes
ISTOCCCA	cards	identical
ISTOCCOA	cards	bytes
