module	section	len_ifox	len_as370	first_diff	diff_bytes	kind
IKJEBESU	IKJEBESU	1868	1868	0x00141	6	text
IKJEBESU	IKJEBSU0	2137	2077	0x00750	110	length
IKJEBETA	IKJEBETA	1364	1364	0x00026	27	text
IKJEBETA	IKJEBTA0	1475	1469	0x00559	45	length
IKJEBETO	IKJEBETO	232	232	0x00026	18	text
IKJEBEUI	IKJEBEUI	2104	2104	0x00026	15	text
IKJEBEUN	IKJEBEUN	1120	1120	0x000d9	21	text
IKJEBEUP	IKJEBEUP	864	864	0x00026	36	text
IKJEBEUP	IKJEBUP0	909	900	0x00361	20	length
IKJEBEUT	IKJEBEUT	592	592	0x00026	15	text
IKJEBEVE	IKJEBEVE	348	348	0x00026	15	text
IKJEES11	SENDPCL	2164	2139	0x00651	286	length
IKJEES75	IKJEES75	1602	1602	0x0051d	2	text
IKJEFA10	IKJEFA10	2982	2982	0x00a71	3	text
IKJEFA10	PCLMODEL	4196	4065	0x00ba9	598	length
IKJEFA24	IKJEFA24	1224	1224	0x0046a	6	text
IKJEFA24	PCLMODEL	2422	2277	0x004c9	642	length
IKJEFA30	IKJEFA30	3870	3870	0x00d53	2	text
IKJEFA30	PCLMODEL	4176	4116	0x00f20	118	length
IKJEFA55	IKJEFA55	2725	2725	0x009f3	8	text
IKJEFA55	NODEPARS	2960	2886	0x00aa9	139	length
IKJEFA55	PASSPARS	3052	2963	0x00b71	18	length
IKJEFA55	PROCPAR1	3106	3003	0x00b99	17	length
IKJEFA55	PROCPAR2	3162	3043	0x00bc1	18	length
IKJEFA55	USIDPARS	3003	2924	0x00b49	19	length
IKJEFATT	IKJEFAT1	5644	5460	0x00e88	1532	length
IKJEFD20	IKJEFD20	3976	3976	0x00cdf	1	text
IKJEFD20	IKJEFD21	4596	4538	0x00f89	274	length
IKJEFD20	IKJEFD22	4669	4613	0x011c1	60	length
IKJEFD31	IKJEFD31	1385	1533	0x000d5	1004	length
IKJEFD37	IKJEFD37	3328	3328	0x001b2	16	text
IKJEFD37	IKJEFD3A	5443	5219	0x01421	57	length
IKJEFD37	IKJEFD3B	5942	5608	0x01579	91	length
IKJEFD37	IKJEFD3C	5617	5352	0x01469	108	length
IKJEFD37	IKJEFD3D	6047	5694	0x015e9	72	length
IKJEFD37	IKJEFD3E	6320	5920	0x01701	23	length
IKJEFD37	IKJEFD3F	6192	5806	0x01641	90	length
IKJEFD37	IKJEFD3X	6279	5884	0x016b1	50	length
IKJEFD37	IKJEFD3Y	5795	5494	0x014e9	112	length
IKJEFD37	IKJEFD3Z	5374	5147	0x00d01	1133	length
IKJEFE11	IKJPARSE	1867	1853	0x00639	201	length
IKJEFF02	IKJEFF2M	5070	5113	0x01368	4	length
IKJEFF18	TSMSGS	11496	11567	0x013ed	5906	length
IKJEFF49	IKJEFF4A	1220	1109	0x00390	63	length
IKJEFF49	IKJEFF4B	1593	1481	0x00458	347	length
IKJEFF50	IKJEFF5A	1385	1286	0x00468	23	length
IKJEFG00	IKJEFG03	3337	3327	0x00cb9	55	length
IKJEFH01	HELPPCL	3595	3550	0x00d29	154	length
IKJEFLE	IKJEFLE	9990	10015	0x0002f	5810	length
IKJEFLEA	IKJEFLE1	4358	4299	0x00f31	187	length
IKJEFLEA	IKJEFLE2	4397	4341	0x010d1	26	length
IKJEFLEA	IKJEFLE3	4473	4410	0x010f9	54	length
IKJEFLEA	IKJEFLE4	4501	4437	0x01141	14	length
IKJEFLI	IKJEFLI	4727	4752	0x00022	1384	length
IKJEFLI	IKJEFLIM	4798	4822	0x01279	49	length
IKJEFLK	IKJEFLK	888	904	0x00021	228	length
IKJEFR00	IKJEFR00	7248	7248	0x01c4b	2	text
IKJEFR00	IKJEFR01	7817	7803	0x01c51	38	length
IKJEFR00	IKJEFR02	7918	7895	0x01e81	80	length
IKJEFR00	IKJEFR03	7974	7950	0x01ed9	46	length
IKJEFT02	IKJEFT02	5316	5300	0x00023	1592	length
IKJEFT02	IKJEFTA2	5334	5310	0x014b8	4	length
IKJEFT02	IKJEFTB2	5326	5310	0x014b8	5	length
IKJEFT08	IKJEFG03	3857	3847	0x00ec1	55	length
IKJEFT25	IKJEFT25	1888	1888	0x00023	1467	text
IKJEFT80	TERMPCL	7439	7369	0x01879	774	length
IKJEFT80	TERMPCL2	7561	7497	0x01cd1	109	length
IKJEFT82	PARSEPLS	4586	4570	0x01021	109	length
IKJEFXSR	IKJEFXSR	1496	1496	0x00294	8	text
IKJEGAT	IKJEGAPL	3950	3944	0x00eb9	18	length
IKJEGAT	IKJEGAT	3762	3762	0x00026	89	text
IKJEGAT	IKJEGCD3	3964	3956	0x00f68	12	length
IKJEGATD	IKJEGATD	822	822	0x00032	50	text
IKJEGCPY	IKJEGPRM	2237	2232	0x00839	17	length
IKJEGEQU	IKJEGPAR	2972	2944	0x00a81	217	length
IKJEGEQU	IKJEGPRS	3010	2973	0x00b81	21	length
IKJEGLDF	IKJEGDLT	4485	4466	0x01151	25	length
IKJEGLDF	IKJEGFRL	4312	4302	0x01071	72	length
IKJEGLDF	IKJEGGTM	4448	4425	0x010d1	109	length
IKJEGLDF	IKJEGLDF	4201	4201	0x00170	57	text
IKJEGLDF	IKJEGLDP	4544	4528	0x01179	49	length
IKJEGLST	IKJEGPMA	4165	4142	0x00f19	86	length
IKJEGMNL	IKJEGMNL	4662	4658	0x00095	3374	length
IKJEGMNL	IKJEGSCD	5414	5070	0x01248	376	length
IKJEGMNL	IKJEGSCU	5417	5073	0x013d0	1	length
IKJEHDS1	CIROUTN	5036	4940	0x01260	222	length
IKJEHDS1	IKJEHBSC	5540	5404	0x01328	466	length
IKJEHDS1	IKJEHDS2	9780	9468	0x024a0	83	length
IKJEHDS1	IKJEHDSM	11916	11508	0x024a1	1855	length
IKJEHDS1	IKJEHHIS	7492	7356	0x01928	845	length
IKJEHDS1	IKJEHLBL	6576	6440	0x01520	999	length
IKJEHDS1	IKJEHMBR	9524	9212	0x02038	920	length
IKJEHDS1	IKJEHPRM	9684	9372	0x02401	114	length
IKJEHDS1	IKJEHSTA	8560	8424	0x01e80	594	length
IKJEHDS1	IKJEHVSM	7934	7798	0x01cc0	414	length
IKJEHPRO	IKJEHMSG	4626	4586	0x00d48	1099	length
IKJEHPRO	IKJEHPCD	3330	3295	0x00a69	406	length
IKJEHPRO	IKJEHPWP	3440	3393	0x00ce1	87	length
IKJEHREN	IKJEHMSG	9035	8939	0x01678	2979	length
IKJEHREN	IKJEHPDL	5841	5745	0x015e9	118	length
IKJEHREN	IKJEHRN4	5702	5606	0x01430	405	length
IKTMSGS	IKTMSGS	1207	1235	0x0004b	84	length
IKTTOMRT	IKTTOMRT	9608	9616	0x000a9	5586	length
IKTVTGET	IKTVTGET	2516	2532	0x00039	1607	length
IKTVTPUT	IKTVTPUT	1296	1312	0x0003d	956	length
IKTXINIT	IKTXINIT	3040	3040	0x0073e	6	text
IKTXMTPT	IKTXMTPT	964	972	0x0001d	425	length
IRBMFDWP	IRBMFDWP	2216	2248	0x0001f	1593	length
IRBMFIWK	IRBMFIWK	1132	1156	0x0001f	229	length
IRBMFLPV	IRBMFLPP	1416	1444	0x0019b	751	length
IRBMFLPV	IRBMFLPV	228	228	0x00013	59	text
IRBMFMFC	IRBMFMFC	1588	1588	0x00609	1	text
IRBMFTMA	IRBMFTMA	1290	1314	0x0001f	783	length
ISTAPC58	ISTAPC58	752	752	0x00041	442	text
ISTINCDT	ISTINCDT	816	816	0x00007	96	prologue
ISTINCU7	IKJEGAPL	0	2448	0x00000	0	section only on one side
ISTINCU7	IKJEGAT	0	2498	0x00000	0	section only on one side
ISTINCU7	ISTINCU7	210	2269	0x000d2	0	length
ISTNSC00	MSGCSECT	12669	0	0x00000	0	section only on one side
ISTNSC00	NETSOL	8876	5080	0x00000	3159	length
ISTNSC00	RWKAREAS	12240	0	0x00000	0	section only on one side
ISTZGF0A	ISTZGF0A	5085	5085	0x0005a	622	text
