module	before	after
AMAPTFLE	bytes	identical
BLSUPUT	bytes	identical
BNGLOGR2	bytes	identical
HEWLFSCN	bytes	identical
ICFBIF00	bytes	identical
IDA019ST	bytes	identical
IEAVEAT0	bytes	identical
IEAVENQ1	bytes	identical
IEBCMAIN	bytes	identical
IEBGENR3	bytes	identical
IEBPPAL1	bytes	identical
IEBPPCH1	bytes	identical
IEBUPDT2	bytes	identical
IECVDERP	bytes	identical
IEDAYJ	bytes	identical
IEDAYQ	bytes	identical
IEDLUS	bytes	identical
IEDNSL	bytes	identical
IEDQXB	bytes	identical
IEFVEA	bytes	identical
IEHDANAL	bytes	identical
IEHPROG2	bytes	identical
IFCEI145	bytes	identical
IGG019MB	bytes	identical
ISTZGF0A	bytes	identical
