module	before	after
IKTATTN	identical	bytes
IKTCAS55	identical	bytes
IKTCAS56	identical	bytes
IKTEXIT	identical	bytes
IKTIIOM	identical	bytes
IKTIMIDS	identical	bytes
IKTIMLU2	identical	bytes
IKTIOFRR	identical	bytes
IKTIST00	identical	bytes
IKTOMIDS	identical	bytes
IKTOMLU2	identical	bytes
IKTQMIN	identical	bytes
IKTTIMRT	identical	bytes
IKTTOMRT	identical	bytes
IKTVTGET	identical	bytes
IKTVTPUT	identical	bytes
IKTXLOG	identical	bytes
IKTXMTPT	identical	bytes
ILRACT	identical	bytes
ILRCMP	identical	bytes
ILRCMP01	identical	bytes
ILRFRR01	identical	bytes
ILRFRSLT	identical	bytes
ILRGOS	identical	bytes
ILRGOS01	identical	bytes
ILRIOFRR	identical	bytes
ILRJTERM	identical	bytes
ILRMSG00	identical	bytes
ILRPAGCM	identical	bytes
ILRPEX	identical	bytes
ILRPOS	identical	bytes
ILRPTM	identical	bytes
ILRRLG	identical	bytes
ILRSAV	identical	bytes
ILRSRB01	identical	bytes
ILRSRBC	identical	bytes
ILRSRT	identical	bytes
ILRSRT01	identical	bytes
ILRSWAP	identical	bytes
ILRSWP01	identical	bytes
ILRSWPDR	identical	bytes
ILRTERMR	identical	bytes
ILRTMRLG	identical	bytes
ILRVIOCM	identical	bytes
ILRVSAMI	identical	bytes
IRBMFECH	identical	bytes
IRBMFEDV	identical	bytes
IRBMFFUR	identical	bytes
IRBMFTCH	identical	bytes
ISDAAPR0	identical	bytes
ISDAAPR1	identical	bytes
ISDACSB0	identical	bytes
ISDACSB1	identical	bytes
ISDADAT0	identical	bytes
ISDADAT1	identical	bytes
ISDADCK0	identical	bytes
ISDADCK1	identical	bytes
ISDADCS0	identical	bytes
ISDADCS1	identical	bytes
ISDADHE0	identical	bytes
ISDADHE1	identical	bytes
ISDADRC0	identical	bytes
ISDADRC1	identical	bytes
ISDAEQC0	identical	bytes
ISDAEQC1	identical	bytes
ISDAFSC0	identical	bytes
ISDAFSC1	identical	bytes
ISDAFSC2	identical	bytes
ISDAGEN0	identical	bytes
ISDAHIST	identical	bytes
ISDALOG0	identical	bytes
ISDAPAD0	identical	bytes
ISDAPRT0	identical	bytes
ISDASUM0	identical	bytes
ISDASUM1	identical	bytes
ISDATYPE	identical	bytes
ISTAICIR	identical	bytes
ISTAICPT	identical	bytes
ISTAICTN	identical	bytes
ISTAPC22	identical	bytes
ISTAPC23	identical	bytes
ISTAPC62	identical	bytes
ISTAPC63	identical	bytes
ISTAPC66	identical	bytes
ISTAPC84	identical	bytes
ISTAPM69	identical	bytes
ISTCFCDP	identical	bytes
ISTCFMMI	identical	bytes
ISTCFMTM	identical	bytes
ISTINCDL	identical	bytes
ISTINCSH	identical	bytes
ISTINFXI	identical	bytes
ISTINMN8	identical	bytes
ISTORFSR	identical	bytes
ISTORMRL	identical	bytes
ISTRAMA3	identical	bytes
ISTRCC21	identical	bytes
ISTRCC22	identical	bytes
ISTRCC23	identical	bytes
ISTRCC26	identical	bytes
ISTRCC30	identical	bytes
ISTRCC51	identical	bytes
ISTRCC52	identical	bytes
ISTRCC53	identical	bytes
ISTRCC54	identical	bytes
ISTRCC63	identical	bytes
ISTRCC65	identical	bytes
ISTRCC80	identical	bytes
ISTRCC81	identical	bytes
ISTRCFY0	identical	bytes
ISTSEC01	identical	bytes
ISTSEC10	identical	bytes
ISTSEC21	identical	bytes
ISTSEC30	identical	bytes
ISTSEC40	identical	bytes
ISTSEC51	identical	bytes
ISTSQC07	identical	bytes
ISTZIFSC	identical	bytes
ISTZRM01	identical	bytes
