module	entries	differing	last_entry_only	ifox_flag	as370_flag	xor
IGG0196B	6	1	yes	0x18	0x1c	0x04
IGG0196I	1	1	yes	0x18	0x1c	0x04
IGG0196K	2	1	yes	0x18	0x1c	0x04
IGG0196L	2	1	yes	0x18	0x1c	0x04
IGG0196P	2	1	yes	0x18	0x1c	0x04
IGG0197E	1	1	yes	0x18	0x1c	0x04
IGG0197F	5	1	yes	0x18	0x1c	0x04
IGG0197U	6	1	yes	0x18	0x1c	0x04
IGG01991	1	1	yes	0x18	0x1c	0x04
IGG01992	1	1	yes	0x18	0x1c	0x04
IGG01993	1	1	yes	0x18	0x1c	0x04
IGG01994	1	1	yes	0x18	0x1c	0x04
IGG0199K	3	1	yes	0x18	0x1c	0x04
IGG0199O	3	1	yes	0x18	0x1c	0x04
IGG019MC	1	1	yes	0x08	0x0c	0x04
IGG019TI	1	1	yes	0x08	0x0c	0x04
IGG019V6	1	1	yes	0x08	0x0c	0x04
IGG0201A	3	1	yes	0x18	0x1c	0x04
IGG0201B	3	1	yes	0x18	0x1c	0x04
IGG0201Z	3	1	yes	0x18	0x1c	0x04
IGG020D0	2	1	yes	0x18	0x1c	0x04
IGG020D1	1	1	yes	0x18	0x1c	0x04
IGG020P2	2	1	yes	0x18	0x1c	0x04
IGG0290B	2	1	yes	0x18	0x1c	0x04
IGG0290C	1	1	yes	0x18	0x1c	0x04
IGG0299A	2	1	yes	0x18	0x1c	0x04
IGG0325A	4	1	yes	0x18	0x1c	0x04
IGG0325B	5	1	yes	0x18	0x1c	0x04
IGG0325C	2	1	yes	0x18	0x1c	0x04
IGG0325D	2	1	yes	0x18	0x1c	0x04
IGG0325E	2	1	yes	0x18	0x1c	0x04
IGG0325K	3	1	yes	0x18	0x1c	0x04
IGG0325P	3	1	yes	0x18	0x1c	0x04
IGG0325Q	3	1	yes	0x18	0x1c	0x04
IGG0325R	3	1	yes	0x18	0x1c	0x04
IGG0325W	2	1	yes	0x18	0x1c	0x04
IGG032I1	2	1	yes	0x18	0x1c	0x04
IGG032I2	2	1	yes	0x18	0x1c	0x04
IGG032I3	4	1	yes	0x18	0x1c	0x04
IGG032I4	2	1	yes	0x18	0x1c	0x04
IGG032I5	2	1	yes	0x18	0x1c	0x04
IGG0553B	2	1	yes	0x18	0x1c	0x04
IGG0553C	2	1	yes	0x18	0x1c	0x04
IGG0553F	3	1	yes	0x18	0x1c	0x04
IGG0553G	2	1	yes	0x18	0x1c	0x04
IKJCT430	15	1	yes	0x1c	0x1c	0x00
IKJCT431	21	1	no	0x08	0x0c	0x04
IKJCT463	11	2	no	0x1c	0x1c	0x00
IKJCT467	78	1	no	0x1c	0x1c	0x00
IKJEFF19	30	1	yes	0x1c	0x1c	0x00
IKJEGDEB	24	1	yes	0x08	0x0c	0x04
IKJEGLSA	8	1	yes	0x08	0x0c	0x04
IKJEGPSW	9	1	yes	0x08	0x0c	0x04
IKJEGQFY	13	2	no	0x1c	0x1c	0x00
IKJEGTCB	11	2	no	0x1c	0x1c	0x00
IKJEGWHR	13	2	no	0x08	0x0c	0x04
IKJRBBU0	14	1	no	0x0c	0x08	0x04
