operation	in_our_macro_libraries	modules	module_list
FREETAB	no	6	IFCS0115 IFCS1017 IFCS1018 IFCS33XX IFCS5424 IFCSI115
SPECIAL	no	6	IFCS0115 IFCS1017 IFCS1018 IFCS33XX IFCS5424 IFCSI115
SUMMARY	no	6	IFCS0115 IFCS1017 IFCS1018 IFCS33XX IFCS5424 IFCSI115
DFHPC	no	5	BNGC3270 BNGCDISP BNGCLOCL BNGCMENU BNGCRMOT
DFHTC	no	5	BNGC3270 BNGCDISP BNGCLOCL BNGCMENU BNGCRMOT
DFHSC	no	5	BNGC3270 BNGCDISP BNGCLOCL BNGCMENU BNGCRMOT
SYSRELN	no	5	IFCE1017 IFCE1018 IFCE3401 IFCE5424 IFCET040
SUM	no	5	IFCS0115 IFCS1017 IFCS1018 IFCS5424 IFCSI115
IECDCHT	no	3	IECIOSAM IECVDDT1 IECVXURT
IOSCKVOL	no	3	IECVXDAS IECVXSKS IECVXT3S
LOADEREP	no	3	IFCEDSUM IFCEEDIT IFCFILT1
DFHFC	no	2	BNGC3270 BNGCDISP
DFHCOVER	no	2	BNGCLOCL BNGCRMOT
IEEDCCB	no	2	IECVIRST IECVRSTI
IOSUNSOL	no	2	IECVXDAU IECVXVRU
IOSSENSE	no	2	IECVXMGN IECVXSKN
IOSEOS	no	2	IECVXPRE IECVXSKE
IKJTSCVT	no	2	IEDAYZZ IEDQAA
ETDUMP	no	2	IFCE1017 IFCE1018
ETCALL	no	2	IFCE3401 IFCET040
ICLI	no	1	BNGIEXIT
ISCD	no	1	BNGIEXIT
IDAIXH	no	1	IEAVNP12
MCHEAD	no	1	IEAVNP17
IHASLPL	no	1	IEAVTPER
IHASHDR	yes	1	IEAVTPER
IEZBIT	no	1	IEAVTSDX
IECDSCD	yes	1	IECVHDET
TSABEND	no	1	IEDAYAB
IEFSD005	no	1	IHJACP02
